,SMILES,False positives,True positives,FP - knn,TP - knn,Score - knn,FP - score,TP - score,Score - score,FP - filter,TP - filter,Score - filter
0,Brc1c(OCCN2CCNCC2)ccc2ccccc12,1.0,0.0,0.0,0.0,-5.135869397908328e-05,0.0,0.0,50.0,0.0,1.0,0.0
1,C/C(=N\NC(=O)CC1=NNC(=O)C1)c1ccco1,1.0,0.0,0.0,0.0,-7.617935876703047e-07,1.0,0.0,40.0,0.0,1.0,0.0
2,C/C(=N\NC(=O)Cc1cc(=O)[nH][nH]1)c1ccco1,1.0,0.0,0.0,1.0,0.0008891179870963005,0.0,0.0,46.0,0.0,1.0,0.0
3,C/C(=N\Nc1ccc(S(=O)(=O)O)cc1)c1ccc([N+](=O)[O-])o1,1.0,0.0,0.0,0.0,-6.948314424572227e-05,0.0,0.0,47.0,0.0,1.0,0.0
4,C/C(=N\Nc1ccc(S(=O)(=O)O)cc1)c1cccc(Br)c1,1.0,0.0,0.0,0.0,-0.0001472275676939677,0.0,0.0,44.0,0.0,1.0,0.0
5,C/C(N)=C(/C#N)C(=O)COC(=O)c1c2c(nc3ccccc13)/C(=C/c1ccco1)CC2,1.0,0.0,0.0,0.0,-4.920822349326361e-06,0.0,0.0,64.0,0.0,1.0,0.0
6,C/C=C\C1=C(C(=O)O)N2C(=O)C(NC(=O)C(N)c3ccc(O)cc3)C2SC1,1.0,0.0,0.0,0.0,-1.652257878341199e-08,1.0,0.0,39.0,0.0,1.0,0.0
7,C=C1C(C(=O)NCc2ccco2)C1C(=O)NCc1ccco1,1.0,0.0,0.0,0.0,-0.00015508177417043203,0.0,0.0,49.0,0.0,1.0,0.0
8,C=C1c2c(Cl)ccc(O)c2C(O)=C2C(=O)[C@]3(O)C(O)=C(C(N)=O)C(=O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@H]12.O=C(O)c1cc(S(=O)(=O)O)ccc1O,-0.0,1.0,0.0,0.0,-6.894222779322327e-05,0.0,0.0,54.0,0.0,1.0,0.0
9,C=C1c2cccc(O)c2C(O)=C2C(=O)[C@]3(O)C(O)=C(C(N)=O)C(=O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@H]12,1.0,0.0,0.0,0.0,-3.1346292788500905e-06,0.0,0.0,52.0,0.0,1.0,0.0
10,C=CC1=C(C)C2=Cc3c(C=C)c(C)c4n3[Sn+2]n3c(c(C)c(CCC(=O)O)c3=CC3=NC(=C4)C(C)=C3CCC(=O)O)=CC1=N2.[Cl-].[Cl-],1.0,0.0,0.0,0.0,-5.492919076110564e-09,0.0,0.0,42.0,0.0,1.0,0.0
11,C=CCNC(=O)COC(=O)c1cc(-c2ccco2)nc2ccccc12,1.0,0.0,1.0,0.0,-0.0017441452458550211,0.0,0.0,44.0,0.0,1.0,0.0
12,C=CCNCCOCCOc1ccc(OCC)cc1,1.0,0.0,0.0,0.0,-5.2428497214221984e-05,1.0,0.0,40.0,0.0,1.0,0.0
13,C=CCc1cc(C)ccc1OCCCCn1ccnc1,1.0,0.0,0.0,0.0,-5.0598543407184714e-05,0.0,0.0,58.0,0.0,1.0,0.0
14,C=CCc1cc(Cl)ccc1OCCOCCNCCOC,1.0,0.0,0.0,0.0,-1.5490354104733104e-05,0.0,0.0,44.0,0.0,1.0,0.0
15,CC(=C/C(=O)O)/C=C/c1ccoc1,1.0,0.0,0.0,0.0,-3.69439580892909e-05,0.0,0.0,59.0,0.0,1.0,0.0
16,CC(=O)CC1=C(C(=O)O)N2C(=O)C(N)C2SC1,1.0,0.0,0.0,0.0,-1.6834735113182276e-08,0.0,0.0,47.0,0.0,1.0,0.0
17,CC(=O)NC1=NC(=O)/C(=C\c2ccc(Br)o2)S1,1.0,0.0,0.0,1.0,0.0003430481230368613,0.0,0.0,60.0,1.0,-0.0,1.0
18,CC(=O)NCC(c1cccs1)S(=O)(=O)c1ccc(C)cc1,1.0,0.0,1.0,0.0,-0.023210387402385728,1.0,0.0,40.0,0.0,1.0,0.0
19,CC(=O)NS(=O)(=O)c1ccc(NC(=O)c2ccc([N+](=O)[O-])o2)cc1,1.0,0.0,0.0,0.0,-0.00012636728272651533,0.0,0.0,50.0,0.0,1.0,0.0
20,CC(=O)Nc1ccc(N2C(=O)c3ccccc3C2(O)Cc2ccccc2)cc1,1.0,0.0,1.0,0.0,-0.0006730332151085389,0.0,0.0,43.0,0.0,1.0,0.0
21,CC(=O)Oc1cc(C(=O)OCC(=O)Nc2ccc(C)cc2)cc(OC(C)=O)c1OC(C)=O,-0.0,1.0,0.0,0.0,-2.1740286668951423e-05,0.0,0.0,62.0,0.0,1.0,0.0
22,CC(=O)Oc1ccccc1N1C(=O)c2ccc(Oc3cccc(N)c3)cc2C1=O,-0.0,1.0,0.0,1.0,1.7179954491676536e-05,0.0,0.0,42.0,0.0,1.0,0.0
23,CC(C)(C)OC(=O)N1C(C(=O)O)CSC1c1cc2c(cc1[N+](=O)[O-])OCO2,1.0,0.0,0.0,1.0,5.04708776569042e-05,0.0,0.0,47.0,0.0,1.0,0.0
24,CC(C)(C)c1ccc(OCCn2cncn2)c(Cl)c1,1.0,0.0,0.0,0.0,-7.310061779534131e-05,0.0,0.0,45.0,0.0,1.0,0.0
25,CC(C)C[C@@H]1NC(=O)[C@H]2CN(C(=O)NC3CCCCC3)CCN2C1=O,1.0,0.0,1.0,0.0,-0.001101543186940074,0.0,0.0,62.0,0.0,1.0,0.0
26,CC(C)C[C@@H]1NC(=O)[C@H]2CN(C(=O)NCc3ccccc3)CCN2C1=O,1.0,0.0,1.0,0.0,-0.0016338834524820254,0.0,0.0,61.0,0.0,1.0,0.0
27,CC(C)C[C@H]1C(=O)N2CCN(C(=O)NC3CCCCC3)C[C@@H]2C(=O)N1C,1.0,0.0,1.0,0.0,-0.0006954557944833023,0.0,0.0,55.0,0.0,1.0,0.0
28,CC(C)C[C@H]1NC(=O)[C@H]2CN(C(=O)NC3CCCCC3)CCN2C1=O,1.0,0.0,1.0,0.0,-0.001101543186940074,0.0,0.0,58.0,0.0,1.0,0.0
29,CC(C)N(C(=O)COC(=O)c1cc(-c2ccco2)nc2ccccc12)C(C)C,1.0,0.0,0.0,1.0,0.0005540302346834442,0.0,0.0,42.0,0.0,1.0,0.0
30,CC(C)N(C)CCOC(=O)/C=C/c1ccco1,1.0,0.0,0.0,0.0,-3.4004979288906526e-05,0.0,0.0,46.0,0.0,1.0,0.0
31,CC(C)NC(=O)/C(C#N)=C/c1ccc(-c2ccc([N+](=O)[O-])cc2Br)o1,1.0,0.0,0.0,1.0,6.765626516346896e-05,0.0,0.0,57.0,0.0,1.0,0.0
32,CC(C)NC(=O)c1cccc(NC(=O)Nc2ccc(-c3ncnc4[nH]cc(Cl)c34)cc2)c1,1.0,0.0,1.0,0.0,-0.00019035748101961636,0.0,0.0,61.0,0.0,1.0,0.0
33,CC(C)OP(=O)(OC(C)C)C(=O)c1ccco1,1.0,0.0,1.0,0.0,-0.00261026377138824,0.0,0.0,55.0,0.0,1.0,0.0
34,CC(C)[C@@H]1NC(=O)[C@H]2CN(C(=O)NC3CCCCC3)CCN2C1=O,1.0,0.0,1.0,0.0,-0.001022191668072458,0.0,0.0,56.0,0.0,1.0,0.0
35,CC(C)[C@@H]1NC(=O)[C@H]2CN(C(=O)NCc3ccccc3)CCN2C1=O,1.0,0.0,1.0,0.0,-0.001966878673645466,0.0,0.0,63.0,0.0,1.0,0.0
36,CC(C)[C@H]1NC(=O)[C@H]2CN(C(=O)NC3CCCCC3)CCN2C1=O,1.0,0.0,1.0,0.0,-0.001022191668072458,0.0,0.0,59.0,0.0,1.0,0.0
37,CC(C)[C@H]1NC(=O)[C@H]2CN(C(=O)NCc3ccccc3)CCN2C1=O,1.0,0.0,1.0,0.0,-0.001966878673645466,0.0,0.0,55.0,0.0,1.0,0.0
38,CC(O)(CNCCN1CCOCC1)COc1ccc(Cl)cc1,1.0,0.0,0.0,0.0,-3.432039251117163e-05,0.0,0.0,42.0,0.0,1.0,0.0
39,CC(O)C(=O)N/N=C/C=C/c1ccc([N+](=O)[O-])o1,1.0,0.0,1.0,0.0,-0.00026080887604591584,0.0,0.0,43.0,0.0,1.0,0.0
40,CC(Oc1ccc2c(C(F)(F)F)cc(=O)oc2c1)C(=O)NN,1.0,0.0,0.0,0.0,-1.8668126467278142e-05,0.0,0.0,45.0,0.0,1.0,0.0
41,CC1=C(C#N)C(c2cc3c(cc2[N+](=O)[O-])OCO3)C2=C(CCCC2=O)N1,1.0,0.0,0.0,0.0,4.2269633942613956e-06,0.0,0.0,47.0,0.0,1.0,0.0
42,CC1=C/C(=N\N=C2\NC(=O)C(CC(=O)Nc3ccc(C(=O)O)cc3)S2)CC(C)(C)C1,1.0,0.0,0.0,0.0,-1.7132505129903503e-05,0.0,0.0,53.0,0.0,1.0,0.0
43,CC1=NC(=S)C2C(=O)O/C(=C/c3ccc(-c4cccc([N+](=O)[O-])c4)o3)C2=C1,-0.0,1.0,0.0,0.0,-9.385382992130199e-07,1.0,0.0,41.0,0.0,1.0,0.0
44,CC1=NN(c2ccc(C(=O)O)c(N)c2)C(=O)C1,1.0,0.0,0.0,0.0,8.28359691240621e-06,0.0,0.0,53.0,0.0,1.0,0.0
45,CC1CCC(N2CCN(Cc3ccco3)CC2)CC1,1.0,0.0,0.0,0.0,-1.8185596208359524e-05,0.0,0.0,55.0,0.0,1.0,0.0
