,SMILES,False positives,True positives,FP - knn,TP - knn,Score - knn,FP - score,TP - score,Score - score,FP - filter,TP - filter,Score - filter
0,Brc1ccc(-c2csc(N3CCCCCC3)n2)cc1,1.0,0.0,0.0,0.0,3.076246482338113e-05,0.0,0.0,46.0,0.0,1.0,0.0
1,Brc1ccc2ncnc(NCc3ccccc3)c2c1,-0.0,1.0,0.0,0.0,-0.00012168656930435549,0.0,0.0,60.0,0.0,1.0,0.0
2,Brc1cccc(-c2cnco2)c1,1.0,0.0,0.0,0.0,-1.78921518625437e-05,0.0,0.0,56.0,0.0,1.0,0.0
3,Brc1cccc(CSc2nnc(-c3ccncc3)o2)c1,-0.0,1.0,0.0,0.0,-0.00018564996931983354,0.0,0.0,71.0,0.0,1.0,0.0
4,C#CCN(C[C@@H]1[C@@H](OC(=O)NCc2ccccc2F)[C@@H](OC(=O)NCc2ccccc2F)Cn2c(=O)ccc(=O)n21)S(=O)(=O)c1ccc(C)cc1,-0.0,1.0,1.0,0.0,-0.015589514477361475,0.0,0.0,61.0,0.0,1.0,0.0
5,C#CCn1c(S(=O)(=O)Cc2ccc(F)cc2)nc(-c2ccccc2)c1-c1ccccc1,-0.0,1.0,0.0,0.0,-0.00027789463020814386,1.0,0.0,43.0,0.0,1.0,0.0
6,C#Cc1cc(N2CCN(C(=O)c3ccoc3)CC2)n2nc(-c3cccc(Cl)c3)cc2n1,-0.0,1.0,0.0,0.0,-0.0004913797086307412,0.0,0.0,54.0,0.0,1.0,0.0
7,C(=Cc1nc2ccccc2o1)c1ccc2c(c1)OCO2,-0.0,1.0,0.0,0.0,2.5402439024492936e-05,1.0,0.0,45.0,0.0,1.0,0.0
8,C(=N/Nc1ccc2ccccc2n1)\c1ccc2c(c1)OCO2,-0.0,1.0,0.0,1.0,0.0005857146296676081,1.0,0.0,44.0,0.0,1.0,0.0
9,C(=N/Nc1nc2ccccc2[nH]1)\c1cccc2cccnc12,-0.0,1.0,0.0,0.0,0.0001217028628224494,0.0,0.0,71.0,0.0,1.0,0.0
10,C(=N/Nc1nc2ccccc2[nH]1)\c1cccc2nccnc12,-0.0,1.0,0.0,1.0,0.0001633694219276734,0.0,0.0,47.0,0.0,1.0,0.0
11,C/C(=N/NC(=O)c1cc(C2CC2)[nH]n1)c1cccs1,-0.0,1.0,0.0,0.0,-5.161740399324013e-05,0.0,0.0,60.0,0.0,1.0,0.0
12,C/C(=N/NC(=O)c1ccc(C(C)(C)C)cc1)c1ccccn1,-0.0,1.0,0.0,0.0,-0.00018772929204685605,0.0,0.0,47.0,0.0,1.0,0.0
13,C/C(=N\NC(=O)c1cccc(Br)c1)c1ccccn1,1.0,0.0,0.0,0.0,-0.0002986263513916557,0.0,0.0,71.0,0.0,1.0,0.0
14,C/C(=N\NS(=O)(=O)c1ccc([N+](=O)[O-])cc1)c1cccs1,1.0,0.0,0.0,0.0,-0.00011159561390889032,0.0,0.0,58.0,0.0,1.0,0.0
15,C/C(=N\Nc1ccc(C(F)(F)F)cc1[N+](=O)[O-])C(C)C,1.0,0.0,0.0,0.0,6.522012718346744e-05,0.0,0.0,66.0,0.0,1.0,0.0
16,C=C(C(=O)c1ccccc1)C(CC(=O)c1ccccc1)c1ccccc1,1.0,0.0,0.0,0.0,0.0001047490350599655,0.0,0.0,69.0,0.0,1.0,0.0
17,C=CCN1CCN(C(CC(C)C)c2nnnn2CCOC)CC1,1.0,0.0,0.0,0.0,-5.024205733192266e-06,0.0,0.0,49.0,0.0,1.0,0.0
18,C=CCN1CCc2cc(O)c(O)cc2C(c2ccccc2)C1,1.0,0.0,1.0,0.0,-0.0012598439385750149,0.0,0.0,77.0,1.0,-0.0,1.0
19,C=CCN=C1NN=C(c2cc(C)n(CCOC)c2C)CS1,-0.0,1.0,0.0,0.0,-0.00019332545041730718,1.0,0.0,45.0,0.0,1.0,0.0
20,C=CCNC(=S)N/N=C(\C)c1ccccn1,-0.0,1.0,0.0,0.0,2.2656545634089253e-05,0.0,0.0,80.0,0.0,1.0,0.0
21,C=CC[N+](C)(C)C/C(Cl)=C(\Cl)c1ccccc1,1.0,0.0,0.0,0.0,-0.00036921805491905936,0.0,0.0,49.0,0.0,1.0,0.0
22,C=CCn1c(=O)/c(=C/c2ccc(Cl)cc2)s/c1=C(\C#N)c1nnc2n1CCCCC2,-0.0,1.0,0.0,0.0,-3.0064339943777208e-05,0.0,0.0,71.0,0.0,1.0,0.0
23,C=CCn1c(C)c(C(C)=O)c(N2CCN(C(c3ccccc3)c3ccccc3)CC2)nc1=S,-0.0,1.0,0.0,1.0,0.0002977448624237954,0.0,0.0,55.0,0.0,1.0,0.0
24,C=CCn1c(O)c(N=NC(=S)Nc2ccccc2C)c2cc(S(=O)(=O)N3CCOCC3)ccc21,-0.0,1.0,0.0,0.0,-3.215736336553563e-06,1.0,0.0,43.0,1.0,-0.0,1.0
25,C=CCn1c(O)c(N=NC(=S)Nc2ccccc2F)c2cc(S(=O)(=O)N3CCOCC3)ccc21,1.0,0.0,0.0,0.0,-2.9101435065820077e-06,0.0,0.0,52.0,1.0,-0.0,1.0
26,C=CCn1c(O)c(N=NC(=S)Nc2ccccc2F)c2ccccc21,-0.0,1.0,0.0,0.0,-2.0692916012460666e-06,0.0,0.0,60.0,1.0,-0.0,1.0
27,C=CCn1c(SCc2ccc3nonc3c2)nnc1-c1cccs1,1.0,0.0,0.0,1.0,0.00032010690319577583,0.0,0.0,71.0,0.0,1.0,0.0
28,C=CCn1c(SCc2csc(C)n2)nc2sc3c(c2c1=O)CCCC3,-0.0,1.0,0.0,0.0,-2.5925161854110325e-05,1.0,0.0,44.0,0.0,1.0,0.0
29,CC(=C/c1ccccc1)/C=N/n1c(-c2ccncc2)n[nH]c1=S,-0.0,1.0,0.0,1.0,0.0006971233476356358,0.0,0.0,56.0,0.0,1.0,0.0
30,CC(=NNC(=S)N1CC2CCC(CC2)C1)c1nccs1,-0.0,1.0,0.0,0.0,1.7471357436508284e-05,0.0,0.0,73.0,0.0,1.0,0.0
31,CC(=NNC(=S)N1CCCC1)c1ccccn1,-0.0,1.0,0.0,1.0,0.0008764246547491531,0.0,0.0,57.0,0.0,1.0,0.0
32,CC(=NNC(=S)N1CCCCC1)c1cccc(C)n1,-0.0,1.0,0.0,1.0,0.0009745728774634507,0.0,0.0,69.0,0.0,1.0,0.0
33,CC(=NNC(=S)N1CCCCC1)c1ccccn1,1.0,0.0,0.0,1.0,0.0009554550217320704,0.0,0.0,57.0,0.0,1.0,0.0
34,CC(=NNC(=S)N1CCCCCC1)c1cccc2cccnc12,1.0,0.0,0.0,1.0,0.0011089979894100773,0.0,0.0,52.0,0.0,1.0,0.0
35,CC(=NNC(=S)N1CCN(c2ccccn2)CC1)c1nccs1,-0.0,1.0,0.0,1.0,0.00016806414578980373,0.0,0.0,74.0,0.0,1.0,0.0
36,CC(=NNC(=S)Nc1ccc(C)cc1)c1ccccn1,-0.0,1.0,0.0,1.0,0.00027820059064866446,0.0,0.0,62.0,0.0,1.0,0.0
37,CC(=NNC(=S)Nc1cccc(Cl)c1)c1ccccn1,-0.0,1.0,0.0,0.0,-5.449022827581838e-05,0.0,0.0,52.0,0.0,1.0,0.0
38,CC(=NNC(=S)Nc1ccccc1)c1ccccn1,-0.0,1.0,0.0,0.0,1.1733376765725434e-06,0.0,0.0,72.0,0.0,1.0,0.0
39,CC(=NNC(=S)Nc1ccccc1Cl)c1ccccn1,-0.0,1.0,0.0,0.0,1.7889103991904898e-05,0.0,0.0,57.0,0.0,1.0,0.0
40,CC(=NNc1nc2ccccc2o1)c1cc2ccccc2cn1,-0.0,1.0,0.0,0.0,4.4410960277318515e-05,0.0,0.0,57.0,0.0,1.0,0.0
41,CC(=NNc1nc2ccccc2o1)c1ncccn1,-0.0,1.0,0.0,0.0,-1.0587197650933583e-05,0.0,0.0,58.0,0.0,1.0,0.0
42,CC(=NNc1nc2ccccc2s1)c1ncccn1,-0.0,1.0,0.0,0.0,-2.2140081747364284e-05,0.0,0.0,63.0,0.0,1.0,0.0
43,CC(=O)/C=C/c1ccccc1O,1.0,0.0,0.0,0.0,-0.00012108272203597256,0.0,0.0,52.0,0.0,1.0,0.0
44,CC(=O)N(C)C1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1,1.0,0.0,0.0,0.0,-0.0001854197504676782,0.0,0.0,70.0,0.0,1.0,0.0
45,CC(=O)NC(CCS(C)(=O)=O)C(=O)Nc1ccc(Cl)c(Cl)c1,1.0,0.0,0.0,0.0,-2.022369899646222e-05,0.0,0.0,55.0,0.0,1.0,0.0
46,CC(=O)NC(c1ccc(C(C)C)cc1)c1ccc2cccnc2c1O,-0.0,1.0,0.0,0.0,0.00011735961787763233,0.0,0.0,57.0,1.0,-0.0,1.0
47,CC(=O)NC(c1ccc(Cl)cc1)c1ccc2cccnc2c1O,-0.0,1.0,0.0,0.0,-6.789873107227618e-05,0.0,0.0,63.0,1.0,-0.0,1.0
48,CC(=O)NC(c1ccc(Cl)cc1Cl)c1ccc2cccnc2c1O,-0.0,1.0,0.0,0.0,-5.527481080503279e-05,0.0,0.0,69.0,1.0,-0.0,1.0
49,CC(=O)NC(c1ccc2ccccc2c1)c1ccc2cccnc2c1O,-0.0,1.0,0.0,0.0,4.865548990944181e-05,0.0,0.0,49.0,1.0,-0.0,1.0
50,CC(=O)NC(c1cccc([N+](=O)[O-])c1)c1ccc2cccnc2c1O,-0.0,1.0,0.0,0.0,-7.405094881350367e-05,0.0,0.0,62.0,1.0,-0.0,1.0
51,CC(=O)NC(c1cccs1)c1cc(F)c2cccnc2c1O,-0.0,1.0,0.0,0.0,-7.563247876296226e-05,0.0,0.0,53.0,1.0,-0.0,1.0
52,CC(=O)Nc1ccc(C=NNc2nnc(NN=Cc3ccc(NC(C)=O)cc3)c3ccccc23)cc1,-0.0,1.0,0.0,0.0,-6.5681060094703285e-06,1.0,0.0,45.0,0.0,1.0,0.0
53,CC(=O)Nc1ccc(NC(=O)C(c2ccccc2)c2ccccc2)cc1,1.0,0.0,0.0,0.0,-5.225254871612282e-05,0.0,0.0,54.0,0.0,1.0,0.0
54,CC(=O)Nc1ccc(OCC(O)CNC(C)C)cc1,1.0,0.0,0.0,0.0,-0.0004512139274497972,0.0,0.0,51.0,0.0,1.0,0.0
55,CC(=O)Nc1ccc(OCCCNC(=O)c2c(-c3ccccc3)noc2C)cc1,1.0,0.0,0.0,0.0,3.8047838591491593e-05,0.0,0.0,58.0,0.0,1.0,0.0
56,CC(=O)Nc1ccc(S(=O)(=O)N2CCCC2)cc1,1.0,0.0,0.0,0.0,-0.00040599172124774027,0.0,0.0,71.0,0.0,1.0,0.0
57,CC(=O)Nc1cccc(-c2cnc(N)c(C(=O)c3cccnc3)n2)c1,-0.0,1.0,0.0,0.0,-0.00016228969041075903,0.0,0.0,49.0,0.0,1.0,0.0
58,CC(=O)Nc1nc(C)c(-c2csc(Nc3ccc(O)cc3)n2)s1,-0.0,1.0,0.0,0.0,-3.955557263626412e-05,1.0,0.0,45.0,0.0,1.0,0.0
59,CC(=O)Nc1nc(C)c(-c2csc(Nc3cccc([N+](=O)[O-])c3)n2)s1,-0.0,1.0,0.0,0.0,-2.140267565849401e-05,0.0,0.0,50.0,0.0,1.0,0.0
60,CC(=O)OC1CCC2(C)C(CCC3C4CC=C(C(C)=O)C4(C)OC(=O)CC32)C1,-0.0,1.0,1.0,0.0,-0.0026709226833118676,0.0,0.0,79.0,0.0,1.0,0.0
61,CC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC[C@H](C(C)=O)[C@@]4(C)CC[C@@H]32)C1,1.0,0.0,1.0,0.0,-0.0031252582599166096,0.0,0.0,54.0,0.0,1.0,0.0
62,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,1.0,0.0,1.0,0.0,-0.0012073758475051777,0.0,0.0,52.0,0.0,1.0,0.0
63,CC(=O)c1c(C)[nH]c(C(=O)Nc2ccc(C)cn2)c1C,-0.0,1.0,0.0,0.0,-7.857504450048583e-05,0.0,0.0,58.0,0.0,1.0,0.0
64,CC(=O)c1c(C)n(C2CCCCC2)c2ccc(O)cc12,-0.0,1.0,0.0,0.0,-0.00015388804449019782,0.0,0.0,70.0,0.0,1.0,0.0
