,SMILES,False positives,True positives,FP - knn,TP - knn,Score - knn,FP - score,TP - score,Score - score,FP - filter,TP - filter,Score - filter
0,Brc1ccc2c(c1)C(OC1CN3CCC1CC3)c1ccccc1CS2,-0.0,1.0,0.0,0.0,6.0784406150373105e-05,0.0,0.0,23.0,0.0,1.0,0.0
1,C#CCNc1c(C)c(C)nc2ncnn12,-0.0,1.0,1.0,0.0,4.205378312607959e-05,1.0,0.0,5.0,0.0,1.0,0.0
2,C#CCNc1c2c(nc3ncnn13)CC(C)CC2,-0.0,1.0,1.0,0.0,4.2070989598090846e-05,0.0,0.0,9.0,0.0,1.0,0.0
3,C#CCOC(=O)Nc1cccn(Cc2c(Cl)cccc2Cl)c1=O,1.0,0.0,1.0,0.0,4.222491760153722e-05,1.0,0.0,6.0,0.0,1.0,0.0
4,C#CC[N+](CC)(CC)CC#Cc1ccccc1,-0.0,1.0,1.0,0.0,4.132957945802008e-05,0.0,0.0,35.0,0.0,1.0,0.0
5,C#CC[N+]1(CC#Cc2ccc(C)cc2)CCCCC1,-0.0,1.0,1.0,0.0,4.133185168269278e-05,0.0,0.0,28.0,0.0,1.0,0.0
6,C#CC[N+]1(CC#Cc2cccc(C)c2)CCCCC1,-0.0,1.0,1.0,0.0,4.133225883689705e-05,0.0,0.0,26.0,0.0,1.0,0.0
7,C#CC[N+]1(CC#Cc2ccccc2)CCCCC1,1.0,0.0,1.0,0.0,4.133179263664992e-05,0.0,1.0,49.0,0.0,1.0,0.0
8,C/C(=N/NC(=O)c1cc(Cl)ccc1O)C12CC3CC(CC(C3)C1)C2,-0.0,1.0,0.0,0.0,0.0006522622564340436,0.0,0.0,33.0,0.0,1.0,0.0
9,C/C(=N\N=C(N)N)c1ccc(Cl)cc1,-0.0,1.0,0.0,0.0,0.0005340936575207089,0.0,1.0,51.0,0.0,1.0,0.0
10,C/C(=N\N=C(N)N)c1ccc(Cl)cc1Cl,-0.0,1.0,0.0,0.0,0.0005340688893226082,0.0,0.0,32.0,0.0,1.0,0.0
11,C/C(=N\N=C(N)N)c1ccccc1,-0.0,1.0,0.0,0.0,0.0005335093350360484,0.0,1.0,51.0,0.0,1.0,0.0
12,C/C(=N\NC(=O)c1ccccc1O)C1C(=O)c2ccccc2C1=O,-0.0,1.0,0.0,0.0,8.416436680874293e-05,1.0,0.0,6.0,1.0,-0.0,1.0
13,C/C(=N\NC(=O)c1ccoc1C)c1cccc2ccccc12,1.0,0.0,0.0,1.0,0.0012986742852865564,0.0,0.0,33.0,0.0,1.0,0.0
14,C/C(=N\NC(N)=S)c1cccnc1,1.0,0.0,0.0,0.0,0.00017477392334943261,0.0,1.0,52.0,0.0,1.0,0.0
15,C/C(=N\NC1=NCCN1)c1ccc(Cl)cc1,-0.0,1.0,0.0,0.0,0.00043826363840041715,0.0,0.0,25.0,0.0,1.0,0.0
16,C/C(=N\NC1=NCCN1)c1ccccc1,-0.0,1.0,0.0,0.0,0.00031151035917949683,0.0,0.0,23.0,0.0,1.0,0.0
