,SMILES,False positives,True positives,FP - knn,TP - knn,Score - knn,FP - score,TP - score,Score - score,FP - filter,TP - filter,Score - filter
0,Brc1ccc(C2=CC(c3ccco3)n3ncnc3N2)cc1,-0.0,1.0,0.0,1.0,0.0015827144657773065,0.0,0.0,46.0,0.0,1.0,0.0
1,C#CCOCCOCCOCCNc1nc(N2CCN(C(=O)[C@H]([C@@H](C)CC)n3cc([C@@H](N)CO)nn3)CC2)nc(N2CCN(C(=O)[C@H]([C@@H](C)CC)n3cc([C@@H](N)CC(C)C)nn3)CC2)n1,-0.0,1.0,0.0,0.0,4.225534645402582e-06,0.0,0.0,38.0,0.0,1.0,0.0
2,C(=N/NC(=Nc1ccccc1)c1ccccn1)\c1ccccn1,1.0,0.0,0.0,0.0,-3.158160663068494e-05,0.0,0.0,54.0,0.0,1.0,0.0
3,C(=N/Nc1nc2ccccc2[nH]1)\c1ccccn1,-0.0,1.0,1.0,0.0,-0.0024233133033357305,0.0,0.0,42.0,0.0,1.0,0.0
4,C/C(=N\Nc1ccc(Cl)c(C(=O)O)c1)c1ccc[nH]1,1.0,0.0,1.0,0.0,-0.0020042943585957844,0.0,0.0,38.0,0.0,1.0,0.0
5,C/C(N)=C(/C#N)C(=O)CSc1ncnc2ccccc12,-0.0,1.0,0.0,0.0,0.0005517051014023656,0.0,0.0,39.0,0.0,1.0,0.0
6,C/C(O)=c1/ccc2cccc3nc(C)nc1c23,-0.0,1.0,1.0,0.0,-0.0011326528028370202,0.0,0.0,41.0,1.0,-0.0,1.0
7,C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\O)c3csc(N)n3)[C@H]2SC1,-0.0,1.0,0.0,0.0,1.8125103365275122e-08,1.0,0.0,26.0,0.0,1.0,0.0
8,C=CCN1C(=O)/C(=C2/Sc3ccc(OC)cc3N2CC)SC1=S,1.0,0.0,1.0,0.0,-0.001324300292166992,0.0,0.0,40.0,1.0,-0.0,1.0
9,C=CCN1C(=O)/C(=C2/Sc3ccccc3N2CC)SC1=S,-0.0,1.0,1.0,0.0,-0.0012466444492193183,0.0,0.0,30.0,1.0,-0.0,1.0
10,C=CCN1C(=O)S/C(=C\c2ccc(N3CCOCC3)cc2C)C1=O,1.0,0.0,1.0,0.0,-0.0012003660053562185,0.0,0.0,29.0,1.0,-0.0,1.0
11,C=CCN1C=C2C(=O)C(C)(OC(=O)CCC(=O)OC)C(=O)C(Br)=C2C=C1c1ccc(OC)cc1,-0.0,1.0,0.0,0.0,9.587419515896944e-05,0.0,0.0,28.0,1.0,-0.0,1.0
12,C=CCN=c1scc(-c2ccco2)n1/N=C/c1ccc(O)c(O)c1O,-0.0,1.0,0.0,0.0,-0.00041131414478253907,0.0,0.0,28.0,1.0,-0.0,1.0
13,C=CCNC(=S)Nc1cc(Cl)ccc1OC,1.0,0.0,0.0,0.0,0.00011922769477851467,0.0,0.0,40.0,0.0,1.0,0.0
14,C=CCOc1ccc(C2C(C(=O)c3cccs3)=C(O)C(=O)N2c2nnc(C)s2)cc1,-0.0,1.0,0.0,0.0,0.0006962636563825765,0.0,0.0,30.0,0.0,1.0,0.0
15,C=CCOc1ccc(C2OC34CCCCC3C(C#N)(C#N)C2(C#N)C(=N)O4)cc1,-0.0,1.0,0.0,0.0,0.0004366852598260656,0.0,0.0,45.0,1.0,-0.0,1.0
16,C=CCOc1cccc(C2C(C(=O)c3ccc(C)o3)=C(O)C(=O)N2c2nccs2)c1,-0.0,1.0,0.0,0.0,0.0005309927496238656,0.0,0.0,49.0,0.0,1.0,0.0
17,C=CCOn1c(=O)c(-c2cc3ccccc3o2)[n+]([O-])c2ccccc21,1.0,0.0,0.0,0.0,-0.0001257467059379754,1.0,0.0,27.0,1.0,-0.0,1.0
18,C=CCSc1nnc(N2C(=O)C(O)=C(C(=O)c3ccco3)C2c2ccccc2F)s1,-0.0,1.0,0.0,0.0,0.0005961337917272301,0.0,0.0,35.0,0.0,1.0,0.0
19,C=CCn1c(=O)/c(=C/c2ccc(C)o2)s/c1=C(/C#N)C(=O)c1ccccc1,1.0,0.0,0.0,0.0,7.734065158209497e-06,1.0,0.0,27.0,0.0,1.0,0.0
20,C=CCn1c(=O)/c(=C\c2ccsc2)s/c1=C(/C#N)C(=O)NCCN1CCOCC1,1.0,0.0,0.0,0.0,5.4909512029899775e-05,0.0,0.0,46.0,0.0,1.0,0.0
21,C=CCn1c(Cc2nc3ccccc3[nH]2)n[nH]c1=S,-0.0,1.0,0.0,1.0,0.0024356633423719487,0.0,0.0,51.0,0.0,1.0,0.0
22,C=CCn1c(O)c(/C=C/C=Nc2ccccc2)c(=O)[nH]c1=O,1.0,0.0,0.0,0.0,-0.0008206523053515758,1.0,0.0,26.0,0.0,1.0,0.0
23,C=CCn1cc(C=C2C(=O)NC(=O)NC2=O)c2ccccc21,1.0,0.0,1.0,0.0,-0.002129993534427264,0.0,0.0,37.0,1.0,-0.0,1.0
24,C=Cc1c(C)c2cc3[nH]c(cc4nc(cc5nc(cc1[nH]2)C(C)=C5CCC(=O)O)C(CCC(=O)O)=C4C)c(C)c3C=C,-0.0,1.0,0.0,0.0,1.546260266747725e-05,0.0,0.0,42.0,0.0,1.0,0.0
25,CC(=NC1CCCC1)c1c(C)[nH]n(-c2nc3ccccc3s2)c1=O,1.0,0.0,0.0,0.0,-0.00038535881269906113,0.0,0.0,43.0,0.0,1.0,0.0
26,CC(=Nc1ccc(Br)cc1)c1sc2ccccc2c1O,1.0,0.0,0.0,0.0,-8.585984323872253e-05,0.0,0.0,30.0,1.0,-0.0,1.0
27,CC(=O)/C(N=Nc1nc2c([nH]1)c(=O)n(C)c(=O)n2C)=C(\C)O,-0.0,1.0,0.0,0.0,-0.00014286779341567862,0.0,0.0,36.0,1.0,-0.0,1.0
28,CC(=O)C1=C(c2cccc([N+](=O)[O-])c2)N(C(C)=O)n2c(C)nnc2S1,1.0,0.0,0.0,0.0,0.00014940166078130935,0.0,0.0,47.0,0.0,1.0,0.0
29,CC(=O)C1=C(c2ccccc2)N(C(C)=O)n2c(C)nnc2S1,-0.0,1.0,0.0,0.0,-3.3669755447633744e-06,0.0,0.0,45.0,0.0,1.0,0.0
