,Time - mean,Time - STD,Time - Replicate 1,Time - Replicate 2,Time - Replicate 3,Time - Replicate 4,Time - Replicate 5,Time - Replicate 6,Time - Replicate 7,Time - Replicate 8,Time - Replicate 9,Time - Replicate 10,FP rate,FP Precision@90 - mean,FP Precision@90 - STD,FP Precision@90 - Replicate 1,FP Precision@90 - Replicate 2,FP Precision@90 - Replicate 3,FP Precision@90 - Replicate 4,FP Precision@90 - Replicate 5,FP Precision@90 - Replicate 6,FP Precision@90 - Replicate 7,FP Precision@90 - Replicate 8,FP Precision@90 - Replicate 9,FP Precision@90 - Replicate 10,TP rate,TP Precision@90 - mean,TP Precision@90 - STD,TP Precision@90 - Replicate 1,TP Precision@90 - Replicate 2,TP Precision@90 - Replicate 3,TP Precision@90 - Replicate 4,TP Precision@90 - Replicate 5,TP Precision@90 - Replicate 6,TP Precision@90 - Replicate 7,TP Precision@90 - Replicate 8,TP Precision@90 - Replicate 9,TP Precision@90 - Replicate 10,FP EF10 - mean,FP EF10 - STD,FP EF10 - Replicate 1,FP EF10 - Replicate 2,FP EF10 - Replicate 3,FP EF10 - Replicate 4,FP EF10 - Replicate 5,FP EF10 - Replicate 6,FP EF10 - Replicate 7,FP EF10 - Replicate 8,FP EF10 - Replicate 9,FP EF10 - Replicate 10,TP EF10 - mean,TP EF10 - STD,TP EF10 - Replicate 1,TP EF10 - Replicate 2,TP EF10 - Replicate 3,TP EF10 - Replicate 4,TP EF10 - Replicate 5,TP EF10 - Replicate 6,TP EF10 - Replicate 7,TP EF10 - Replicate 8,TP EF10 - Replicate 9,TP EF10 - Replicate 10,FP BEDROC20 - mean,FP BEDROC20 - STD,FP BEDROC20 - Replicate 1,FP BEDROC20 - Replicate 2,FP BEDROC20 - Replicate 3,FP BEDROC20 - Replicate 4,FP BEDROC20 - Replicate 5,FP BEDROC20 - Replicate 6,FP BEDROC20 - Replicate 7,FP BEDROC20 - Replicate 8,FP BEDROC20 - Replicate 9,FP BEDROC20 - Replicate 10,TP BEDROC20 - mean,TP BEDROC20 - STD,TP BEDROC20 - Replicate 1,TP BEDROC20 - Replicate 2,TP BEDROC20 - Replicate 3,TP BEDROC20 - Replicate 4,TP BEDROC20 - Replicate 5,TP BEDROC20 - Replicate 6,TP BEDROC20 - Replicate 7,TP BEDROC20 - Replicate 8,TP BEDROC20 - Replicate 9,TP BEDROC20 - Replicate 10,FP Scaffold- mean,FP Scaffold - STD,FP Scaffold - Replicate 1,FP Scaffold - Replicate 2,FP Scaffold - Replicate 3,FP Scaffold - Replicate 4,FP Scaffold - Replicate 5,FP Scaffold - Replicate 6,FP Scaffold - Replicate 7,FP Scaffold - Replicate 8,FP Scaffold - Replicate 9,FP Scaffold - Replicate 10,TP Scaffold- mean,TP Scaffold - STD,TP Scaffold - Replicate 1,TP Scaffold - Replicate 2,TP Scaffold - Replicate 3,TP Scaffold - Replicate 4,TP Scaffold - Replicate 5,TP Scaffold - Replicate 6,TP Scaffold - Replicate 7,TP Scaffold - Replicate 8,TP Scaffold - Replicate 9,TP Scaffold - Replicate 10
transcription_5,174.52411673069,1.4418293727976694,177.35846948623657,174.59957313537598,174.2221977710724,176.49840474128723,175.6850459575653,172.6377329826355,173.65739107131958,173.5689103603363,173.75215983390808,173.2612819671631,0.8592233009708737,0.8006744222802397,0.02915033991973362,0.8,0.8181818181818182,0.8409090909090909,0.8260869565217391,0.8260869565217391,0.75,0.8095238095238095,0.7560975609756098,0.7755102040816326,0.8043478260869565,0.14077669902912626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.687683871204196,0.025036666646389205,0.6871046228710462,0.7027206370272063,0.7222406547224065,0.7095102083994499,0.7095102083994499,0.6441605839416058,0.6952844398099872,0.6493976618598303,0.6660708078851978,0.6908388871257801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7807800881426958,0.025367143167373308,0.7682710149949323,0.7937736151322629,0.7998889338245587,0.8145778693273509,0.824261683104157,0.7458502604186888,0.7789324885104937,0.7539522197369852,0.7745127735922726,0.7537800227852564,0.09860495690894507,0.009953707843072146,0.09238249222544104,0.1010811530793848,0.10821325151569294,0.10890750291763435,0.10358484658875283,0.10851011535701542,0.08630859361481726,0.08508603843716589,0.10775380405737756,0.08422177129616853,88.69337979094077,1.1594204273153237,87.28222996515679,89.7212543554007,87.45644599303135,87.63066202090593,89.37282229965157,88.32752613240419,90.76655052264809,89.19860627177701,89.7212543554007,87.45644599303135,13.57142857142857,1.57460836993008,12.89198606271777,14.45993031358885,15.853658536585366,15.679442508710801,14.285714285714286,13.588850174216027,13.240418118466899,10.278745644599303,12.020905923344948,13.414634146341463
channel_atp,64.94564907550811,0.544932473987303,65.96017169952393,65.28824520111084,65.24645638465881,64.92458868026733,65.42423105239868,64.20765233039856,65.15269494056702,64.63835048675537,64.25528478622437,64.35881519317627,0.4878048780487805,0.7352352168397879,0.007956834581829905,0.7450980392156863,0.7425742574257426,0.7227722772277227,0.7227722772277227,0.7326732673267327,0.7281553398058253,0.7425742574257426,0.7352941176470589,0.7378640776699029,0.7425742574257426,0.5121951219512195,0.7589264222253179,0.01459662044826174,0.7722772277227723,0.77,0.7572815533980582,0.7524752475247525,0.77,0.7549019607843137,0.7575757575757576,0.7821782178217822,0.7425742574257426,0.73,0.35968860117946483,0.0038926082905226716,0.36451364859669355,0.36327897495631917,0.35359153562415063,0.35359153562415063,0.3584352552902349,0.35622501427755565,0.36327897495631917,0.35971741637831606,0.36097468113458975,0.36327897495631917,0.3876477117445006,0.007455724758376822,0.3944670937682003,0.3933039215686274,0.3868075385494003,0.38435255290234904,0.3933039215686274,0.38559207996924255,0.38695781342840163,0.39952436420112597,0.3792952824694234,0.3728725490196078,0.7253020087652533,0.00909723232325643,0.712522584076472,0.733133230911643,0.7185321150864618,0.7075770724074656,0.7336602155237332,0.7268158874446303,0.7307098196465219,0.7230096180455208,0.7328564641011401,0.7342030804089459,0.7484800494552453,0.0080985393111166,0.7652096935968824,0.7489919921130433,0.7381976793339747,0.7476375648188082,0.7532909247427384,0.754655130667872,0.7459891400357912,0.7528972429851789,0.738178124833017,0.739753001425146,90.27027027027027,0.6741725021214313,90.09009009009009,89.1891891891892,90.09009009009009,90.990990990991,89.1891891891892,90.990990990991,90.09009009009009,90.990990990991,90.990990990991,90.09009009009009,88.01801801801801,0.8108108108108116,89.1891891891892,88.28828828828829,86.48648648648648,88.28828828828829,88.28828828828829,86.48648648648648,88.28828828828829,88.28828828828829,88.28828828828829,88.28828828828829
transcription,85.93018345832824,0.808923445819481,85.36016750335693,85.13171195983887,86.28245449066162,87.52656316757202,87.25554656982422,85.71723508834839,85.25305557250977,85.14728736877441,85.74999284744263,85.87782001495361,0.44337606837606836,0.7561770223153825,0.022216840747480475,0.7288135593220338,0.7404580152671756,0.7786259541984732,0.7862595419847328,0.7131147540983607,0.7734375,0.7459016393442623,0.7698412698412699,0.7615384615384615,0.7637795275590551,0.5566239316239316,0.7958119427959099,0.012267934911375355,0.7746478873239436,0.7948717948717948,0.7848101265822784,0.7916666666666666,0.7816091954022989,0.8157894736842105,0.8045977011494253,0.8,0.8,0.810126582278481,0.33482062806263996,0.009837189379098311,0.32270461343242995,0.32786055435359435,0.34476058292852185,0.3481405886435074,0.31575348470237574,0.34246323529411765,0.3302708862978873,0.3408708938120703,0.3371945701357466,0.3381868710261485,0.4434417349696996,0.006835929506766366,0.43164871582435793,0.4429178664472782,0.4373113111757937,0.4411319073083779,0.43552769070010455,0.4545735997748382,0.4483373286618723,0.44577540106951874,0.44577540106951874,0.4514181276653354,0.7564478220829074,0.02471126946841429,0.7388143321587511,0.7399344985131222,0.7608514777807304,0.7651296014126198,0.7121859825473376,0.7662549016392362,0.7455257578040662,0.7907063987072199,0.8004847111199392,0.7445905591460519,0.7735021080306487,0.014757123856294808,0.7637165336363596,0.7645449897642218,0.7606300416849564,0.7582232419859604,0.7660622132512085,0.7716664281028981,0.790072582616322,0.8026413137011705,0.7922505457362665,0.7652131898271218,93.2579185520362,1.079353886142676,94.57013574660634,93.66515837104072,92.76018099547511,93.21266968325791,91.4027149321267,94.57013574660634,91.4027149321267,94.11764705882354,93.21266968325791,93.66515837104072,79.95475113122173,2.1420453173836416,75.1131221719457,80.54298642533936,82.3529411764706,78.28054298642535,80.09049773755656,80.09049773755656,82.8054298642534,78.73303167420815,79.63800904977376,81.90045248868778
transporter,89.86680948734283,0.719417737645538,90.54007625579834,89.92308115959167,90.48967623710632,91.04262232780457,90.50650691986084,88.67201447486877,89.37814402580261,89.49553656578064,89.06970572471619,89.55073118209839,0.30279069767441863,0.395849505591649,0.01603194493896624,0.39545454545454545,0.3891402714932127,0.3881278538812785,0.4099099099099099,0.3744292237442922,0.4144144144144144,0.38636363636363635,0.42792792792792794,0.37727272727272726,0.39545454545454545,0.6972093023255814,0.7762188805740105,0.02011010676661749,0.7860696517412935,0.7609756097560976,0.7681159420289855,0.7881773399014779,0.7464114832535885,0.7931034482758621,0.7644230769230769,0.8208955223880597,0.7632850241545893,0.7707317073170732,0.1199153225407927,0.004856582668807365,0.11979567663606752,0.11788288354680385,0.11757619026370979,0.12417466326261115,0.11342644237204945,0.12553922000176074,0.11704175303523838,0.12963289021920946,0.11428782943440924,0.11979567663606752,0.5410776561655969,0.014018120026241494,0.5479443175004456,0.5304520537062049,0.5354293537270453,0.5494135203222028,0.5202998612907751,0.5528473548242165,0.532855174141819,0.5722203315669211,0.5320618735149254,0.5372527210614125,0.4110196439111446,0.012254678727574665,0.4138211776791162,0.3959895897188651,0.40683570241054756,0.41766205916470583,0.4001560961685626,0.4307622595963589,0.4041984054205667,0.4315731045406604,0.3960204736225168,0.4131775707895457,0.7742844169271355,0.027758161118330866,0.7777854312105247,0.741497399622186,0.7680555691992009,0.7866958825258228,0.7426722589367482,0.8188406360546581,0.7532311750853151,0.8262944245684618,0.7700474565193306,0.7577239355491053,84.01673640167364,1.6715468079864588,83.68200836820084,84.10041841004184,84.10041841004184,84.10041841004184,82.42677824267783,86.61087866108787,82.00836820083683,87.44769874476988,82.84518828451883,82.84518828451883,81.17154811715481,2.8501065047575542,83.68200836820084,83.26359832635983,82.42677824267783,81.58995815899581,83.26359832635983,75.73221757322176,82.00836820083683,75.73221757322176,80.75313807531381,83.26359832635983
cysteine_protease,76.61040184497833,0.5644776866195043,76.94506239891052,75.96188545227051,76.50476050376892,76.9765133857727,76.83209609985352,75.59720277786255,76.68817377090454,76.38441872596741,76.44264149665833,77.77126383781433,0.5117241379310344,0.7675681348356214,0.007455143240962277,0.7628865979381443,0.7755102040816326,0.7628865979381443,0.7684210526315789,0.7653061224489796,0.7525773195876289,0.7777777777777778,0.776595744680851,0.7708333333333334,0.7628865979381443,0.48827586206896556,0.756074709700961,0.015864579568964813,0.7857142857142857,0.7428571428571429,0.7307692307692307,0.7741935483870968,0.7692307692307693,0.7586206896551724,0.75,0.7407407407407407,0.7586206896551724,0.75,0.3927831421020904,0.0038149767481338013,0.39038748666903655,0.39684729064039403,0.39038748666903655,0.39321960072595274,0.39162561576354676,0.385111980092428,0.398007662835249,0.3974027879677182,0.39445402298850574,0.39038748666903655,0.36917303066777957,0.007746291265397996,0.38364532019704434,0.3627192118226601,0.35681697612732094,0.37802002224694103,0.37559681697612735,0.3704161712247324,0.3662068965517241,0.36168582375478925,0.3704161712247324,0.3662068965517241,0.740720018280352,0.007672068818257555,0.7397512542582565,0.7403504372480645,0.7557863535262427,0.7357078304547583,0.7424200127721715,0.739642125665582,0.7525411054632413,0.7384462446186525,0.729261334808978,0.7332934839875725,0.780519540567119,0.008128983178081726,0.7826093243705786,0.789144039301673,0.7613203770571435,0.7881981944352339,0.7713265800889414,0.7800511812767924,0.7832853951724115,0.777780872038226,0.7859679632234265,0.7855114787067636,95.31428571428572,0.22857142857142776,95.42857142857143,95.42857142857143,95.42857142857143,94.85714285714286,95.42857142857143,95.42857142857143,95.42857142857143,95.42857142857143,94.85714285714286,95.42857142857143,75.37142857142857,1.850758256080189,75.42857142857143,79.42857142857143,73.71428571428571,76.0,73.71428571428571,76.57142857142857,74.28571428571429,74.28571428571429,73.14285714285714,77.14285714285714
dna_repair,70.53925399780273,0.4435721782298598,70.70488977432251,69.80648183822632,69.82634496688843,70.81344223022461,70.981938123703,70.53503203392029,71.31722044944763,70.41958999633789,70.5002670288086,70.48733353614807,0.36773428232502964,0.44423091082783384,0.030705832072167812,0.4189189189189189,0.45,0.46835443037974683,0.4647887323943662,0.43478260869565216,0.4025974025974026,0.49295774647887325,0.38961038961038963,0.45454545454545453,0.4657534246575342,0.6322657176749704,0.7684233781996556,0.023165609621133156,0.77,0.7857142857142857,0.803921568627451,0.7916666666666666,0.7211538461538461,0.7777777777777778,0.7570093457943925,0.77,0.7669902912621359,0.74,0.1591514843375955,0.011000762515601736,0.15008313500472728,0.1612183353437877,0.16779404803713488,0.16651659049593096,0.15576650757853885,0.14423574013441326,0.17660850507144193,0.13958297432362574,0.16284680337756333,0.16686220400879093,0.4931257384827705,0.014866229575926225,0.4941375150784077,0.5042219541616405,0.5159062418694861,0.5080418174507438,0.4627911292567505,0.49912880310950275,0.48580093119736645,0.4941375150784077,0.49220607352407275,0.4748854041013269,0.4572672571446449,0.040280480519578624,0.41699088988206306,0.47876608008124444,0.50528197682243,0.40995083025746903,0.4741467314746069,0.40389939501936306,0.503448174778647,0.4066397996269567,0.48314600288927273,0.4904026906143961,0.7977887930320378,0.012893693302392567,0.8005523056907701,0.8025334074941,0.8119969786195796,0.8084573031786989,0.8054351418278126,0.7935578273518733,0.7890585916488344,0.7906399479045213,0.8092118382784462,0.7664445883257411,69.20289855072465,2.8111832958363507,65.94202898550725,73.18840579710145,71.01449275362319,65.94202898550725,65.21739130434783,73.18840579710145,71.01449275362319,69.56521739130434,69.56521739130434,67.3913043478261,68.2608695652174,1.6138447428492793,67.3913043478261,65.21739130434783,67.3913043478261,69.56521739130434,68.1159420289855,66.66666666666667,69.56521739130434,69.56521739130434,68.1159420289855,71.01449275362319
GPCR_3,63.864109897613524,0.6132048941241613,63.83488178253174,64.17088103294373,65.22960209846497,64.23964929580688,63.17657709121704,62.876222133636475,64.08045387268066,63.494919538497925,63.6989471912384,63.83896493911743,0.5945223780895124,0.8604474337951569,0.012044681261375837,0.8636363636363636,0.8805970149253731,0.8571428571428571,0.8549618320610687,0.8372093023255814,0.8461538461538461,0.8604651162790697,0.8656716417910447,0.8636363636363636,0.875,0.40547762191048764,0.6782536036337226,0.0099640419489015,0.6708860759493671,0.6967741935483871,0.6708074534161491,0.6686746987951807,0.6730769230769231,0.6875,0.689873417721519,0.6706586826347305,0.66875,0.6855345911949685,0.5115552545609149,0.00716083254684337,0.5134511447136698,0.5235346314519587,0.5095906097910106,0.5082939415727128,0.49773966537726616,0.503057396844972,0.5115657671933013,0.5146611631222644,0.5134511447136698,0.5202070808283233,0.2750166582536203,0.004040196034056929,0.27202929064880815,0.28252634300859786,0.2719974109710104,0.2711326266991815,0.272917630132059,0.27876586506346024,0.279728232836982,0.27193708774835096,0.2711631596526386,0.27796893577511417,0.8414567923259686,0.009124965849785902,0.8482051336690739,0.8508392443193759,0.8365466586393118,0.8545489172998718,0.8228335086053946,0.8425073200982005,0.8319763427666548,0.8479070917788015,0.8425403186818924,0.8366633874011086,0.6598619022972769,0.005811393419829928,0.6626917387884698,0.667529930343315,0.6586420373455022,0.6648689826655789,0.6547716999057902,0.6536350273123888,0.6645835560301179,0.6477615877970634,0.66285293856686,0.6612815242176825,88.05970149253731,1.737736238464973,86.06965174129353,88.05970149253731,88.55721393034825,90.04975124378109,87.06467661691542,90.04975124378109,87.56218905472637,91.04477611940298,86.06965174129353,86.06965174129353,89.25373134328359,0.7771392712344913,89.05472636815921,89.05472636815921,87.56218905472637,88.55721393034825,89.55223880597015,90.54726368159204,89.55223880597015,89.55223880597015,89.05472636815921,90.04975124378109
GPCR,149.20550768375398,1.0270670663576091,150.07952308654785,150.4479718208313,150.04543232917786,148.31335997581482,150.8435022830963,148.8568594455719,147.58568716049194,149.07627367973328,148.46347093582153,148.34299612045288,0.5064615384615384,0.5569200048315706,0.012323772348963397,0.5337423312883436,0.5515151515151515,0.5632911392405063,0.567741935483871,0.5740740740740741,0.5375,0.5625,0.5548780487804879,0.5662650602409639,0.5576923076923077,0.4935384615384616,0.38526028713069327,0.022265068023923886,0.4121212121212121,0.38509316770186336,0.40606060606060607,0.34782608695652173,0.39156626506024095,0.37888198757763975,0.42073170731707316,0.37423312883435583,0.38125,0.3548387096774194,0.28205856244700467,0.00624151670350577,0.2703199622463426,0.2793212121212121,0.28528529698149946,0.28753945409429277,0.29074643874643874,0.2722230769230769,0.28488461538461535,0.2810243902439024,0.2867914735866543,0.2824497041420118,0.19014076940234828,0.010988667418576587,0.20339766899766898,0.1900582895365504,0.20040652680652682,0.17166555183946489,0.19325301204819276,0.1869928332537028,0.20764727954971857,0.18469844266163285,0.18816153846153846,0.17512655086848636,0.5798935069162244,0.00801991817866404,0.5757953204385308,0.5850132690547103,0.5814870998386426,0.579019528889797,0.5711554937250751,0.5733308811510717,0.5701764663888508,0.593227731691464,0.5936910974129288,0.5760381805711731,0.3906042084721288,0.01004905659236347,0.40009842593830136,0.38307316515960343,0.4064199390404904,0.3774195828626765,0.39085363614201707,0.380836723336354,0.40242977843733696,0.38237499872432784,0.39948667419342543,0.383049160886755,82.37410071942446,0.7502393386551887,81.83453237410072,81.65467625899281,82.19424460431655,80.93525179856115,83.45323741007195,83.45323741007195,82.55395683453237,82.9136690647482,82.19424460431655,82.55395683453237,70.23381294964028,1.0918021734371368,70.50359712230215,71.0431654676259,69.7841726618705,69.06474820143885,71.58273381294964,69.42446043165468,72.12230215827338,68.34532374100719,70.14388489208633,70.32374100719424
GPCR_2,69.10017671585084,0.6112273683389814,68.2718894481659,68.61394000053406,69.40995407104492,70.39340209960938,69.84828352928162,68.65621066093445,69.22839403152466,69.00346231460571,68.60402083396912,68.9722101688385,0.838468720821662,0.8886877077270366,0.007616873073900787,0.8677685950413223,0.8914728682170543,0.8931297709923665,0.8837209302325582,0.8968253968253969,0.8914728682170543,0.889763779527559,0.890625,0.8914728682170543,0.890625,0.16153127917833798,0.23595035889832872,0.009445436915221268,0.25471698113207547,0.22857142857142856,0.24761904761904763,0.22857142857142856,0.2403846153846154,0.23300970873786409,0.23076923076923078,0.22857142857142856,0.22429906542056074,0.24299065420560748,0.7458332350830642,0.006392478523703651,0.7282768208851471,0.748170687531696,0.7495612470571449,0.741664855466203,0.7526628096721555,0.748170687531696,0.7467363308558392,0.7474591121495326,0.748170687531696,0.7474591121495326,0.03792846890702107,0.0015183319153439785,0.040945159583847646,0.03674232309746329,0.03980418335558523,0.03674232309746329,0.0386412652767793,0.037455766264404326,0.037095614665708126,0.03674232309746329,0.03605555070311818,0.03906017992837803,0.896502727586102,0.009773740769656486,0.8685871317284898,0.8977113592186918,0.8980162656327515,0.8988665105918862,0.8935776961518441,0.9050092012495529,0.8999200818072014,0.9037231701522582,0.8999851455533743,0.8996307137749692,0.29500281286512,0.004328328920166157,0.30036090079654526,0.28943332877947353,0.2874216459579429,0.29643268433509035,0.29464903896073996,0.30021947510440966,0.29240964720613155,0.292023066378513,0.2988071811274449,0.29827116000490805,85.6989247311828,0.8046575025320275,87.09677419354838,86.02150537634408,83.87096774193549,84.94623655913979,86.02150537634408,85.48387096774194,86.02150537634408,86.02150537634408,85.48387096774194,86.02150537634408,86.7741935483871,1.2307014131461935,87.09677419354838,85.48387096774194,86.55913978494624,87.63440860215054,84.40860215053763,88.70967741935483,85.48387096774194,87.09677419354838,87.63440860215054,87.63440860215054
ion_channel2,107.70704734325409,0.6360969044070239,107.57025837898254,107.564621925354,106.33249354362488,108.11952519416809,107.8994038105011,107.06188678741455,108.45602202415466,108.1338746547699,108.52160739898682,107.41077971458435,0.20496894409937888,0.4042821439444172,0.02415585077802634,0.4489795918367347,0.41509433962264153,0.4,0.4074074074074074,0.40384615384615385,0.35,0.41818181818181815,0.4107142857142857,0.4067796610169492,0.38181818181818183,0.7950310559006211,0.742913535203934,0.018585166951910453,0.7023809523809523,0.7294117647058823,0.7529411764705882,0.7701149425287356,0.7380952380952381,0.7530864197530864,0.7530864197530864,0.7613636363636364,0.7402597402597403,0.7283950617283951,0.08286528416252029,0.004951199227794218,0.09202687286094562,0.08508144849408181,0.08198757763975156,0.08350586611456176,0.08277591973244147,0.0717391304347826,0.0857142857142857,0.08418367346938775,0.08337719759974735,0.0782608695652174,0.5906393323360469,0.014775784905866698,0.5584146702159124,0.579905005480453,0.5986116185604676,0.6122652959234668,0.5868086364980775,0.5987270914807147,0.5987270914807147,0.6053077357425183,0.5885294829394208,0.579096695038724,0.3968133111391282,0.007563792064597967,0.38628025636686275,0.4058873298820952,0.40727112723044834,0.3877012705744601,0.3930096501270585,0.3901401030041,0.40629997759635217,0.39795336527431796,0.4010455725178419,0.3925444588177447,0.7272174404093664,0.008473193819708963,0.7105790164239981,0.7317717216202635,0.7234700210730151,0.73105032336745,0.731543297000239,0.7282973241068136,0.7300756090362024,0.7433762493988858,0.7245623559630167,0.7174484861037794,85.36231884057972,0.3615127909926509,84.78260869565217,84.78260869565217,85.5072463768116,85.02415458937197,85.7487922705314,85.7487922705314,85.26570048309179,85.5072463768116,85.7487922705314,85.5072463768116,81.54589371980677,0.9970902145193349,82.1256038647343,81.64251207729468,79.46859903381643,81.15942028985508,82.6086956521739,80.67632850241546,81.64251207729468,81.40096618357488,83.33333333333333,81.40096618357488
