,Time - mean,Time - STD,Time - Replicate 1,Time - Replicate 2,Time - Replicate 3,Time - Replicate 4,Time - Replicate 5,Time - Replicate 6,Time - Replicate 7,Time - Replicate 8,Time - Replicate 9,Time - Replicate 10,FP rate,FP Precision@90 - mean,FP Precision@90 - STD,FP Precision@90 - Replicate 1,FP Precision@90 - Replicate 2,FP Precision@90 - Replicate 3,FP Precision@90 - Replicate 4,FP Precision@90 - Replicate 5,FP Precision@90 - Replicate 6,FP Precision@90 - Replicate 7,FP Precision@90 - Replicate 8,FP Precision@90 - Replicate 9,FP Precision@90 - Replicate 10,TP rate,TP Precision@90 - mean,TP Precision@90 - STD,TP Precision@90 - Replicate 1,TP Precision@90 - Replicate 2,TP Precision@90 - Replicate 3,TP Precision@90 - Replicate 4,TP Precision@90 - Replicate 5,TP Precision@90 - Replicate 6,TP Precision@90 - Replicate 7,TP Precision@90 - Replicate 8,TP Precision@90 - Replicate 9,TP Precision@90 - Replicate 10,FP EF10 - mean,FP EF10 - STD,FP EF10 - Replicate 1,FP EF10 - Replicate 2,FP EF10 - Replicate 3,FP EF10 - Replicate 4,FP EF10 - Replicate 5,FP EF10 - Replicate 6,FP EF10 - Replicate 7,FP EF10 - Replicate 8,FP EF10 - Replicate 9,FP EF10 - Replicate 10,TP EF10 - mean,TP EF10 - STD,TP EF10 - Replicate 1,TP EF10 - Replicate 2,TP EF10 - Replicate 3,TP EF10 - Replicate 4,TP EF10 - Replicate 5,TP EF10 - Replicate 6,TP EF10 - Replicate 7,TP EF10 - Replicate 8,TP EF10 - Replicate 9,TP EF10 - Replicate 10,FP BEDROC20 - mean,FP BEDROC20 - STD,FP BEDROC20 - Replicate 1,FP BEDROC20 - Replicate 2,FP BEDROC20 - Replicate 3,FP BEDROC20 - Replicate 4,FP BEDROC20 - Replicate 5,FP BEDROC20 - Replicate 6,FP BEDROC20 - Replicate 7,FP BEDROC20 - Replicate 8,FP BEDROC20 - Replicate 9,FP BEDROC20 - Replicate 10,TP BEDROC20 - mean,TP BEDROC20 - STD,TP BEDROC20 - Replicate 1,TP BEDROC20 - Replicate 2,TP BEDROC20 - Replicate 3,TP BEDROC20 - Replicate 4,TP BEDROC20 - Replicate 5,TP BEDROC20 - Replicate 6,TP BEDROC20 - Replicate 7,TP BEDROC20 - Replicate 8,TP BEDROC20 - Replicate 9,TP BEDROC20 - Replicate 10,FP Scaffold- mean,FP Scaffold - STD,FP Scaffold - Replicate 1,FP Scaffold - Replicate 2,FP Scaffold - Replicate 3,FP Scaffold - Replicate 4,FP Scaffold - Replicate 5,FP Scaffold - Replicate 6,FP Scaffold - Replicate 7,FP Scaffold - Replicate 8,FP Scaffold - Replicate 9,FP Scaffold - Replicate 10,TP Scaffold- mean,TP Scaffold - STD,TP Scaffold - Replicate 1,TP Scaffold - Replicate 2,TP Scaffold - Replicate 3,TP Scaffold - Replicate 4,TP Scaffold - Replicate 5,TP Scaffold - Replicate 6,TP Scaffold - Replicate 7,TP Scaffold - Replicate 8,TP Scaffold - Replicate 9,TP Scaffold - Replicate 10
transcription_5,174.9349953651428,1.4404573905659948,177.76772713661194,174.99890971183777,174.6273810863495,176.90544295310974,176.10195589065552,173.04798531532288,174.08319306373596,173.96966910362244,174.1673126220703,173.68037676811218,0.8592233009708737,0.8028966445024619,0.029852794333593623,0.8222222222222222,0.8181818181818182,0.8409090909090909,0.8260869565217391,0.8260869565217391,0.75,0.8095238095238095,0.7560975609756098,0.7755102040816326,0.8043478260869565,0.14077669902912626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6895924951566157,0.02563999124028843,0.7061908623952419,0.7027206370272063,0.7222406547224065,0.7095102083994499,0.7095102083994499,0.6441605839416058,0.6952844398099872,0.6493976618598303,0.6660708078851978,0.6908388871257801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7805032454111023,0.02546844629354304,0.7653746932882777,0.7937736151322629,0.7998350991784229,0.8145860515785128,0.8242616773705438,0.7462893601240858,0.7789324885104937,0.7539522032998192,0.7742472402494152,0.7537800253791899,0.09864476129638058,0.00995635945435376,0.09238371625741192,0.1010811530793848,0.10831732054713958,0.10895329278913973,0.1035825670067224,0.10852061323366292,0.08630859361481726,0.08509611261448696,0.10784389990535066,0.08436034391568974,88.6411149825784,1.1603362930555239,87.28222996515679,89.7212543554007,87.45644599303135,87.63066202090593,89.37282229965157,87.97909407665506,90.76655052264809,89.19860627177701,89.54703832752614,87.45644599303135,13.57142857142857,1.57460836993008,12.89198606271777,14.45993031358885,15.853658536585366,15.679442508710801,14.285714285714286,13.588850174216027,13.240418118466899,10.278745644599303,12.020905923344948,13.414634146341463
channel_atp,65.11576204299926,0.5447163121569655,66.13037943840027,65.45973491668701,65.41213631629944,65.09127306938171,65.59523582458496,64.37567353248596,65.32537388801575,64.8092987537384,64.42828702926636,64.53022766113281,0.4878048780487805,0.7352352168397879,0.007956834581829905,0.7450980392156863,0.7425742574257426,0.7227722772277227,0.7227722772277227,0.7326732673267327,0.7281553398058253,0.7425742574257426,0.7352941176470589,0.7378640776699029,0.7425742574257426,0.5121951219512195,0.7589264222253179,0.01459662044826174,0.7722772277227723,0.77,0.7572815533980582,0.7524752475247525,0.77,0.7549019607843137,0.7575757575757576,0.7821782178217822,0.7425742574257426,0.73,0.35968860117946483,0.0038926082905226716,0.36451364859669355,0.36327897495631917,0.35359153562415063,0.35359153562415063,0.3584352552902349,0.35622501427755565,0.36327897495631917,0.35971741637831606,0.36097468113458975,0.36327897495631917,0.3876477117445006,0.007455724758376822,0.3944670937682003,0.3933039215686274,0.3868075385494003,0.38435255290234904,0.3933039215686274,0.38559207996924255,0.38695781342840163,0.39952436420112597,0.3792952824694234,0.3728725490196078,0.7253020048648656,0.009097233306113705,0.712522584076472,0.733133230911643,0.7185321150864618,0.7075770724074656,0.7336602155237332,0.7268158874446303,0.7307098196465219,0.7230095790416419,0.7328564641011401,0.7342030804089459,0.7484800486739226,0.008098538884959434,0.7652096935968824,0.7489919921130433,0.7381976793339747,0.7476375648188082,0.7532909247427384,0.754655130667872,0.7459891400357912,0.7528972351719527,0.738178124833017,0.739753001425146,90.27027027027027,0.6741725021214313,90.09009009009009,89.1891891891892,90.09009009009009,90.990990990991,89.1891891891892,90.990990990991,90.09009009009009,90.990990990991,90.990990990991,90.09009009009009,88.01801801801801,0.8108108108108116,89.1891891891892,88.28828828828829,86.48648648648648,88.28828828828829,88.28828828828829,86.48648648648648,88.28828828828829,88.28828828828829,88.28828828828829,88.28828828828829
transcription,86.15976369380951,0.8069103543259244,85.59556913375854,85.36391592025757,86.51190090179443,87.75654673576355,87.47649931907654,85.94308185577393,85.4769344329834,85.38138008117676,85.98747134208679,86.10433721542358,0.44337606837606836,0.7565715284521446,0.021757725535508456,0.7327586206896551,0.7404580152671756,0.7786259541984732,0.7862595419847328,0.7131147540983607,0.7734375,0.7459016393442623,0.7698412698412699,0.7615384615384615,0.7637795275590551,0.5566239316239316,0.7960751006906468,0.01238263850403196,0.7746478873239436,0.7948717948717948,0.7848101265822784,0.7916666666666666,0.7816091954022989,0.8157894736842105,0.8045977011494253,0.8026315789473685,0.8,0.810126582278481,0.3349953077852277,0.009633902001818715,0.32445141065830724,0.32786055435359435,0.34476058292852185,0.3481405886435074,0.31575348470237574,0.34246323529411765,0.3302708862978873,0.3408708938120703,0.3371945701357466,0.3381868710261485,0.4435883716147882,0.006899844556792133,0.43164871582435793,0.4429178664472782,0.4373113111757937,0.4411319073083779,0.43552769070010455,0.4545735997748382,0.4483373286618723,0.44724176752040534,0.44577540106951874,0.4514181276653354,0.7557460959359286,0.0252375225811096,0.731778572630882,0.7399346251494137,0.7611654537325248,0.7650293984811717,0.7121859825473376,0.7662778536403252,0.7455257578040662,0.7913968324838818,0.7995759237436313,0.7445905591460519,0.7733183756252165,0.0145517821875392,0.7632223738341081,0.7645449912183518,0.760658507076783,0.7581499061786444,0.7660622132512085,0.7716669402416986,0.790072582616322,0.801490334417369,0.7921027175905571,0.7652131898271218,93.2579185520362,1.079353886142676,94.57013574660634,93.66515837104072,92.76018099547511,93.21266968325791,91.4027149321267,94.57013574660634,91.4027149321267,94.11764705882354,93.21266968325791,93.66515837104072,79.95475113122173,2.1420453173836416,75.1131221719457,80.54298642533936,82.3529411764706,78.28054298642535,80.09049773755656,80.09049773755656,82.8054298642534,78.73303167420815,79.63800904977376,81.90045248868778
transporter,90.18151798248292,0.7191876429226475,90.85732460021973,90.23613977432251,90.8085880279541,91.36139225959778,90.81119751930237,88.99050521850586,89.69056224822998,89.81150341033936,89.38666009902954,89.86130666732788,0.30279069767441863,0.395849505591649,0.01603194493896624,0.39545454545454545,0.3891402714932127,0.3881278538812785,0.4099099099099099,0.3744292237442922,0.4144144144144144,0.38636363636363635,0.42792792792792794,0.37727272727272726,0.39545454545454545,0.6972093023255814,0.7762188805740105,0.02011010676661749,0.7860696517412935,0.7609756097560976,0.7681159420289855,0.7881773399014779,0.7464114832535885,0.7931034482758621,0.7644230769230769,0.8208955223880597,0.7632850241545893,0.7707317073170732,0.1199153225407927,0.004856582668807365,0.11979567663606752,0.11788288354680385,0.11757619026370979,0.12417466326261115,0.11342644237204945,0.12553922000176074,0.11704175303523838,0.12963289021920946,0.11428782943440924,0.11979567663606752,0.5410776561655969,0.014018120026241494,0.5479443175004456,0.5304520537062049,0.5354293537270453,0.5494135203222028,0.5202998612907751,0.5528473548242165,0.532855174141819,0.5722203315669211,0.5320618735149254,0.5372527210614125,0.41101769669550264,0.012255258674190183,0.4138211776791162,0.39598811424528435,0.4068357012513384,0.41766205916470583,0.4001560961685626,0.43075956217249955,0.4041833135421785,0.43157307981847937,0.3960204736225168,0.41317738929034487,0.7742848093730471,0.02775889616583198,0.7777854312105247,0.7414974013199477,0.7680555691992009,0.7866958825258228,0.7426722589367482,0.8188406274375976,0.7532311750853151,0.8262983559468781,0.7700474565193306,0.7577239355491053,84.01673640167364,1.6715468079864588,83.68200836820084,84.10041841004184,84.10041841004184,84.10041841004184,82.42677824267783,86.61087866108787,82.00836820083683,87.44769874476988,82.84518828451883,82.84518828451883,81.17154811715481,2.8501065047575542,83.68200836820084,83.26359832635983,82.42677824267783,81.58995815899581,83.26359832635983,75.73221757322176,82.00836820083683,75.73221757322176,80.75313807531381,83.26359832635983
cysteine_protease,76.79594178199768,0.5667605703983292,77.13318395614624,76.14335060119629,76.69098663330078,77.16401886940002,77.02042531967163,75.77760624885559,76.87155556678772,76.57254099845886,76.62610602378845,77.95964360237122,0.5117241379310344,0.7675681348356214,0.007455143240962277,0.7628865979381443,0.7755102040816326,0.7628865979381443,0.7684210526315789,0.7653061224489796,0.7525773195876289,0.7777777777777778,0.776595744680851,0.7708333333333334,0.7628865979381443,0.48827586206896556,0.756074709700961,0.015864579568964813,0.7857142857142857,0.7428571428571429,0.7307692307692307,0.7741935483870968,0.7692307692307693,0.7586206896551724,0.75,0.7407407407407407,0.7586206896551724,0.75,0.3927831421020904,0.0038149767481338013,0.39038748666903655,0.39684729064039403,0.39038748666903655,0.39321960072595274,0.39162561576354676,0.385111980092428,0.398007662835249,0.3974027879677182,0.39445402298850574,0.39038748666903655,0.36917303066777957,0.007746291265397996,0.38364532019704434,0.3627192118226601,0.35681697612732094,0.37802002224694103,0.37559681697612735,0.3704161712247324,0.3662068965517241,0.36168582375478925,0.3704161712247324,0.3662068965517241,0.7407200256589186,0.007672067781632595,0.7397512542582565,0.7403504372480645,0.7557863535262427,0.7357078304547583,0.7424200127721715,0.7396421994512484,0.7525411054632413,0.7384462446186525,0.729261334808978,0.7332934839875725,0.780519540567119,0.008128983178081726,0.7826093243705786,0.789144039301673,0.7613203770571435,0.7881981944352339,0.7713265800889414,0.7800511812767924,0.7832853951724115,0.777780872038226,0.7859679632234265,0.7855114787067636,95.31428571428572,0.22857142857142776,95.42857142857143,95.42857142857143,95.42857142857143,94.85714285714286,95.42857142857143,95.42857142857143,95.42857142857143,95.42857142857143,94.85714285714286,95.42857142857143,75.37142857142857,1.850758256080189,75.42857142857143,79.42857142857143,73.71428571428571,76.0,73.71428571428571,76.57142857142857,74.28571428571429,74.28571428571429,73.14285714285714,77.14285714285714
dna_repair,70.7109031200409,0.4449246992677419,70.87607455253601,69.97087550163269,69.99697065353394,70.98903584480286,71.15643429756165,70.71072316169739,71.48640179634094,70.59679508209229,70.66864228248596,70.65707802772522,0.36773428232502964,0.43499678370638273,0.03675102406740748,0.37142857142857144,0.45,0.46835443037974683,0.4225352112676056,0.43478260869565216,0.4,0.49295774647887325,0.38961038961038963,0.45454545454545453,0.4657534246575342,0.6322657176749704,0.7684233781996556,0.023165609621133156,0.77,0.7857142857142857,0.803921568627451,0.7916666666666666,0.7211538461538461,0.7777777777777778,0.7570093457943925,0.77,0.7669902912621359,0.74,0.15584323855343268,0.013166530938504247,0.1330691021885232,0.1612183353437877,0.16779404803713488,0.1513787186326645,0.15576650757853885,0.14330518697225575,0.17660850507144193,0.13958297432362574,0.16284680337756333,0.16686220400879093,0.4931257384827705,0.014866229575926225,0.4941375150784077,0.5042219541616405,0.5159062418694861,0.5080418174507438,0.4627911292567505,0.49912880310950275,0.48580093119736645,0.4941375150784077,0.49220607352407275,0.4748854041013269,0.45606631444986945,0.04166715296259959,0.4011057321038854,0.4787660692713921,0.50528197682243,0.4120057798416026,0.4741467314746069,0.40566460079238975,0.503448174778647,0.40669538591007165,0.48314600288927273,0.4904026906143961,0.7977825026005849,0.012895779900370325,0.8005522117386169,0.8025333436979062,0.8119969786195796,0.8084571817151648,0.8054351418278126,0.7934966695593038,0.7890585916488344,0.7906384805944437,0.8092118382784462,0.7664445883257411,68.98550724637683,3.0017848082910117,64.4927536231884,73.18840579710145,71.01449275362319,65.94202898550725,65.21739130434783,73.18840579710145,71.01449275362319,68.84057971014492,69.56521739130434,67.3913043478261,68.2608695652174,1.6138447428492793,67.3913043478261,65.21739130434783,67.3913043478261,69.56521739130434,68.1159420289855,66.66666666666667,69.56521739130434,69.56521739130434,68.1159420289855,71.01449275362319
GPCR_3,64.09489810466766,0.6128783991814397,64.06808304786682,64.40243744850159,65.45740461349487,64.46846556663513,63.409926652908325,63.10534191131592,64.31678295135498,63.72188425064087,63.92905616760254,64.06959843635559,0.5945223780895124,0.8604474337951569,0.012044681261375837,0.8636363636363636,0.8805970149253731,0.8571428571428571,0.8549618320610687,0.8372093023255814,0.8461538461538461,0.8604651162790697,0.8656716417910447,0.8636363636363636,0.875,0.40547762191048764,0.6782536036337226,0.0099640419489015,0.6708860759493671,0.6967741935483871,0.6708074534161491,0.6686746987951807,0.6730769230769231,0.6875,0.689873417721519,0.6706586826347305,0.66875,0.6855345911949685,0.5115552545609149,0.00716083254684337,0.5134511447136698,0.5235346314519587,0.5095906097910106,0.5082939415727128,0.49773966537726616,0.503057396844972,0.5115657671933013,0.5146611631222644,0.5134511447136698,0.5202070808283233,0.2750166582536203,0.004040196034056929,0.27202929064880815,0.28252634300859786,0.2719974109710104,0.2711326266991815,0.272917630132059,0.27876586506346024,0.279728232836982,0.27193708774835096,0.2711631596526386,0.27796893577511417,0.841442805018908,0.009117052864553136,0.8480371807443926,0.8508392443193759,0.8365466586393118,0.854581568252114,0.8228335086053946,0.8425073200982005,0.8319763427666548,0.8479025211066532,0.8425403186818924,0.8366633869750913,0.6598622894190556,0.005811413870128078,0.662694937730486,0.667529930343315,0.6586420372917884,0.6648689982553677,0.6547716999079949,0.6536350273123888,0.6645835560301179,0.6477622445345538,0.66285293856686,0.6612815242176825,88.05970149253731,1.737736238464973,86.06965174129353,88.05970149253731,88.55721393034825,90.04975124378109,87.06467661691542,90.04975124378109,87.56218905472637,91.04477611940298,86.06965174129353,86.06965174129353,89.25373134328359,0.7771392712344913,89.05472636815921,89.05472636815921,87.56218905472637,88.55721393034825,89.55223880597015,90.54726368159204,89.55223880597015,89.55223880597015,89.05472636815921,90.04975124378109
GPCR,149.64561448097228,1.0241717069448524,150.51905274391174,150.88231825828552,150.4832808971405,148.74856519699097,151.28483724594116,149.29593586921692,148.04069900512695,149.51029062271118,148.90503311157227,148.78613185882568,0.5064615384615384,0.5413768413122437,0.0481565398580897,0.4,0.5515151515151515,0.5632911392405063,0.5460526315789473,0.5740740740740741,0.5375,0.5625,0.5548780487804879,0.5662650602409639,0.5576923076923077,0.4935384615384616,0.3855115805527184,0.022578785110913106,0.4146341463414634,0.38509316770186336,0.40606060606060607,0.34782608695652173,0.39156626506024095,0.37888198757763975,0.42073170731707316,0.37423312883435583,0.38125,0.3548387096774194,0.2741865479384472,0.024389435263512504,0.20258461538461536,0.2793212121212121,0.28528529698149946,0.2765546558704453,0.29074643874643874,0.2722230769230769,0.28488461538461535,0.2810243902439024,0.2867914735866543,0.2824497041420118,0.1902647923712493,0.011143498867047576,0.20463789868667917,0.1900582895365504,0.20040652680652682,0.17166555183946489,0.19325301204819276,0.1869928332537028,0.20764727954971857,0.18469844266163285,0.18816153846153846,0.17512655086848636,0.5580946779858408,0.05315163300770908,0.40700692360678487,0.5850649084693588,0.5814850476863285,0.5300127540485892,0.571155482262612,0.5731983793016724,0.5701765903031002,0.593108523691496,0.5936999415239752,0.5760382289644915,0.390587335280407,0.010030942335911383,0.39990175160201097,0.38307267388335325,0.40641993922617836,0.3774172057745915,0.3908536320150649,0.38083712867146347,0.4024297942522215,0.38239129229259106,0.3995012613914563,0.383048673695139,82.69784172661869,1.075533553073817,85.07194244604317,81.65467625899281,82.19424460431655,80.93525179856115,83.45323741007195,83.45323741007195,82.55395683453237,82.9136690647482,82.19424460431655,82.55395683453237,70.25179856115108,1.0975644821865018,70.68345323741008,71.0431654676259,69.7841726618705,69.06474820143885,71.58273381294964,69.42446043165468,72.12230215827338,68.34532374100719,70.14388489208633,70.32374100719424
GPCR_2,69.31051647663116,0.6115158048075485,68.4839448928833,68.82426142692566,69.6192798614502,70.60398244857788,70.06095719337463,68.86857604980469,69.44105863571167,69.2139344215393,68.81156206130981,69.1776077747345,0.838468720821662,0.8885250214512508,0.008066068553765196,0.8661417322834646,0.8914728682170543,0.8931297709923665,0.8837209302325582,0.8968253968253969,0.8914728682170543,0.889763779527559,0.890625,0.8914728682170543,0.890625,0.16153127917833798,0.23595035889832872,0.009445436915221268,0.25471698113207547,0.22857142857142856,0.24761904761904763,0.22857142857142856,0.2403846153846154,0.23300970873786409,0.23076923076923078,0.22857142857142856,0.22429906542056074,0.24299065420560748,0.7456967002460029,0.006769466879702005,0.7269114725145338,0.748170687531696,0.7495612470571449,0.741664855466203,0.7526628096721555,0.748170687531696,0.7467363308558392,0.7474591121495326,0.748170687531696,0.7474591121495326,0.03792846890702107,0.0015183319153439785,0.040945159583847646,0.03674232309746329,0.03980418335558523,0.03674232309746329,0.0386412652767793,0.037455766264404326,0.037095614665708126,0.03674232309746329,0.03605555070311818,0.03906017992837803,0.8966446237901469,0.009368982893484725,0.8700072880400087,0.8977113592186918,0.8980162656327515,0.8988665105918862,0.8935776961518441,0.9050092012495529,0.8999188875361309,0.9037231701522582,0.8999851455533743,0.8996307137749692,0.2950027949887179,0.004328306791039021,0.3003607220325246,0.28943332877947353,0.2874216459579429,0.29643268433509035,0.29464903896073996,0.30021947510440966,0.29240964720613155,0.292023066378513,0.2988071811274449,0.29827116000490805,85.80645161290322,1.0257410767924129,88.17204301075269,86.02150537634408,83.87096774193549,84.94623655913979,86.02150537634408,85.48387096774194,86.02150537634408,86.02150537634408,85.48387096774194,86.02150537634408,86.7741935483871,1.2307014131461935,87.09677419354838,85.48387096774194,86.55913978494624,87.63440860215054,84.40860215053763,88.70967741935483,85.48387096774194,87.09677419354838,87.63440860215054,87.63440860215054
ion_channel2,108.0680853843689,0.6378122352338333,107.930424451828,107.93184232711792,106.69079995155334,108.48506784439087,108.26504945755005,107.42041516304016,108.81841468811035,108.49353504180908,108.88294720649719,107.76235771179199,0.20496894409937888,0.4025214396627045,0.021307460363632784,0.43137254901960786,0.41509433962264153,0.4,0.4074074074074074,0.40384615384615385,0.35,0.41818181818181815,0.4107142857142857,0.4067796610169492,0.38181818181818183,0.7950310559006211,0.742913535203934,0.018585166951910453,0.7023809523809523,0.7294117647058823,0.7529411764705882,0.7701149425287356,0.7380952380952381,0.7530864197530864,0.7530864197530864,0.7613636363636364,0.7402597402597403,0.7283950617283951,0.0825043944650264,0.0043673676521731805,0.08841797588600658,0.08508144849408181,0.08198757763975156,0.08350586611456176,0.08277591973244147,0.0717391304347826,0.0857142857142857,0.08418367346938775,0.08337719759974735,0.0782608695652174,0.5906393323360469,0.014775784905866698,0.5584146702159124,0.579905005480453,0.5986116185604676,0.6122652959234668,0.5868086364980775,0.5987270914807147,0.5987270914807147,0.6053077357425183,0.5885294829394208,0.579096695038724,0.39604611431153386,0.008778413636521458,0.37882803894154676,0.4058873298820952,0.4068493199224802,0.3877012705744601,0.3930096501270585,0.3901401030041,0.40629997759635217,0.39815542173165885,0.4010455725178419,0.3925444588177447,0.7272174609342172,0.008473232985066718,0.710579016364981,0.7317717216202635,0.7234700210710898,0.73105032336745,0.731543297000239,0.7282973241068136,0.7300756090362024,0.743376454708337,0.7245623559630167,0.7174484861037794,85.38647342995169,0.32853793499360967,85.02415458937197,84.78260869565217,85.5072463768116,85.02415458937197,85.7487922705314,85.7487922705314,85.26570048309179,85.5072463768116,85.7487922705314,85.5072463768116,81.54589371980677,0.9970902145193349,82.1256038647343,81.64251207729468,79.46859903381643,81.15942028985508,82.6086956521739,80.67632850241546,81.64251207729468,81.40096618357488,83.33333333333333,81.40096618357488
