,Time - mean,Time - STD,Time - Replicate 1,Time - Replicate 2,Time - Replicate 3,Time - Replicate 4,Time - Replicate 5,Time - Replicate 6,Time - Replicate 7,Time - Replicate 8,Time - Replicate 9,Time - Replicate 10,FP rate,FP Precision@90 - mean,FP Precision@90 - STD,FP Precision@90 - Replicate 1,FP Precision@90 - Replicate 2,FP Precision@90 - Replicate 3,FP Precision@90 - Replicate 4,FP Precision@90 - Replicate 5,FP Precision@90 - Replicate 6,FP Precision@90 - Replicate 7,FP Precision@90 - Replicate 8,FP Precision@90 - Replicate 9,FP Precision@90 - Replicate 10,TP rate,TP Precision@90 - mean,TP Precision@90 - STD,TP Precision@90 - Replicate 1,TP Precision@90 - Replicate 2,TP Precision@90 - Replicate 3,TP Precision@90 - Replicate 4,TP Precision@90 - Replicate 5,TP Precision@90 - Replicate 6,TP Precision@90 - Replicate 7,TP Precision@90 - Replicate 8,TP Precision@90 - Replicate 9,TP Precision@90 - Replicate 10,FP EF10 - mean,FP EF10 - STD,FP EF10 - Replicate 1,FP EF10 - Replicate 2,FP EF10 - Replicate 3,FP EF10 - Replicate 4,FP EF10 - Replicate 5,FP EF10 - Replicate 6,FP EF10 - Replicate 7,FP EF10 - Replicate 8,FP EF10 - Replicate 9,FP EF10 - Replicate 10,TP EF10 - mean,TP EF10 - STD,TP EF10 - Replicate 1,TP EF10 - Replicate 2,TP EF10 - Replicate 3,TP EF10 - Replicate 4,TP EF10 - Replicate 5,TP EF10 - Replicate 6,TP EF10 - Replicate 7,TP EF10 - Replicate 8,TP EF10 - Replicate 9,TP EF10 - Replicate 10,FP BEDROC20 - mean,FP BEDROC20 - STD,FP BEDROC20 - Replicate 1,FP BEDROC20 - Replicate 2,FP BEDROC20 - Replicate 3,FP BEDROC20 - Replicate 4,FP BEDROC20 - Replicate 5,FP BEDROC20 - Replicate 6,FP BEDROC20 - Replicate 7,FP BEDROC20 - Replicate 8,FP BEDROC20 - Replicate 9,FP BEDROC20 - Replicate 10,TP BEDROC20 - mean,TP BEDROC20 - STD,TP BEDROC20 - Replicate 1,TP BEDROC20 - Replicate 2,TP BEDROC20 - Replicate 3,TP BEDROC20 - Replicate 4,TP BEDROC20 - Replicate 5,TP BEDROC20 - Replicate 6,TP BEDROC20 - Replicate 7,TP BEDROC20 - Replicate 8,TP BEDROC20 - Replicate 9,TP BEDROC20 - Replicate 10,FP Scaffold- mean,FP Scaffold - STD,FP Scaffold - Replicate 1,FP Scaffold - Replicate 2,FP Scaffold - Replicate 3,FP Scaffold - Replicate 4,FP Scaffold - Replicate 5,FP Scaffold - Replicate 6,FP Scaffold - Replicate 7,FP Scaffold - Replicate 8,FP Scaffold - Replicate 9,FP Scaffold - Replicate 10,TP Scaffold- mean,TP Scaffold - STD,TP Scaffold - Replicate 1,TP Scaffold - Replicate 2,TP Scaffold - Replicate 3,TP Scaffold - Replicate 4,TP Scaffold - Replicate 5,TP Scaffold - Replicate 6,TP Scaffold - Replicate 7,TP Scaffold - Replicate 8,TP Scaffold - Replicate 9,TP Scaffold - Replicate 10
transcription_5,175.34136545658112,1.4392265964524256,178.1706898212433,175.3952820301056,175.02827429771423,177.3087978363037,176.51502919197083,173.4518747329712,174.5047891139984,174.36895060539246,174.57809925079346,174.091867685318,0.8592233009708737,0.8105632069825841,0.02867936274605185,0.7735849056603774,0.7962962962962963,0.8235294117647058,0.84,0.8679245283018868,0.7843137254901961,0.821917808219178,0.8148148148148148,0.8113207547169812,0.7719298245614035,0.14077669902912626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6961771583086426,0.02463215340475984,0.6644172060781344,0.6839235829503469,0.7073135823672534,0.7214598540145984,0.7454436946242482,0.673631983206908,0.705929407059294,0.6998287825538433,0.6968278014965799,0.66299568873522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7936885135937228,0.026090912161547918,0.7605896764477038,0.7805685206697042,0.809914583249094,0.8298822615936126,0.8390928437446633,0.7603268489259052,0.7893916493481132,0.7971502114095568,0.8024469310858819,0.7675216094629931,0.0777237142666523,0.0054883366710271895,0.0751386156651795,0.08246050819933716,0.08364928432877816,0.08697460071955869,0.07967187461954245,0.07571294875832676,0.07009265202005564,0.06875637009306139,0.07892307344807106,0.07585721481461212,91.04529616724739,0.8991977631055006,88.85017421602788,91.46341463414635,91.11498257839722,91.11498257839722,91.63763066202091,89.89547038327527,91.28919860627178,91.81184668989548,91.46341463414635,91.81184668989548,13.641114982578395,1.186844692003561,13.066202090592334,13.763066202090592,14.634146341463415,15.156794425087108,13.240418118466899,13.414634146341463,13.240418118466899,11.32404181184669,12.89198606271777,15.679442508710801
channel_atp,65.28059289455413,0.5445785649127325,66.29505920410156,65.62553405761719,65.5723226070404,65.25507807731628,65.76165509223938,64.53929352760315,65.49173140525818,64.97506785392761,64.59417605400085,64.69601106643677,0.4878048780487805,0.7256127377443626,0.01561071749196823,0.7058823529411765,0.74,0.7,0.73,0.7128712871287128,0.7373737373737373,0.74,0.71,0.74,0.74,0.5121951219512195,0.7666688668866887,0.020796616404737223,0.77,0.78,0.73,0.7623762376237624,0.8118811881188119,0.7777777777777778,0.7722772277227723,0.75,0.7623762376237624,0.75,0.35498113346513427,0.007637007871070735,0.3453287197231834,0.36201960784313725,0.3424509803921568,0.3571274509803921,0.34874781595806637,0.3607347989700931,0.36201960784313725,0.34734313725490196,0.36201960784313725,0.36201960784313725,0.3916024310274165,0.010622585438105977,0.3933039215686274,0.39841176470588235,0.3728725490196078,0.3894098233352747,0.41469617549990295,0.397276688453159,0.3944670937682003,0.3830882352941176,0.3894098233352747,0.3830882352941176,0.7223907020866861,0.009298483390876551,0.7133342872999282,0.7308222380173095,0.7080643825493893,0.7138784369821917,0.7268776481744726,0.7220500365742486,0.7317433161402656,0.7117436172929097,0.7330875035251472,0.7323055543109978,0.7383289000995706,0.013029293169659879,0.7637651801435,0.7416883036124988,0.7274378723675891,0.732648456058873,0.7541727985541713,0.7315600916858591,0.7473247478062637,0.719104078371937,0.7264766193643569,0.7391108530306578,91.44144144144146,1.1572281602401016,93.69369369369369,90.09009009009009,91.89189189189189,91.89189189189189,90.990990990991,91.89189189189189,90.09009009009009,90.990990990991,92.7927927927928,90.09009009009009,87.02702702702702,1.153716078816731,84.68468468468468,87.38738738738739,88.28828828828829,86.48648648648648,89.1891891891892,86.48648648648648,87.38738738738739,86.48648648648648,86.48648648648648,87.38738738738739
transcription,86.38419795036316,0.8049858824913698,85.82455682754517,85.59112858772278,86.73495483398438,87.98119521141052,87.69270992279053,86.16289782524109,85.69709205627441,85.60878252983093,86.22079396247864,86.32786774635315,0.44337606837606836,0.7504868738093036,0.02052760734336749,0.7288135593220338,0.7322834645669292,0.7835820895522388,0.7596899224806202,0.7265625,0.753968253968254,0.7272727272727273,0.7829457364341085,0.7578125,0.751937984496124,0.5566239316239316,0.7683749825408428,0.05976520530489731,0.6285714285714286,0.8117647058823529,0.8131868131868132,0.782051282051282,0.7954545454545454,0.7317073170731707,0.7727272727272727,0.7058823529411765,0.8051948051948052,0.8372093023255814,0.33230113984711407,0.009089229347758444,0.32270461343242995,0.32424102067455474,0.34695506425093786,0.33637607262778263,0.32170788770053477,0.33384262796027503,0.3220223626640739,0.346673299340878,0.3355447860962567,0.3329436637234175,0.42815333251741083,0.03330232295599092,0.35025210084033614,0.45233092167348227,0.45312334724099435,0.43577402989167696,0.4432425862907146,0.4077214034172427,0.4305785123966942,0.3933312362378107,0.44867004653100917,0.46650914065414756,0.7525370204923463,0.015653084568270664,0.7495019237258166,0.7389246429308705,0.7564877586810242,0.7609983647762546,0.7289393798915557,0.7609668721045877,0.7426063200221901,0.7830725562394081,0.7678862476398135,0.7359861389119419,0.7479949704088724,0.05041979614690001,0.6223259751207585,0.7710688938345993,0.7728468101579542,0.7952595291317259,0.7688209785121417,0.7561380269396493,0.7771559492505167,0.6842566902141497,0.7565303212151466,0.7755465297120819,92.89592760180994,1.0906760898818053,93.21266968325791,92.76018099547511,92.3076923076923,93.21266968325791,92.3076923076923,93.66515837104072,90.49773755656109,94.57013574660634,94.11764705882354,92.3076923076923,79.95475113122171,1.855203619909502,76.92307692307692,81.90045248868778,81.44796380090497,79.63800904977376,79.63800904977376,78.73303167420815,82.3529411764706,76.92307692307692,80.54298642533936,81.44796380090497
transporter,90.49108469486237,0.7182654387833988,91.16862964630127,90.54624390602112,91.11960005760193,91.67450499534607,91.10813856124878,89.30316805839539,89.99842810630798,90.12260913848877,89.69806408882141,90.17146039009094,0.30279069767441863,0.3809840230612752,0.012066206785576667,0.38181818181818183,0.3783783783783784,0.3835616438356164,0.36363636363636365,0.39545454545454545,0.3991031390134529,0.38738738738738737,0.3891402714932127,0.36199095022624433,0.36936936936936937,0.6972093023255814,0.7522848767359807,0.01704347011234285,0.7317073170731707,0.7317073170731707,0.7644230769230769,0.7623762376237624,0.7391304347826086,0.7707317073170732,0.748792270531401,0.7860696517412935,0.7427184466019418,0.7451923076923077,0.11541209819120064,0.0036552352803212694,0.11566479123482382,0.11462276608856414,0.11619294096648967,0.11015694403316555,0.11979567663606752,0.12090095090635544,0.11735187956686328,0.11788288354680385,0.10965849632260823,0.111893652610265,0.5243940183110744,0.011880464508278074,0.5100500516405815,0.5100500516405815,0.532855174141819,0.5314283871383881,0.5152244724543266,0.5372527210614125,0.5219594328785662,0.5479443175004456,0.517725562126435,0.5194500125281885,0.3933494514732688,0.009484787884807538,0.4034122351404137,0.38141473336579285,0.3917967097503865,0.4035867800155455,0.3818721982115708,0.40273591898241456,0.3891907285094031,0.4057354590978582,0.3807789976160168,0.3929707540432857,0.7494402126948685,0.01563596868301677,0.7324183804103058,0.7322197689125208,0.7552473014629948,0.7626664624958011,0.7355255171514035,0.7653438379334178,0.7374713723584846,0.7799610090121437,0.7543360411058517,0.7392124361057617,81.92468619246861,1.252437619003829,82.84518828451883,82.42677824267783,82.84518828451883,82.42677824267783,81.17154811715481,82.42677824267783,80.3347280334728,84.10041841004184,79.9163179916318,80.75313807531381,82.34309623430963,1.6610404386007678,85.77405857740585,83.26359832635983,82.84518828451883,81.17154811715481,82.84518828451883,79.4979079497908,82.42677824267783,82.00836820083683,80.3347280334728,83.26359832635983
cysteine_protease,76.97554714679718,0.568012232783101,77.31352043151855,76.3201036453247,76.87196516990662,77.34603333473206,77.20131468772888,75.95404958724976,77.0490186214447,76.75571751594543,76.80339646339417,78.14035201072693,0.5117241379310344,0.7757913861420856,0.013932472464639845,0.7708333333333334,0.7878787878787878,0.7551020408163265,0.7604166666666666,0.7835051546391752,0.7676767676767676,0.7959183673469388,0.7628865979381443,0.7777777777777778,0.7959183673469388,0.48827586206896556,0.7321544102500721,0.025239484094974313,0.7407407407407407,0.7419354838709677,0.7333333333333333,0.7741935483870968,0.7241379310344828,0.7586206896551724,0.68,0.7407407407407407,0.7037037037037037,0.7241379310344828,0.3969911782878811,0.007129582461215698,0.39445402298850574,0.40317659352142105,0.38640394088669944,0.38912356321839076,0.40093849982225377,0.39283873214907694,0.40729064039408863,0.39038748666903655,0.398007662835249,0.40729064039408863,0.35749332583244897,0.012323830854649534,0.36168582375478925,0.3622691879866518,0.3580689655172413,0.37802002224694103,0.35357907253269916,0.3704161712247324,0.33202758620689654,0.36168582375478925,0.3436015325670498,0.35357907253269916,0.7513262784069772,0.0060026192770880095,0.7501002803613276,0.7556903568790189,0.7592898721752821,0.7443530212562495,0.7481375298797621,0.7501221131695552,0.762872978854549,0.7427517184999473,0.7483009569756268,0.7516439560184521,0.7641446951094817,0.010394739308256466,0.7739139767462991,0.7632672972564788,0.7535757940161681,0.7808529533405956,0.7511831190172265,0.7771437467839195,0.7517050955118209,0.7711593107064411,0.7610552752622274,0.757590382453641,95.31428571428572,0.42761798705987747,96.0,95.42857142857143,95.42857142857143,95.42857142857143,95.42857142857143,95.42857142857143,94.28571428571429,95.42857142857143,95.42857142857143,94.85714285714286,74.11428571428571,0.8101398216433071,74.85714285714286,73.71428571428571,73.71428571428571,74.28571428571429,73.14285714285714,75.42857142857143,74.28571428571429,74.85714285714286,72.57142857142857,74.28571428571429
dna_repair,70.87833783626556,0.4457912799259587,71.0446355342865,70.13491296768188,70.16228342056274,71.15944147109985,71.32659339904785,70.88153314590454,71.65094470977783,70.76840448379517,70.83247661590576,70.8221526145935,0.36773428232502964,0.47507237513919076,0.017519079831710006,0.4583333333333333,0.46774193548387094,0.47058823529411764,0.47297297297297297,0.4576271186440678,0.4696969696969697,0.4915254237288136,0.5076923076923077,0.45454545454545453,0.5,0.6322657176749704,0.7208702703980686,0.021974399301759054,0.73,0.6907216494845361,0.7422680412371134,0.7525773195876289,0.6979166666666666,0.7448979591836735,0.6868686868686869,0.7291666666666666,0.72,0.7142857142857143,0.1702008388616884,0.006276437527162691,0.16420386007237636,0.16757461379820227,0.16859433761441853,0.16944870081178887,0.163950849502157,0.16827503015681547,0.17609535687268715,0.18188735269555534,0.16284680337756333,0.17913148371531967,0.46260914819272925,0.014101785800405085,0.4684680337756333,0.44326166167162023,0.476340890154577,0.48295673585116833,0.44787897064736626,0.4780286058935034,0.4407890728759245,0.4679332529151588,0.46205066344993967,0.4583835946924005,0.47745700768127514,0.01046045590586271,0.4928436563073324,0.4656084359707132,0.48430531741683697,0.4918712046500548,0.4563429890466592,0.4766780985207155,0.4755081251163418,0.4788624080366261,0.47434762803937136,0.4782022137080993,0.7578704841090618,0.04721708758167434,0.7824884634968993,0.6693050812478601,0.8026287657157021,0.8034680088300693,0.6689100990728564,0.7858346311538034,0.7451600411294115,0.7757716558741476,0.7812918224993883,0.7638462720704798,62.24637681159419,2.777357666193738,65.21739130434783,60.869565217391305,64.4927536231884,68.1159420289855,57.971014492753625,61.594202898550726,60.869565217391305,60.14492753623188,62.31884057971015,60.869565217391305,68.26086956521739,1.5474026452219272,67.3913043478261,65.94202898550725,68.1159420289855,68.1159420289855,69.56521739130434,67.3913043478261,68.84057971014492,66.66666666666667,68.84057971014492,71.73913043478261
GPCR_3,64.32035591602326,0.6135608504738236,64.29321432113647,64.6289165019989,65.68505620956421,64.69146943092346,63.640416622161865,63.32777166366577,64.54481029510498,63.943313121795654,64.1537492275238,64.29484176635742,0.5945223780895124,0.8484332473532001,0.008693476119069597,0.8515625,0.84375,0.8409090909090909,0.8571428571428571,0.8449612403100775,0.8560606060606061,0.8307692307692308,0.8604651162790697,0.84375,0.8549618320610687,0.40547762191048764,0.6692328206646089,0.02603918378351412,0.610062893081761,0.6903225806451613,0.660377358490566,0.6331360946745562,0.6815286624203821,0.6783625730994152,0.6962025316455697,0.6857142857142857,0.6835443037974683,0.6730769230769231,0.504412551866632,0.005168466096173639,0.5062729625918504,0.501628256513026,0.4999392724843627,0.5095906097910106,0.5023483659826112,0.5089471873039008,0.49391089872051797,0.5115657671933013,0.501628256513026,0.5082939415727128,0.27135893262753347,0.01055830631702944,0.24736685110262452,0.27991035835111083,0.2677682408842843,0.25672251801433243,0.27634462130205206,0.2750608429334302,0.2822945468997066,0.27804179788147726,0.2771619187742574,0.272917630132059,0.8253090470459277,0.0073224538315928645,0.8296210068270345,0.8249379489143905,0.8195003913623254,0.8338680874123727,0.8166831052251031,0.831239679770149,0.8186198396337824,0.839188139107481,0.8204015785335718,0.8190306936730676,0.6467466385573875,0.024486457443202516,0.5875880583328772,0.6552379579175553,0.653628651752758,0.6250606376201169,0.6396526709950339,0.6560034562312994,0.6542089944636936,0.6862304103879963,0.6582331578176039,0.6516223900549403,87.56218905472636,1.3533801501229301,87.06467661691542,87.56218905472637,88.55721393034825,89.05472636815921,84.07960199004975,87.06467661691542,89.05472636815921,88.05970149253731,87.56218905472637,87.56218905472637,91.49253731343283,2.348869976937886,95.02487562189054,89.55223880597015,89.55223880597015,94.5273631840796,90.54726368159204,93.03482587064677,89.55223880597015,94.5273631840796,89.55223880597015,89.05472636815921
GPCR,150.0844809293747,1.0233436973901737,150.96976923942566,151.31684160232544,150.91984033584595,149.1864264011383,151.72346925735474,149.7306513786316,148.49048137664795,149.94179582595825,149.3435344696045,149.22199940681458,0.5064615384615384,0.5544569006358654,0.015709077704891678,0.5540540540540541,0.5506329113924051,0.5723684210526315,0.5657894736842105,0.5493827160493827,0.5419354838709678,0.5345911949685535,0.5849056603773585,0.5584415584415584,0.5324675324675324,0.4935384615384616,0.4003325124776437,0.07291038547164286,0.5642458100558659,0.36645962732919257,0.34838709677419355,0.3333333333333333,0.36875,0.49375,0.36645962732919257,0.45348837209302323,0.3522012578616352,0.35625,0.28081109490665673,0.007956043662231292,0.2806070686070686,0.27887439143135345,0.28988259109311737,0.28655060728744935,0.2782412155745489,0.27446947890818857,0.2707498790517658,0.29623222060957904,0.2828291708291708,0.26967432567432564,0.1975794923120432,0.03598407947585081,0.27847700902449507,0.18086192068800766,0.1719424317617866,0.1645128205128205,0.1819923076923077,0.2436846153846154,0.18086192068800766,0.22381395348837207,0.1738248669569424,0.17582307692307692,0.5699868804781731,0.011904635830484534,0.5752083534605025,0.5734043937890462,0.5754114026257273,0.582908224315452,0.5572243701521119,0.5608553449469558,0.5460194310792755,0.5866156717093549,0.577518826323574,0.5647027863797319,0.42378842765870867,0.07922285958582505,0.6108066591063354,0.38268707117866535,0.38732017940551244,0.35163362531496456,0.3809404824000776,0.5174644438162677,0.38021122181179523,0.47415208836553774,0.3786596248145913,0.3740088803733391,80.50359712230215,1.0857113865314092,79.13669064748201,80.93525179856115,81.11510791366906,77.87769784172662,81.83453237410072,81.11510791366906,80.75539568345324,80.57553956834532,80.75539568345324,80.93525179856115,76.29496402877699,6.217300984386964,84.53237410071942,71.22302158273381,69.7841726618705,81.4748201438849,71.58273381294964,84.1726618705036,72.4820143884892,84.89208633093526,70.14388489208633,72.66187050359713
GPCR_2,69.5158128976822,0.6122138671029379,68.6913092136383,69.0308849811554,69.8258798122406,70.81043577194214,70.2684280872345,69.07477164268494,69.64850091934204,69.4200005531311,69.01230835914612,69.37560963630676,0.838468720821662,0.8930782208525162,0.003992445646592558,0.8914728682170543,0.8984375,0.8931297709923665,0.8854961832061069,0.8943089430894309,0.8914728682170543,0.8976377952755905,0.8984375,0.889763779527559,0.890625,0.16153127917833798,0.25525561026241345,0.041574544745963435,0.37623762376237624,0.2358490566037736,0.2616822429906542,0.24770642201834864,0.23809523809523808,0.23076923076923078,0.25471698113207547,0.22857142857142856,0.2336448598130841,0.24528301886792453,0.7495179834818313,0.0033506693370468216,0.748170687531696,0.7540157710280373,0.7495612470571449,0.7431547406720411,0.7505508699946812,0.748170687531696,0.7533446169696077,0.7540157710280373,0.7467363308558392,0.7474591121495326,0.041031742958070196,0.0066830109311268315,0.06047931895993338,0.03791218479985894,0.04206480915363787,0.039818228586127075,0.03827325322652426,0.037095614665708126,0.040945159583847646,0.03674232309746329,0.037557865315748104,0.039428672191853295,0.8964134231856766,0.0028984074967440964,0.8969845043440999,0.8967432959132939,0.8936459915554832,0.8945233332940377,0.8915686767046805,0.9022004914468417,0.8947738530167755,0.8997227599076555,0.8977222254615604,0.8962491002123395,0.2996745680164502,0.02107012651814309,0.3616637258079769,0.2910979728017779,0.2850202579502827,0.29627295108271157,0.2882706685996226,0.29826769145750287,0.2981092374456903,0.28945494565325414,0.2945689998348095,0.29401922953087367,85.75268817204301,0.8415309592741154,85.48387096774194,86.55913978494624,84.40860215053763,84.94623655913979,86.02150537634408,85.48387096774194,87.63440860215054,85.48387096774194,85.48387096774194,86.02150537634408,86.55913978494625,1.1530973435229661,88.70967741935483,85.48387096774194,84.94623655913979,87.09677419354838,84.94623655913979,87.63440860215054,86.02150537634408,87.09677419354838,87.09677419354838,86.55913978494624
ion_channel2,108.42460415363311,0.6390961853885084,108.28581929206848,108.29541730880737,107.04441356658936,108.84519243240356,108.62673711776733,107.77638339996338,109.17619729042053,108.84752798080444,109.2386634349823,108.10968971252441,0.20496894409937888,0.39068972316249995,0.021235883140897797,0.43636363636363634,0.40384615384615385,0.4,0.375,0.36538461538461536,0.3684210526315789,0.39285714285714285,0.4107142857142857,0.3793103448275862,0.375,0.7950310559006211,0.7450518708487409,0.031870979273498794,0.8352941176470589,0.7411764705882353,0.7407407407407407,0.7215189873417721,0.7469879518072289,0.7317073170731707,0.7307692307692307,0.7529411764705882,0.7160493827160493,0.7333333333333333,0.08007926002709624,0.0043526965444076245,0.08944099378881987,0.08277591973244147,0.08198757763975156,0.07686335403726707,0.07489249880554227,0.07551487414187642,0.08052351375332742,0.08418367346938775,0.07774684086528164,0.07686335403726707,0.5923393755816075,0.02533841830439655,0.6640847643405188,0.5892583120204603,0.5889118932597193,0.5736300023586759,0.5938786200703434,0.5817300409028935,0.5809842331581462,0.5986116185604676,0.5692814968177287,0.583022774327122,0.3907946148233151,0.005245802065780037,0.3939769520456797,0.3951902732180955,0.3986721133359446,0.38616300041334223,0.3863371779206881,0.38101783555841684,0.392518426023548,0.39191769215096467,0.3956797480796843,0.38647292948678685,0.7467953119526644,0.038552630645169256,0.8616626089054772,0.740410199672738,0.726740815460605,0.7395627429959111,0.7383214964138062,0.7314084465037377,0.7370939907653365,0.7336770326362718,0.728335443439626,0.7307403427331345,85.24154589371979,0.4639945099589025,85.02415458937197,85.02415458937197,84.78260869565217,84.78260869565217,85.26570048309179,84.54106280193237,85.5072463768116,85.99033816425121,85.7487922705314,85.7487922705314,82.41545893719807,1.8766110724207756,87.92270531400966,82.6086956521739,81.40096618357488,82.3671497584541,81.40096618357488,81.64251207729468,81.40096618357488,81.64251207729468,81.8840579710145,81.8840579710145
