,SMILES,False positives,True positives,FP - TracIn_test,TP - TracIn_test,Score - TracIn_test,FP - TracIn_test_pos,TP - TracIn_test_pos,Score - TracIn_test_pos,FP - TracIn_self,TP - TracIn_self,Score - TracIn_self,FP - score,TP - score,Score - score,FP - filter,TP - filter,Score - filter
0,Brc1ccc(-c2csc(/N=C/N3CCCC3)n2)cc1,-0.0,1.0,0.0,0.0,-1.220757007598877,0.0,0.0,-2.189836025238037,0.0,0.0,-2.349992275238037,0.0,0.0,31.0,0.0,1.0,0.0
1,Brc1ccc(-c2noc(COc3ccc4ccccc4c3)n2)o1,1.0,0.0,0.0,0.0,-1.050368070602417,0.0,0.0,-1.8955187797546387,0.0,0.0,-2.066904306411743,0.0,0.0,29.0,0.0,1.0,0.0
2,Brc1ccc(C2=Nn3c(nnc3-c3n[nH]c4c3CCC4)SC2)cc1,1.0,0.0,0.0,0.0,-1.2726366519927979,1.0,0.0,-2.2689590454101562,0.0,0.0,-3.829401969909668,0.0,0.0,21.0,0.0,1.0,0.0
3,C#CCn1c(=NC(=O)c2ccc(S(=O)(=O)N3CCCc4ccccc43)cc2)sc2cc(S(N)(=O)=O)ccc21,1.0,0.0,1.0,0.0,-1.2758100032806396,1.0,0.0,-2.2689208984375,0.0,0.0,-5.019129753112793,0.0,0.0,24.0,0.0,1.0,0.0
4,C#CCn1c(S(=O)(=O)Cc2ccc(OC)cc2)nc(-c2ccccc2)c1-c1ccccc1,1.0,0.0,0.0,0.0,-1.0453077554702759,0.0,0.0,-1.8866350650787354,0.0,0.0,-2.095423936843872,1.0,0.0,20.0,0.0,1.0,0.0
5,C(=C/c1ccccc1)\CN1CCN(c2ncnc3c2oc2ccccc23)CC1,1.0,0.0,0.0,0.0,-0.9157218337059021,0.0,0.0,-1.657565951347351,0.0,0.0,-2.160209894180298,0.0,0.0,25.0,0.0,1.0,0.0
6,C/C(=N\NC(=S)NCc1ccccc1)c1ccc(Cl)cc1,1.0,0.0,1.0,0.0,-1.2751481533050537,1.0,0.0,-2.2705740928649902,0.0,0.0,-4.272958755493164,0.0,0.0,21.0,0.0,1.0,0.0
7,C/C(=N\Nc1nc(C)c(C)s1)c1ccc([N+](=O)[O-])cc1,-0.0,1.0,1.0,0.0,-1.274234414100647,0.0,0.0,-2.262099027633667,1.0,0.0,-6.160626411437988,0.0,0.0,37.0,0.0,1.0,0.0
8,C/C(=N\Nc1nc2ccccc2[nH]1)c1cc2ccccc2o1,1.0,0.0,0.0,0.0,-1.2362639904022217,0.0,0.0,-2.2152397632598877,0.0,0.0,-2.4586546421051025,0.0,0.0,33.0,0.0,1.0,0.0
9,C/C(=N\Nc1nc2ccccc2s1)c1ccc(Br)s1,1.0,0.0,0.0,0.0,-1.2347601652145386,0.0,0.0,-2.21280574798584,0.0,0.0,-2.4364261627197266,0.0,0.0,30.0,0.0,1.0,0.0
10,C/C1=C\[C@@H](C)C/C=C/[C@H]2[C@@H]3O[C@]3(C)[C@@H](C)[C@H]3[C@H](Cc4c[nH]c5ccccc45)NC(=O)[C@]32C(=O)/C=C/C(=O)[C@@H]1O,-0.0,1.0,0.0,0.0,-0.9694410562515259,0.0,0.0,-1.7528154850006104,0.0,0.0,-2.1172947883605957,0.0,0.0,39.0,0.0,1.0,0.0
11,C/C=C(/C)C(=O)OC1c2c(ccc3ccc(=O)oc23)OC(C)(C)C1OC(=O)/C(C)=C\C,1.0,0.0,0.0,0.0,-1.26948082447052,0.0,0.0,-2.2653956413269043,0.0,0.0,-3.271084785461426,0.0,0.0,21.0,0.0,1.0,0.0
12,C/C=C(/C)C(=O)O[C@@H]1c2c(ccc3ccc(=O)oc23)OC(C)(C)[C@@H]1OC(=O)/C(C)=C\C,1.0,0.0,0.0,0.0,-1.2531850337982178,0.0,0.0,-2.2420241832733154,0.0,0.0,-2.7210683822631836,0.0,0.0,30.0,0.0,1.0,0.0
13,C/C=C/c1ccccc1OCc1ccc(C(=O)O)o1,1.0,0.0,0.0,0.0,-1.2727696895599365,1.0,0.0,-2.2690820693969727,0.0,0.0,-3.9528684616088867,0.0,0.0,22.0,0.0,1.0,0.0
14,C1=C(c2ccccc2)Nc2ccccc2N=C1c1ccccc1,1.0,0.0,0.0,0.0,-1.1700968742370605,0.0,0.0,-2.1039137840270996,0.0,0.0,-2.096109628677368,0.0,0.0,24.0,0.0,1.0,0.0
15,C=C(C)CNC(=S)NN=C1c2ccccc2-c2ccccc21,-0.0,1.0,1.0,0.0,-1.2758338451385498,1.0,0.0,-2.2691121101379395,0.0,0.0,-4.786214828491211,0.0,0.0,32.0,0.0,1.0,0.0
16,C=C(C)CSc1nnc(-c2cccc(S(=O)(=O)N(C)C)c2)n1-c1cc(OC)ccc1OC,1.0,0.0,1.0,0.0,-1.2738430500030518,1.0,0.0,-2.2700304985046387,0.0,0.0,-4.064499855041504,0.0,0.0,26.0,0.0,1.0,0.0
17,C=C(Cl)COc1ccc2c(CCCC)cc(=O)oc2c1,1.0,0.0,0.0,0.0,-1.245192050933838,0.0,0.0,-2.2295374870300293,0.0,0.0,-2.6397242546081543,0.0,0.0,21.0,0.0,1.0,0.0
18,C=CCN(C(=O)CSc1nc2c(sc3ccccc32)c(=O)n1CCN(CC)CC)c1ccccc1,-0.0,1.0,0.0,0.0,-1.1541047096252441,0.0,0.0,-2.076362133026123,0.0,1.0,-2.0571773052215576,0.0,0.0,23.0,0.0,1.0,0.0
19,C=CCNC(=O)c1onc(CSc2ccc(Cl)cc2)c1C(=O)O,1.0,0.0,0.0,0.0,-1.2717456817626953,0.0,0.0,-2.254931688308716,1.0,0.0,-6.69312047958374,0.0,0.0,22.0,0.0,1.0,0.0
20,C=CCNC(=S)N/N=C/c1ccc(C(C)(C)C)cc1,1.0,0.0,0.0,0.0,-1.2671853303909302,0.0,0.0,-2.24330472946167,1.0,0.0,-7.546362400054932,0.0,0.0,22.0,0.0,1.0,0.0
21,C=CCNCC(=O)N1N=C(c2ccc3ccccc3c2)CC1c1ccc(OC)cc1,-0.0,1.0,0.0,0.0,-1.2372539043426514,0.0,0.0,-2.216841220855713,0.0,0.0,-2.3467226028442383,0.0,0.0,31.0,0.0,1.0,0.0
22,C=CCNCCCCOc1c(Cl)cc(C)cc1Br,1.0,0.0,0.0,0.0,-1.2543118000030518,0.0,0.0,-2.243752956390381,0.0,0.0,-2.8753037452697754,1.0,0.0,20.0,0.0,1.0,0.0
23,C=CCOc1ccc(Br)cc1/C=N/O,1.0,0.0,0.0,0.0,-1.2666362524032593,0.0,0.0,-2.2419629096984863,1.0,0.0,-7.961009979248047,0.0,0.0,24.0,0.0,1.0,0.0
24,C=CCOc1ccccc1CN1CCC(CO)(CCOc2ccccc2)CC1,1.0,0.0,0.0,0.0,-1.0271254777908325,0.0,0.0,-1.8546524047851562,0.0,0.0,-2.09533953666687,0.0,0.0,26.0,0.0,1.0,0.0
25,C=CCSc1nnc(-c2cc3c(s2)-c2ccccc2CC3)o1,1.0,0.0,0.0,0.0,-1.1257591247558594,0.0,0.0,-2.0272669792175293,0.0,1.0,-2.052337884902954,1.0,0.0,20.0,0.0,1.0,0.0
26,C=CCc1ccccc1OCCSc1nc2ccc([N+](=O)[O-])cc2s1,1.0,0.0,0.0,0.0,-1.2579294443130493,0.0,0.0,-2.2492222785949707,0.0,0.0,-3.0961737632751465,1.0,0.0,20.0,0.0,1.0,0.0
27,C=CCn1c(C)cc(C(=O)CSc2nnc(Cc3ccccc3)o2)c1C,1.0,0.0,0.0,0.0,-1.2443997859954834,0.0,0.0,-2.2282814979553223,0.0,0.0,-2.5250751972198486,0.0,0.0,21.0,0.0,1.0,0.0
28,CC#CCN(CC#CC)S(=O)(=O)c1ccc(-n2cnnn2)c(OC)c1,1.0,0.0,1.0,0.0,-1.274980902671814,0.0,0.0,-2.264631748199463,1.0,0.0,-5.695257663726807,1.0,0.0,20.0,0.0,1.0,0.0
29,CC(/C=C/c1ccc(C)o1)=C\C(=O)O,1.0,0.0,0.0,0.0,-1.2660386562347412,0.0,0.0,-2.2405104637145996,1.0,0.0,-7.963348388671875,0.0,0.0,22.0,0.0,1.0,0.0
30,CC(/C=C/c1ccc2c(c1)OCO2)=N\NC(=O)c1ccccc1,1.0,0.0,1.0,0.0,-1.275201439857483,1.0,0.0,-2.2705512046813965,0.0,0.0,-4.503887176513672,0.0,0.0,23.0,0.0,1.0,0.0
31,CC(/C=N/NC(=O)c1n[nH]c2c1CCC2)=C\c1ccccc1,1.0,0.0,1.0,0.0,-1.2749967575073242,0.0,0.0,-2.2647016048431396,1.0,0.0,-5.563878059387207,0.0,0.0,21.0,0.0,1.0,0.0
32,CC(/C=N/n1c(COc2ccccc2)n[nH]c1=S)=C\c1ccccc1,1.0,0.0,1.0,0.0,-1.2755544185638428,1.0,0.0,-2.2703967094421387,0.0,0.0,-4.583705902099609,0.0,0.0,30.0,0.0,1.0,0.0
33,CC(=O)CSc1nnc(-c2ccc3c(c2)OCO3)o1,1.0,0.0,1.0,0.0,-1.2739427089691162,0.0,0.0,-2.261199951171875,1.0,0.0,-6.059457778930664,1.0,0.0,20.0,0.0,1.0,0.0
34,CC(=O)N(C)C(c1ccc(N(C)C)cc1)c1nnnn1-c1c(C)cccc1C,1.0,0.0,0.0,0.0,-1.2275582551956177,0.0,0.0,-2.20105242729187,0.0,0.0,-2.282672882080078,0.0,0.0,23.0,1.0,-0.0,1.0
35,CC(=O)N(CCC(Cc1ccccc1)c1ccc2c(c1)OCO2)Cc1ccccc1F,1.0,0.0,0.0,0.0,-0.9466449022293091,0.0,0.0,-1.7124460935592651,0.0,0.0,-2.1563777923583984,1.0,0.0,20.0,0.0,1.0,0.0
36,CC(=O)N(Cc1ccc(Br)cc1)c1cccc(C)c1C,1.0,0.0,0.0,0.0,-1.2286449670791626,0.0,0.0,-2.2028353214263916,0.0,0.0,-2.3309378623962402,0.0,0.0,33.0,0.0,1.0,0.0
37,CC(=O)N1CC(C)c2scc(C)[n+]2-c2ccccc21,1.0,0.0,0.0,0.0,-1.2161755561828613,0.0,0.0,-2.1822218894958496,0.0,0.0,-2.292858600616455,0.0,0.0,23.0,0.0,1.0,0.0
38,CC(=O)N1CCN(c2ccccc2NC(=O)COc2cc(C)ccc2C(C)C)CC1,1.0,0.0,0.0,0.0,-1.2270129919052124,0.0,0.0,-2.2001588344573975,0.0,0.0,-2.277514934539795,0.0,0.0,21.0,0.0,1.0,0.0
39,CC(=O)Nc1ccc(S(=O)(=O)Nc2nc(C)cc(-n3nc(C)cc3C)n2)cc1,1.0,0.0,0.0,0.0,-1.2722928524017334,0.0,0.0,-2.2564215660095215,1.0,0.0,-6.486309051513672,0.0,0.0,22.0,0.0,1.0,0.0
40,CC(=O)Nc1ccccc1-c1nc2ccccc2nc1OCC(=O)c1ccc2ccccc2c1,1.0,0.0,0.0,0.0,-0.9864480495452881,0.0,0.0,-1.7828965187072754,0.0,0.0,-2.1370880603790283,1.0,0.0,20.0,0.0,1.0,0.0
41,CC(=O)OC(C)C[N+](C)(C)C,1.0,0.0,0.0,0.0,-1.2596352100372314,0.0,0.0,-2.225430965423584,1.0,0.0,-9.545329093933105,0.0,0.0,25.0,0.0,1.0,0.0
42,CC(=O)OCC[N+](C)(C)C,-0.0,1.0,0.0,0.0,-1.2553361654281616,0.0,0.0,-2.215611696243286,1.0,0.0,-10.361495018005371,0.0,0.0,23.0,0.0,1.0,0.0
43,CC(=O)c1c(OC(=O)c2ccc(C)cc2)c2ccccc2n1C,1.0,0.0,0.0,0.0,-1.258056640625,0.0,0.0,-2.249415636062622,0.0,0.0,-2.895857810974121,0.0,0.0,30.0,0.0,1.0,0.0
44,CC(=O)n1cc([C@@H]2C=C(C(=O)Nc3ccccc3)O[C@H](OCc3ccc(CO)cc3)C2)c2ccccc21,1.0,0.0,0.0,0.0,-1.0545156002044678,0.0,0.0,-1.9028053283691406,0.0,0.0,-2.094604015350342,0.0,0.0,33.0,0.0,1.0,0.0
45,CC(C(=O)Nc1c2c(cc3c1CCC3)CCC2)N1CCCC1,1.0,0.0,0.0,0.0,-1.2001254558563232,0.0,0.0,-2.1552321910858154,0.0,0.0,-2.1315622329711914,0.0,0.0,34.0,0.0,1.0,0.0
46,CC(C)(C)C(=O)Nc1cc2nn(-c3ccccc3)nc2cc1Cl,1.0,0.0,0.0,0.0,-1.2487765550613403,0.0,0.0,-2.235182762145996,0.0,0.0,-2.6061317920684814,1.0,0.0,20.0,0.0,1.0,0.0
47,CC(C)(C)NC(=O)c1oc2ccccc2c1COc1ccccc1,-0.0,1.0,0.0,0.0,-1.1537009477615356,0.0,0.0,-2.0756638050079346,0.0,0.0,-2.0687317848205566,1.0,0.0,20.0,0.0,1.0,0.0
48,CC(C)(C)NCC(=O)N/N=C/c1ccc(OCc2ccccc2)cc1,-0.0,1.0,0.0,0.0,-1.264066457748413,0.0,0.0,-2.2581591606140137,0.0,0.0,-3.1247575283050537,0.0,0.0,28.0,0.0,1.0,0.0
49,CC(C)(C)NCc1cc(Br)ccc1OC1CCCC1,-0.0,1.0,0.0,0.0,-1.1624305248260498,0.0,0.0,-2.0907225608825684,0.0,0.0,-2.077458620071411,0.0,0.0,25.0,0.0,1.0,0.0
50,CC(C)(C)NCc1cc(Cl)ccc1OCc1ccccc1F,1.0,0.0,0.0,0.0,-1.1003178358078003,0.0,0.0,-1.9829764366149902,0.0,1.0,-2.0525331497192383,0.0,0.0,37.0,0.0,1.0,0.0
51,CC(C)(C)c1ccc(CN2N=C(/C=C/c3ccccc3)CCC2=O)cc1,1.0,0.0,0.0,0.0,-1.2068220376968384,0.0,0.0,-2.16654634475708,0.0,0.0,-2.1789393424987793,0.0,0.0,24.0,0.0,1.0,0.0
52,CC(C)(C)c1ccc(CSc2nnc(-c3ccccn3)n2Cc2ccco2)cc1,1.0,0.0,0.0,1.0,-0.8970620632171631,0.0,1.0,-1.6244113445281982,0.0,0.0,-2.164027214050293,0.0,0.0,25.0,0.0,1.0,0.0
53,CC(C)(C)n1nnnc1C(c1cccnc1)N(Cc1ccccc1)Cc1cccs1,1.0,0.0,0.0,1.0,-0.9078933000564575,0.0,1.0,-1.643665075302124,0.0,0.0,-2.1687397956848145,0.0,0.0,21.0,0.0,1.0,0.0
