,SMILES,False positives,True positives,FP - TracIn_test,TP - TracIn_test,Score - TracIn_test,FP - TracIn_test_pos,TP - TracIn_test_pos,Score - TracIn_test_pos,FP - TracIn_self,TP - TracIn_self,Score - TracIn_self,FP - score,TP - score,Score - score,FP - filter,TP - filter,Score - filter
0,Brc1ccc2c(c1)C(C1=NCCN1)c1ccccc1CS2,-0.0,1.0,0.0,0.0,-1.4379621744155884,0.0,0.0,-2.6437747478485107,0.0,0.0,-2.8205769062042236,0.0,0.0,10.0,0.0,1.0,0.0
1,C#CCN(C)CCCOc1ccc(Cl)cc1Cl,1.0,0.0,0.0,0.0,-1.3421871662139893,0.0,0.0,-2.4625625610351562,0.0,0.0,-2.308166980743408,1.0,0.0,8.0,0.0,1.0,0.0
2,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC)ccc4[C@H]3CC[C@@]21C,-0.0,1.0,0.0,1.0,-1.162160038948059,0.0,1.0,-2.1257073879241943,0.0,0.0,-2.2672507762908936,1.0,0.0,8.0,0.0,1.0,0.0
3,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC5CCCC5)ccc4[C@H]3CC[C@@]21C,-0.0,1.0,0.0,1.0,-1.1585549116134644,0.0,1.0,-2.1189911365509033,0.0,0.0,-2.284447193145752,1.0,0.0,8.0,0.0,1.0,0.0
4,C#Cc1cc(N2CCN(C(=O)c3ccoc3)CC2)n2nc(-c3cccc(Cl)c3)cc2n1,1.0,0.0,0.0,1.0,-1.2636218070983887,0.0,1.0,-2.315169334411621,0.0,0.0,-2.242114543914795,1.0,0.0,8.0,0.0,1.0,0.0
5,C#Cc1ccc(C(=O)Nc2ccc(N3CCC(C)CC3)c(C(N)=O)c2)cc1,1.0,0.0,0.0,0.0,-1.313249111175537,0.0,0.0,-2.408172130584717,0.0,0.0,-2.287531852722168,0.0,1.0,16.0,1.0,-0.0,1.0
6,C#Cc1ccc(NC(=O)C2(C)CCN2C(=O)c2cc(C)n(C)n2)cc1,1.0,0.0,0.0,0.0,-1.4409393072128296,0.0,0.0,-2.6494333744049072,0.0,0.0,-3.077970504760742,1.0,0.0,8.0,0.0,1.0,0.0
7,C/C(=N\NC(=O)c1c(Cl)c(C)nn1C)c1ccc(NC(=O)C2CCC2)cc1,-0.0,1.0,0.0,0.0,-1.5405690670013428,0.0,0.0,-2.8400187492370605,0.0,0.0,-4.881211757659912,0.0,0.0,10.0,0.0,1.0,0.0
8,C/C(=N\NC(=O)c1cc(-c2cccs2)nc2ccccc12)c1ccccn1,-0.0,1.0,0.0,0.0,-1.2973334789276123,0.0,0.0,-2.378317356109619,0.0,0.0,-2.2704544067382812,0.0,0.0,11.0,0.0,1.0,0.0
9,C/C=C/c1ccc([C@@H]2[C@H](CO)N(CC3CC3)[C@H]2CNC(=O)c2ccccc2)cc1,1.0,0.0,0.0,0.0,-1.394156813621521,0.0,0.0,-2.5606861114501953,0.0,0.0,-2.497330665588379,0.0,0.0,10.0,0.0,1.0,0.0
10,C/C=C/c1ccc([C@H]2[C@@H](CNC(=O)CC)N(C(=O)COC)[C@H]2CO)cc1,1.0,0.0,0.0,0.0,-1.5426429510116577,0.0,0.0,-2.844014883041382,0.0,0.0,-4.846635818481445,0.0,0.0,14.0,0.0,1.0,0.0
11,C/C=C/c1ccc([C@H]2[C@@H](CO)N(C(=O)COC)[C@@H]2CNC(=O)CC)cc1,1.0,0.0,0.0,0.0,-1.5473417043685913,0.0,0.0,-2.8530683517456055,0.0,0.0,-5.161001205444336,1.0,0.0,8.0,0.0,1.0,0.0
12,C/C=C/c1ccc2c(c1)O[C@@H](CN(C)C(=O)Nc1cccc(F)c1)[C@H](C)CN([C@H](C)CO)S2(=O)=O,1.0,0.0,0.0,0.0,-1.5068283081054688,0.0,0.0,-2.7751994132995605,0.0,0.0,-3.8164517879486084,1.0,0.0,8.0,0.0,1.0,0.0
13,C=C1C(=O)O[C@@H]2C[C@@H](C)[C@@H]3C=CC(=O)[C@@]3(C)[C@@H](O)[C@H]12,-0.0,1.0,1.0,0.0,-1.6492314338684082,1.0,0.0,-3.0512027740478516,1.0,0.0,-11.972759246826172,0.0,0.0,12.0,0.0,1.0,0.0
14,C=C1C(=O)O[C@@H]2[C@H]1[C@@H](OC(=O)/C(C)=C/C)C/C(C)=C\C(=O)/C=C(\C)[C@@H]2O,1.0,0.0,0.0,0.0,-1.353623628616333,0.0,0.0,-2.484112024307251,0.0,0.0,-2.400578022003174,0.0,0.0,9.0,0.0,1.0,0.0
15,C=C1C(=O)[C@]23C[C@H]1CC[C@H]2[C@]1(C)[C@@H](OC(C)=O)CC[C@@](C)(C(=O)O)[C@H]1C[C@@H]3O,1.0,0.0,0.0,0.0,-1.5399999618530273,0.0,0.0,-2.8389244079589844,1.0,0.0,-7.796623706817627,1.0,0.0,8.0,0.0,1.0,0.0
16,C=C1SC(Nc2c(C)cc(C)cc2C)=NC12CCCCC2,-0.0,1.0,0.0,0.0,-1.4857906103134155,0.0,0.0,-2.7349348068237305,0.0,0.0,-3.3191492557525635,0.0,0.0,10.0,0.0,1.0,0.0
17,C=CC(C)(C)c1[nH]cnc1/C=C1\NC(=O)C(C(C)C)NC1=O,-0.0,1.0,1.0,0.0,-1.58585786819458,1.0,0.0,-2.927549362182617,1.0,0.0,-6.265538215637207,1.0,0.0,8.0,0.0,1.0,0.0
18,C=CCCC(=O)Nc1nc(C)c(-c2csc(Nc3cc(OC)ccc3OC)n2)s1,-0.0,1.0,0.0,0.0,-1.4631359577178955,0.0,0.0,-2.69169282913208,0.0,0.0,-3.6042637825012207,1.0,0.0,8.0,0.0,1.0,0.0
19,C=CCN(CC=C)C(=S)Nc1ccc(OC)c(OC)c1,1.0,0.0,0.0,0.0,-1.5444039106369019,0.0,0.0,-2.8474063873291016,0.0,0.0,-4.750142574310303,0.0,0.0,13.0,0.0,1.0,0.0
20,C=CCN1C(=O)/C(=C/C=C2/N(CC)c3ccc(S(=O)(=O)N(C)C)cc3N2CC)SC1=S,-0.0,1.0,0.0,0.0,-1.330044150352478,0.0,0.0,-2.4397170543670654,0.0,0.0,-2.3179306983947754,0.0,0.0,11.0,1.0,-0.0,1.0
21,C=CCN1c2ccccc2[C@]23C[C@@H](C(=O)OC)N(C(=O)c4cccs4)C2=NC(C(=O)OC)=C(C(=O)OC)[C@H]13,1.0,0.0,0.0,0.0,-1.4703643321990967,0.0,0.0,-2.705477714538574,0.0,0.0,-4.154417037963867,1.0,0.0,8.0,0.0,1.0,0.0
22,C=CCN=c1scc(C)n1/N=C/c1ccc(O)c(O)c1,-0.0,1.0,0.0,0.0,-1.4013372659683228,0.0,0.0,-2.574281930923462,0.0,0.0,-2.598893165588379,0.0,0.0,10.0,1.0,-0.0,1.0
23,C=CC[C@@H](CC(=O)N(CCO)Cc1ccccc1)C(=O)N[C@H](COC(=O)[C@H](CC=C)CC(=O)OC(C)(C)C)Cc1c[nH]c2ccccc12,1.0,0.0,1.0,0.0,-1.689569354057312,1.0,0.0,-3.130703926086426,1.0,0.0,-18.192977905273438,1.0,0.0,8.0,0.0,1.0,0.0
24,C=CCn1c(SCC(=O)N(C)C2CCS(=O)(=O)C2)nc2ccccc2c1=O,-0.0,1.0,1.0,0.0,-1.5786848068237305,1.0,0.0,-2.913641929626465,1.0,0.0,-6.301025867462158,0.0,1.0,18.0,0.0,1.0,0.0
25,CC#CCOCC1CNC(=O)O1,1.0,0.0,0.0,0.0,-1.4240458011627197,0.0,0.0,-2.6173391342163086,0.0,0.0,-2.9818732738494873,0.0,1.0,17.0,0.0,1.0,0.0
26,CC(=NNC(=S)N(Cc1ccccn1)Cc1ccccn1)c1cnccn1,1.0,0.0,1.0,0.0,-1.6384612321853638,1.0,0.0,-3.030085563659668,1.0,0.0,-10.785045623779297,1.0,0.0,8.0,0.0,1.0,0.0
