,SMILES,False positives,True positives,FP - TracIn_test,TP - TracIn_test,Score - TracIn_test,FP - TracIn_test_pos,TP - TracIn_test_pos,Score - TracIn_test_pos,FP - TracIn_self,TP - TracIn_self,Score - TracIn_self,FP - score,TP - score,Score - score,FP - filter,TP - filter,Score - filter
0,C#CC(C)(C)NC(=O)c1ccc(-c2ccccc2F)cc1,1.0,0.0,0.0,0.0,-2.2993297576904297,0.0,0.0,-3.1950337886810303,0.0,0.0,-4.529149055480957,0.0,0.0,43.0,0.0,1.0,0.0
1,C#CCNC(=O)C[C@@H]1C[C@@]2(C(=O)OCC)CCC=C2N(Cc2ccc(Cl)cc2Cl)C1=O,1.0,0.0,0.0,0.0,-2.018702507019043,0.0,0.0,-2.806492328643799,0.0,0.0,-3.0842528343200684,0.0,0.0,76.0,0.0,1.0,0.0
2,C#CCOc1ccc(CNC[C@H]2O[C@@H](n3ccc(N)nc3=O)[C@H](O)[C@@H]2O)cc1,1.0,0.0,1.0,0.0,-2.570371627807617,1.0,0.0,-3.5694892406463623,1.0,0.0,-10.153453826904297,0.0,0.0,38.0,0.0,1.0,0.0
3,C(=C/c1ccc(C2[C@H]3CNC[C@@H]2N3Cc2ccccn2)cc1)\c1ccccc1,-0.0,1.0,1.0,0.0,-2.4937281608581543,1.0,0.0,-3.4636898040771484,1.0,0.0,-7.934082508087158,0.0,0.0,49.0,0.0,1.0,0.0
4,C/C(=N/NC(=O)c1cc(O)c(O)c(O)c1)c1ccc([N+](=O)[O-])cc1,-0.0,1.0,0.0,0.0,-0.998860239982605,0.0,0.0,-1.3905420303344727,0.0,0.0,-1.9400707483291626,0.0,0.0,74.0,1.0,-0.0,1.0
5,C/C(=N\NC(=O)c1cc(O)ccc1O)c1cccc(NC(=O)c2ccc(Cl)cc2)c1,-0.0,1.0,0.0,0.0,-1.8850698471069336,0.0,0.0,-2.621232032775879,0.0,0.0,-2.3508894443511963,0.0,0.0,53.0,0.0,1.0,0.0
6,C/C(=N\NC(=O)c1cc(O)ccc1O)c1cccc(NC(=O)c2cccc(Cl)c2)c1,-0.0,1.0,0.0,0.0,-1.8828458786010742,0.0,0.0,-2.618147850036621,0.0,0.0,-2.348820209503174,0.0,0.0,39.0,0.0,1.0,0.0
7,C/C(=N\NC(=O)c1ccccc1O)C1CC1,1.0,0.0,0.0,0.0,-2.142943859100342,0.0,0.0,-2.978602409362793,0.0,0.0,-2.968338966369629,0.0,0.0,41.0,0.0,1.0,0.0
8,C/C(=N\NC(=O)c1ccccc1O)c1ccc(NC(=O)Cc2ccccc2)cc1,1.0,0.0,0.0,0.0,-2.1216022968292236,0.0,0.0,-2.949047565460205,0.0,0.0,-2.9914374351501465,1.0,0.0,36.0,0.0,1.0,0.0
9,C/C(=N\Nc1ccc(C(=O)O)cc1)c1ccc(Br)cc1,-0.0,1.0,0.0,0.0,-2.0218212604522705,0.0,0.0,-2.810814142227173,0.0,0.0,-2.508958101272583,0.0,0.0,43.0,0.0,1.0,0.0
10,C/C(CC(=O)N1CCCC1)=N\NC(=O)c1cc2ccccc2cc1O,-0.0,1.0,0.0,0.0,-2.1434836387634277,0.0,0.0,-2.979349136352539,0.0,0.0,-3.1641244888305664,0.0,0.0,38.0,1.0,-0.0,1.0
11,C/C(CC(=O)Nc1cc(C)ccn1)=N\NC(=O)c1cccc(C)c1O,1.0,0.0,0.0,0.0,-2.286175489425659,0.0,0.0,-3.1768386363983154,0.0,0.0,-4.180132865905762,0.0,0.0,53.0,0.0,1.0,0.0
