,SMILES,False positives,True positives,FP - TracIn_test,TP - TracIn_test,Score - TracIn_test,FP - TracIn_test_pos,TP - TracIn_test_pos,Score - TracIn_test_pos,FP - TracIn_self,TP - TracIn_self,Score - TracIn_self,FP - score,TP - score,Score - score,FP - filter,TP - filter,Score - filter
0,C#CCOCCOCCOCCNc1nc(N2CCN(C(=O)Cn3cc(CCCN=C(N)N)nn3)CC2)nc(N2CCN(C(=O)[C@H](CCCCN)n3cc(CCCC)nn3)CC2)n1,-0.0,1.0,0.0,0.0,-1.4245785474777222,0.0,0.0,-1.996999740600586,0.0,0.0,-2.1285455226898193,0.0,0.0,72.0,0.0,1.0,0.0
1,C#CCOCCOCCOCCNc1nc(N2CCN(C(=O)[C@H]([C@@H](C)CC)n3cc(CCCCN)nn3)CC2)nc(N2CCN(C(=O)[C@H](CCCCN)n3cc(CCCC)nn3)CC2)n1,1.0,0.0,0.0,0.0,-1.3078945875167847,0.0,0.0,-1.8363869190216064,0.0,0.0,-2.2692365646362305,1.0,0.0,52.0,0.0,1.0,0.0
2,C#CCOCCOCCOCCNc1nc(N2CCN(C(=O)[C@H](CCCCN)n3cc(CN)nn3)CC2)nc(N2CCN(C(=O)[C@H](CO)n3cc([C@@H](N)C(C)C)nn3)CC2)n1,1.0,0.0,0.0,0.0,-1.4886586666107178,0.0,0.0,-2.0846669673919678,0.0,0.0,-2.1490933895111084,1.0,0.0,51.0,0.0,1.0,0.0
3,C(#Cc1ccccc1)C[N+]1(CC#Cc2cccc3ccccc23)CCCC1,-0.0,1.0,0.0,0.0,-1.8140034675598145,1.0,0.0,-2.5083811283111572,0.0,0.0,-3.9478721618652344,0.0,0.0,54.0,0.0,1.0,0.0
4,C/C(=N\NC(=O)c1nnn(-c2nonc2N)c1CN1CCC(C)CC1)c1ccc(Br)cc1,1.0,0.0,0.0,0.0,-1.808623194694519,0.0,0.0,-2.471564769744873,1.0,0.0,-15.520984649658203,0.0,0.0,64.0,0.0,1.0,0.0
5,C1CCCCCC(NCCN2CCNCC2)CCCCC1,-0.0,1.0,0.0,1.0,-0.37089958786964417,0.0,1.0,-0.5274766683578491,0.0,1.0,-0.8908316493034363,0.0,0.0,61.0,0.0,1.0,0.0
6,C=C1[C@@H](OC(C)=O)[C@]23C[C@@H]1[C@@H](OC(C)=O)CC2[C@]12C4C[C@H]3[C@H]1N(CC)C[C@]4(C)CC[C@@H]2O,1.0,0.0,0.0,0.0,-1.7685182094573975,0.0,0.0,-2.457296848297119,0.0,0.0,-3.599139928817749,0.0,0.0,72.0,0.0,1.0,0.0
7,C=CC(=C)CC(NC)c1ccccc1,1.0,0.0,0.0,0.0,-1.805062174797058,0.0,0.0,-2.4639182090759277,1.0,0.0,-16.47177505493164,0.0,0.0,77.0,0.0,1.0,0.0
8,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3OC)ncc2Cl)c1,1.0,0.0,0.0,0.0,-1.6533799171447754,0.0,0.0,-2.308037281036377,0.0,0.0,-2.143402338027954,0.0,0.0,59.0,0.0,1.0,0.0
9,C=CCN1CCc2nc(N)sc2CC1,-0.0,1.0,0.0,0.0,-1.7861264944076538,0.0,0.0,-2.4785537719726562,0.0,0.0,-3.3849289417266846,0.0,0.0,57.0,0.0,1.0,0.0
10,C=CCNc1nc(NCc2cccc(OC)c2)c2sc(-c3ccccc3)cc2n1,1.0,0.0,0.0,0.0,-1.4617924690246582,0.0,0.0,-2.0483245849609375,0.0,0.0,-2.1178481578826904,1.0,0.0,51.0,0.0,1.0,0.0
11,C=CC[N@@+]12CC[C@]34c5ccccc5N5/C=C6\C7N(/C=C(\C53)[C@@H](C[C@@H]41)/C(=C/CO)C2)c1ccccc1[C@@]71CC[N@@+]2(CC=C)C/C(=C\CO)[C@@H]6C[C@@H]12,-0.0,1.0,0.0,0.0,-0.9511964917182922,0.0,0.0,-1.341625452041626,0.0,0.0,-1.8223072290420532,0.0,0.0,53.0,0.0,1.0,0.0
12,CC(=O)C1CCC2C3CC=C4CC(SC(=N)N)CCC4(C)C3CCC12C,-0.0,1.0,0.0,0.0,-1.8004014492034912,0.0,0.0,-2.494835376739502,0.0,0.0,-3.1490204334259033,0.0,0.0,65.0,0.0,1.0,0.0
13,CC(=O)N(CCN(C)C)c1nc2cc3c(cc2s1)OCCO3,-0.0,1.0,0.0,0.0,-1.779412031173706,0.0,0.0,-2.4705588817596436,0.0,0.0,-3.471569538116455,0.0,0.0,62.0,0.0,1.0,0.0
14,CC(=O)N1CCN(c2ccc(N)cc2)CC1,1.0,0.0,1.0,0.0,-1.8226343393325806,1.0,0.0,-2.510927438735962,0.0,0.0,-5.841818809509277,0.0,0.0,60.0,0.0,1.0,0.0
15,CC(=O)Nc1cc(-c2ccc(N3CCN(C)CC3)cc2)cn2c(-c3ccc(S(C)(=O)=O)cc3)cnc12,-0.0,1.0,0.0,0.0,-1.5450613498687744,0.0,0.0,-2.161921739578247,0.0,0.0,-2.0556678771972656,0.0,1.0,91.0,0.0,1.0,0.0
