,SMILES,False positives,True positives,FP - TracIn_test,TP - TracIn_test,Score - TracIn_test,FP - TracIn_test_pos,TP - TracIn_test_pos,Score - TracIn_test_pos,FP - TracIn_self,TP - TracIn_self,Score - TracIn_self,FP - score,TP - score,Score - score,FP - filter,TP - filter,Score - filter
0,C#CCN(C[C@H]1[C@H](OC(=O)NC2CCCC2)[C@H](OC(=O)NC2CCCC2)C[C@H]2C(=O)N(c3ccccc3)C(=O)[C@@H]12)S(=O)(=O)c1ccc(C)cc1,1.0,0.0,0.0,1.0,-0.47993725538253784,0.0,1.0,-0.49180513620376587,0.0,1.0,-0.44413506984710693,0.0,0.0,38.04780876494023,0.0,1.0,0.0
1,C/C(=N/Nc1ccc(C(=O)O)cc1)c1ccc2c(c1)Nc1ccccc1S2,-0.0,1.0,0.0,0.0,-2.3047194480895996,0.0,0.0,-2.3484902381896973,0.0,0.0,-2.216837167739868,1.0,0.0,2.98804780876494,0.0,1.0,0.0
2,C/C(=N\NC(=O)c1nnn(-c2nonc2N)c1-c1ccc(Cl)c(Cl)c1)c1ccncc1,1.0,0.0,0.0,0.0,-2.2530624866485596,0.0,0.0,-2.296379566192627,0.0,0.0,-2.154017448425293,0.0,0.0,9.7609561752988,0.0,1.0,0.0
3,C/C(=N\NS(=O)(=O)c1ccc(Cl)c([N+](=O)[O-])c1)c1cc2ccccc2o1,-0.0,1.0,0.0,0.0,-1.0327167510986328,0.0,0.0,-1.0562310218811035,0.0,0.0,-1.3880746364593506,0.0,0.0,7.768924302788842,0.0,1.0,0.0
4,C/C(=N\Nc1ccc(C(=O)O)cc1)c1ccc2c(c1)Nc1ccccc1S2,-0.0,1.0,0.0,0.0,-2.4250268936157227,0.0,0.0,-2.469468116760254,0.0,0.0,-2.5995171070098877,0.0,0.0,42.43027888446214,0.0,1.0,0.0
5,C/C(=N\Nc1ccccn1)c1ccc(S(=O)(=O)NCc2ccco2)cc1,-0.0,1.0,1.0,0.0,-2.5834054946899414,1.0,0.0,-2.627275228500366,1.0,0.0,-4.471765518188477,0.0,0.0,7.370517928286857,0.0,1.0,0.0
6,C/C(=N\Nc1nc(N2CCOCC2)nc(N2CCOCC2)n1)c1ccc([N+](=O)[O-])cc1,-0.0,1.0,0.0,0.0,-1.5163042545318604,0.0,0.0,-1.548866868019104,0.0,0.0,-1.8052911758422852,0.0,0.0,15.537848605577684,0.0,1.0,0.0
7,C/C(=N\Nc1ncc(Cl)cc1Cl)c1ccc(OC(F)F)cc1,-0.0,1.0,0.0,0.0,-2.5301685333251953,0.0,0.0,-2.574514389038086,0.0,0.0,-3.5426409244537354,1.0,0.0,3.784860557768921,0.0,1.0,0.0
8,C/C(=N\OCC(=O)Nc1c(F)c(F)c(F)c(F)c1F)c1ccc(Br)cc1,1.0,0.0,0.0,0.0,-2.4068727493286133,0.0,0.0,-2.45125412940979,0.0,0.0,-2.573044776916504,0.0,0.0,28.087649402390426,0.0,1.0,0.0
9,C/C=C/C=C/C(=O)OC(C)C(=O)Nc1cc([N+](=O)[O-])ccc1OC,-0.0,1.0,0.0,0.0,-1.8721957206726074,0.0,0.0,-1.9105851650238037,0.0,0.0,-1.915435552597046,0.0,0.0,45.81673306772908,0.0,1.0,0.0
10,C/C=C/C=N/NC(=O)CN(c1ccc(Br)cc1)S(=O)(=O)c1ccccc1,-0.0,1.0,0.0,0.0,-2.4133377075195312,0.0,0.0,-2.457742929458618,0.0,0.0,-2.5420279502868652,0.0,0.0,16.93227091633466,0.0,1.0,0.0
11,C=C(C)CSc1ncc(-c2cccc(C(F)(F)F)c2)cn1,-0.0,1.0,1.0,0.0,-2.6859138011932373,1.0,0.0,-2.7271738052368164,1.0,0.0,-8.467329025268555,0.0,0.0,15.93625498007968,0.0,1.0,0.0
