,SMILES,False positives,True positives,FP - TracIn_test,TP - TracIn_test,Score - TracIn_test,FP - TracIn_test_pos,TP - TracIn_test_pos,Score - TracIn_test_pos,FP - TracIn_self,TP - TracIn_self,Score - TracIn_self,FP - score,TP - score,Score - score,FP - filter,TP - filter,Score - filter
0,Brc1ccc(OCc2cn3ccccc3n2)cc1,1.0,0.0,0.0,1.0,-0.7475080490112305,0.0,1.0,-1.5128021240234375,0.0,0.0,-3.5472264289855957,0.0,0.0,83.0,0.0,1.0,0.0
1,Brc1ccc2c(c1)C(c1cccnc1)=NNC(c1cccs1)=N2,-0.0,1.0,0.0,0.0,-0.9365630149841309,0.0,0.0,-1.8738021850585938,0.0,0.0,-2.744109630584717,0.0,0.0,64.0,0.0,1.0,0.0
2,Brc1cnc2nc(SC/C=C/c3ccccc3)[nH]c2c1,-0.0,1.0,0.0,1.0,-0.6503397226333618,0.0,1.0,-1.3235594034194946,0.0,0.0,-3.8359506130218506,0.0,0.0,62.0,0.0,1.0,0.0
3,C#CC[N+]1(CC#Cc2ccccc2)CCCCC1,1.0,0.0,0.0,0.0,-0.9825640916824341,0.0,0.0,-1.9598515033721924,0.0,0.0,-2.890251398086548,0.0,0.0,82.0,0.0,1.0,0.0
4,C(=N/N1CCN(Cc2cccc3ccccc23)CC1)\c1cccnc1,1.0,0.0,0.0,0.0,-1.1435716152191162,0.0,0.0,-2.252622365951538,0.0,1.0,-2.325850009918213,0.0,0.0,62.0,1.0,-0.0,1.0
5,C/C(=C\C(=O)Nc1cscc1C)C(=O)O,1.0,0.0,0.0,0.0,-1.1537501811981201,0.0,0.0,-2.2703816890716553,0.0,0.0,-3.3465871810913086,0.0,0.0,74.0,0.0,1.0,0.0
6,C/C(=N\NC(=O)c1cccc(N/N=C(\C)c2cc(O)ccc2O)c1)c1cc(O)ccc1O,1.0,0.0,0.0,0.0,-1.1396414041519165,0.0,0.0,-2.2457375526428223,0.0,0.0,-2.8975770473480225,0.0,0.0,64.0,1.0,-0.0,1.0
7,C/C(=N\NC(=O)c1ccoc1C)c1cccc2ccccc12,1.0,0.0,0.0,0.0,-1.0271193981170654,0.0,0.0,-2.042370557785034,0.0,0.0,-2.410996913909912,0.0,0.0,57.0,0.0,1.0,0.0
8,C/C(=N\OC(=O)c1ccc(F)cc1)c1ccc(F)c(F)c1,1.0,0.0,0.0,0.0,-1.1137356758117676,0.0,0.0,-2.1998424530029297,0.0,0.0,-2.5316624641418457,1.0,0.0,54.0,0.0,1.0,0.0
9,C/C(CC(=O)Nc1cccc2c1CCCC2)=N\NC(=O)COc1ccccc1,1.0,0.0,0.0,0.0,-1.2168340682983398,0.0,0.0,-2.378079414367676,0.0,0.0,-5.049794673919678,0.0,0.0,61.0,0.0,1.0,0.0
10,C/C(CCc1oc2c(Br)cc(Br)cc2c1-c1ccc(C)o1)=N\O,1.0,0.0,0.0,1.0,-0.7956171035766602,0.0,1.0,-1.6056461334228516,0.0,0.0,-3.572364330291748,0.0,0.0,80.0,0.0,1.0,0.0
11,C/C(Cl)=C/Cc1c(C)[nH]c2ccc(C)cc2c1=O,1.0,0.0,0.0,1.0,-0.8508034348487854,0.0,1.0,-1.7113518714904785,0.0,0.0,-3.244802236557007,0.0,0.0,58.0,0.0,1.0,0.0
12,C/C(N)=C(/C#N)C(=O)CSc1nnc(-c2ccc3c(c2)OCO3)o1,1.0,0.0,0.0,0.0,-1.0480560064315796,0.0,0.0,-2.080829381942749,0.0,1.0,-2.296659469604492,0.0,0.0,76.0,0.0,1.0,0.0
13,C/C(N)=C(/C#N)C(=O)CSc1nnc(-c2ccccc2Br)o1,1.0,0.0,0.0,0.0,-0.9566316604614258,0.0,0.0,-1.9114372730255127,0.0,0.0,-2.767287254333496,0.0,1.0,115.0,0.0,1.0,0.0
14,C/C1=C\[C@@H](C)C/C=C/[C@H]2[C@@H]3O[C@]3(C)[C@@H](C)[C@H]3[C@H](Cc4c[nH]c5ccccc45)NC(=O)[C@]32C(=O)/C=C/C(=O)[C@@H]1O,1.0,0.0,0.0,0.0,-1.1638144254684448,0.0,0.0,-2.2877860069274902,0.0,0.0,-5.5728044509887695,0.0,1.0,111.0,0.0,1.0,0.0
15,C/C=C/c1c(F)c(F)c(Oc2ccc(C(=O)O)cc2)c(F)c1F,1.0,0.0,0.0,0.0,-1.0153393745422363,0.0,0.0,-2.020634412765503,0.0,0.0,-2.4169013500213623,0.0,1.0,125.0,0.0,1.0,0.0
16,C=C(C)CN(CC)c1nc(N)c2c(N)nc3c(c2c1C#N)CC(=O)N3C12CC3CC(CC(C3)C1)C2,1.0,0.0,0.0,0.0,-1.2605953216552734,0.0,0.0,-2.4502010345458984,0.0,0.0,-8.788061141967773,0.0,0.0,55.0,0.0,1.0,0.0
17,C=C(C)Cn1c(SCC(=O)O)nnc1-c1ccc(OC)cc1,1.0,0.0,1.0,0.0,-1.2967233657836914,1.0,0.0,-2.5083441734313965,1.0,0.0,-11.353891372680664,0.0,0.0,59.0,0.0,1.0,0.0
18,C=C(CCC(=O)c1ccccc1)C(=O)c1ccccc1,-0.0,1.0,0.0,0.0,-1.1724313497543335,0.0,0.0,-2.3026998043060303,0.0,0.0,-3.56488037109375,0.0,0.0,103.0,0.0,1.0,0.0
19,C=C1SC(=Nc2ccccc2Cl)N(C(=O)c2sc3ccccc3c2Cl)C1(C)C,1.0,0.0,0.0,0.0,-1.008802890777588,0.0,0.0,-2.008552074432373,0.0,0.0,-2.4896113872528076,0.0,0.0,57.0,0.0,1.0,0.0
20,C=CCN(C(=O)CCC(=O)Nc1cc(C)on1)C(C(=O)NC(C)(C)C)c1cccc(OC)c1OC,1.0,0.0,1.0,0.0,-1.2985355854034424,1.0,0.0,-2.511209011077881,1.0,0.0,-12.17464828491211,0.0,0.0,83.0,0.0,1.0,0.0
21,C=CCN(C(=O)CCc1ccccc1OC)c1nc(-c2ccc(S(C)(=O)=O)cc2)cs1,1.0,0.0,0.0,0.0,-1.2287318706512451,0.0,0.0,-2.397918701171875,0.0,0.0,-5.836331367492676,0.0,0.0,58.0,0.0,1.0,0.0
22,C=CCN1C(=O)C(Cc2ccc(OCC)cc2)SC1=Nc1ccc(C(=O)O)cc1,1.0,0.0,0.0,0.0,-1.2530994415283203,0.0,0.0,-2.4380593299865723,0.0,0.0,-8.257224082946777,0.0,0.0,59.0,0.0,1.0,0.0
23,C=CCN1C(=O)NC(c2ccccc2)(C(F)(F)F)S/C1=C(\C#N)c1nnc(N2CCOCC2)n1-c1ccccc1,-0.0,1.0,0.0,0.0,-1.251020908355713,0.0,0.0,-2.4346916675567627,0.0,0.0,-7.250999927520752,0.0,0.0,83.0,0.0,1.0,0.0
24,C=CCN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,1.0,0.0,0.0,0.0,-1.178844928741455,0.0,0.0,-2.313714027404785,0.0,0.0,-3.422553539276123,0.0,0.0,95.0,1.0,-0.0,1.0
25,C=CCNC(=O)CSc1nnc(C(CC)N(C)C)n1C1CCCCC1,1.0,0.0,1.0,0.0,-1.3630672693252563,1.0,0.0,-2.612192392349243,1.0,0.0,-17.149736404418945,0.0,0.0,67.0,0.0,1.0,0.0
