,SMILES,False positives,True positives,FP - TracIn_test,TP - TracIn_test,Score - TracIn_test,FP - TracIn_test_pos,TP - TracIn_test_pos,Score - TracIn_test_pos,FP - TracIn_self,TP - TracIn_self,Score - TracIn_self,FP - score,TP - score,Score - score,FP - filter,TP - filter,Score - filter
0,C/C(=C\C(=O)c1ccncc1)Nc1ccccc1O,-0.0,1.0,1.0,0.0,-1.6824140548706055,1.0,0.0,-2.591513156890869,1.0,0.0,-9.263559341430664,0.0,0.0,40.55829003042633,0.0,1.0,0.0
1,C/C(=N\NC(=O)c1cccc(Cl)c1)c1cccc(NC(=O)c2ccco2)c1,1.0,0.0,0.0,0.0,-1.3633074760437012,0.0,0.0,-2.116229295730591,0.0,0.0,-2.0683693885803223,0.0,0.0,41.62437966363419,0.0,1.0,0.0
2,C=CCOc1c(Br)cc(CNc2nccs2)cc1OC,-0.0,1.0,1.0,0.0,-1.6547468900680542,1.0,0.0,-2.554375648498535,1.0,0.0,-5.490293502807617,1.0,0.0,29.45776125240642,0.0,1.0,0.0
3,C=CCc1cc(C)ccc1OCC(O)CN1CCN(c2ccccc2)CC1,-0.0,1.0,0.0,0.0,-1.4971085786819458,0.0,0.0,-2.320077657699585,0.0,0.0,-2.3844211101531982,0.0,0.0,46.0360442730953,0.0,1.0,0.0
4,C=CCc1ccc(OCC(O)CN2CCC(Cc3ccccc3)CC2)c(OC)c1,-0.0,1.0,0.0,0.0,-1.4669145345687866,0.0,0.0,-2.2742581367492676,0.0,0.0,-2.29854679107666,0.0,0.0,49.025341724700176,0.0,1.0,0.0
5,C=CCc1ccc(OCC(O)COc2ccc(CC=C)cc2OC)c(OC)c1,-0.0,1.0,0.0,0.0,-1.6065295934677124,0.0,0.0,-2.484241485595703,0.0,0.0,-3.9995198249816895,1.0,0.0,24.50756594486689,0.0,1.0,0.0
6,C=CCn1c(NC(=O)c2ccccc2Cl)c(C#N)c2nc3ccccc3nc21,-0.0,1.0,0.0,0.0,-1.4628689289093018,0.0,0.0,-2.2681078910827637,0.0,0.0,-2.1978869438171387,0.0,0.0,33.70215727209464,0.0,1.0,0.0
7,C=CCn1c(NCc2cc(C)ccc2O)nc2ccccc21,-0.0,1.0,0.0,0.0,-1.6279189586639404,0.0,0.0,-2.515681743621826,0.0,0.0,-4.426822662353516,0.0,0.0,42.50115559077356,1.0,-0.0,1.0
8,C=CCn1c(SC(C)C(=O)NCCC2=CCCCC2)nc2ccccc2c1=O,-0.0,1.0,0.0,0.0,-1.6077303886413574,0.0,0.0,-2.4860150814056396,0.0,0.0,-3.559089422225952,0.0,0.0,38.62436442507454,0.0,1.0,0.0
9,C=CCn1cc(C(=O)NCc2ccco2)c(=O)c2cc(S(=O)(=O)N3CCCCCC3)ccc21,-0.0,1.0,0.0,0.0,-1.500730037689209,0.0,0.0,-2.325563430786133,0.0,0.0,-2.2968034744262695,0.0,0.0,44.781656837795694,0.0,1.0,0.0
10,CC(=O)N1CCN(c2ccccc2NC(=O)COc2cc(C)ccc2C(C)C)CC1,-0.0,1.0,0.0,0.0,-1.4637855291366577,0.0,0.0,-2.2695016860961914,0.0,0.0,-2.3737831115722656,0.0,0.0,40.35195993274716,0.0,1.0,0.0
11,CC(=O)N1c2ccccc2N(Cc2ccc(C)cc2C)C(=O)C1(C)C,-0.0,1.0,0.0,0.0,-1.5152491331100464,0.0,0.0,-2.3475277423858643,0.0,0.0,-2.7981297969818115,1.0,0.0,27.34437620956067,0.0,1.0,0.0
12,CC(=O)Nc1cc2c(cc1C(=O)c1ccc(C)cc1)OCCO2,1.0,0.0,1.0,0.0,-1.6655974388122559,1.0,0.0,-2.569572925567627,1.0,0.0,-6.793537139892578,0.0,0.0,42.824467031376194,0.0,1.0,0.0
13,CC(=O)Nc1ccc(S(=O)(=O)N2CCc3c(Cl)cccc3C2)cc1,-0.0,1.0,0.0,0.0,-1.500824213027954,0.0,0.0,-2.3257055282592773,0.0,0.0,-2.4760477542877197,0.0,0.0,47.46516719239697,0.0,1.0,0.0
14,CC(=O)OCc1c(C(F)(F)F)nn(C)c1Oc1cccc(C(F)(F)F)c1,-0.0,1.0,0.0,0.0,-1.489047884941101,0.0,0.0,-2.3078598976135254,0.0,0.0,-2.463038444519043,0.0,0.0,48.07745251918789,0.0,1.0,0.0
15,CC(=O)c1ccccc1OCCn1nnc(-c2ccc(C)cc2)n1,1.0,0.0,1.0,0.0,-1.6640115976333618,1.0,0.0,-2.567380905151367,1.0,0.0,-6.312661647796631,0.0,0.0,43.53544742950896,0.0,1.0,0.0
16,CC(=O)c1nn(-c2cccc(Br)c2)cc1C(=O)c1cccc2ccccc12,1.0,0.0,0.0,0.0,-1.2710379362106323,0.0,0.0,-1.974845051765442,0.0,1.0,-2.049595832824707,0.0,0.0,46.27148001970853,0.0,1.0,0.0
17,CC(C(=O)N1c2ccccc2CCc2ccccc21)n1nnc(-c2ccc(N(C)C)cc2)n1,-0.0,1.0,0.0,0.0,-1.253433108329773,0.0,0.0,-1.9478166103363037,0.0,0.0,-2.0567374229431152,0.0,0.0,41.739938740990205,0.0,1.0,0.0
18,CC(C(=O)N1c2ccccc2Sc2ccccc21)n1nnc(-c2cccs2)n1,-0.0,1.0,0.0,0.0,-1.3682650327682495,0.0,0.0,-2.123810291290283,0.0,0.0,-2.1028289794921875,0.0,0.0,33.96253346133724,0.0,1.0,0.0
19,CC(C(=O)NCc1ccc2c(c1)OCO2)N1c2cccc3cccc(c23)S1(=O)=O,-0.0,1.0,0.0,0.0,-1.430949091911316,0.0,0.0,-2.219517707824707,0.0,0.0,-2.5750489234924316,0.0,0.0,43.56160695691042,0.0,1.0,0.0
20,CC(C(=O)OCC(=O)Nc1ccc(S(=O)(=O)N2CCCCC2)cc1)N1C(=O)c2ccccc2C1=O,-0.0,1.0,0.0,0.0,-1.4817252159118652,0.0,0.0,-2.2967536449432373,0.0,0.0,-2.495870590209961,0.0,0.0,40.48021780981262,0.0,1.0,0.0
21,CC(C)(C)C(=O)c1sc2nc(-c3cccs3)cc(C(F)(F)F)c2c1N,-0.0,1.0,0.0,0.0,-1.3980278968811035,0.0,0.0,-2.1692938804626465,0.0,0.0,-2.09689998626709,1.0,0.0,27.088165226622777,0.0,1.0,0.0
22,CC(C)(C)Cc1nc2ccccc2n1CCc1ccccc1,-0.0,1.0,0.0,0.0,-1.4704070091247559,0.0,0.0,-2.27956485748291,0.0,0.0,-2.280905246734619,0.0,0.0,47.76892248144705,0.0,1.0,0.0
23,CC(C)(C)N1CC(c2nc3ccccc3n2CCOc2ccccc2)CC1=O,1.0,0.0,0.0,0.0,-1.5176482200622559,0.0,0.0,-2.3511533737182617,0.0,0.0,-2.7274224758148193,0.0,0.0,49.69705743413133,0.0,1.0,0.0
24,CC(C)(C)NC(=O)CN(C(=O)Cn1nnc(-c2ccc(Cl)cc2)n1)C1CCN(Cc2ccccc2)CC1,1.0,0.0,0.0,1.0,-1.0949925184249878,0.0,1.0,-1.7040066719055176,0.0,0.0,-2.1327342987060547,0.0,0.0,31.098496970066392,0.0,1.0,0.0
25,CC(C)(C)NC(=O)CSc1nc2ccccc2n1-c1ccccc1,-0.0,1.0,0.0,0.0,-1.513187050819397,0.0,0.0,-2.3444104194641113,0.0,0.0,-2.5082783699035645,0.0,0.0,40.23396268584693,0.0,1.0,0.0
26,CC(C)(C)c1ccc(CN(Cc2ccco2)Cc2nnnn2C2CCCC2)cc1,-0.0,1.0,0.0,0.0,-1.283681869506836,0.0,0.0,-1.9942466020584106,0.0,0.0,-2.0726046562194824,0.0,0.0,45.79502105460991,0.0,1.0,0.0
27,CC(C)(C)c1csc(NC(=O)Cn2c(=O)oc3ccccc32)n1,-0.0,1.0,0.0,0.0,-1.6427019834518433,0.0,0.0,-2.5371429920196533,0.0,0.0,-5.1289777755737305,1.0,0.0,17.97286520478084,0.0,1.0,0.0
28,CC(C)(C)n1ncc2c(=O)n(CC(=O)Nc3ccc(Cl)cc3)cnc21,-0.0,1.0,0.0,0.0,-1.594711422920227,0.0,0.0,-2.466731548309326,0.0,0.0,-3.5201363563537598,1.0,0.0,21.134205994849363,0.0,1.0,0.0
29,CC(C)(C)n1nnnc1C(c1ccc(C(F)(F)F)cc1)N(Cc1ccc(F)cc1)Cc1ccco1,-0.0,1.0,0.0,1.0,-0.9457240104675293,0.0,1.0,-1.4735527038574219,0.0,0.0,-2.1480886936187744,0.0,0.0,47.81677155875227,0.0,1.0,0.0
30,CC(C)(C)n1nnnc1C(c1ccc(Cl)cc1)N(Cc1cccnc1)Cc1ccco1,-0.0,1.0,0.0,1.0,-1.1149532794952393,0.0,1.0,-1.734771728515625,0.0,0.0,-2.1280570030212402,1.0,0.0,21.335354982247075,0.0,1.0,0.0
31,CC(C)(C)n1nnnc1C(c1ccc(F)cc1)N(Cc1ccc(F)cc1)Cc1ccco1,-0.0,1.0,0.0,1.0,-1.036266803741455,0.0,1.0,-1.6134167909622192,0.0,0.0,-2.1530702114105225,0.0,0.0,37.73006415433613,0.0,1.0,0.0
32,CC(C)(C)n1nnnc1C(c1cccc(C#N)c1)N1CCC(Cc2ccccc2)CC1,1.0,0.0,0.0,1.0,-1.105226993560791,0.0,1.0,-1.719786286354065,0.0,0.0,-2.1211602687835693,0.0,0.0,45.314904835194966,0.0,1.0,0.0
33,CC(C)(C)n1nnnc1C(c1cccs1)N(Cc1ccc(Cl)cc1)CC1CCCO1,-0.0,1.0,0.0,1.0,-1.138552188873291,0.0,1.0,-1.7711315155029297,0.0,0.0,-2.0998880863189697,0.0,0.0,46.20849397314966,0.0,1.0,0.0
34,CC(C)(C)n1nnnc1C(c1cccs1)N(Cc1ccccc1)Cc1cccnc1,1.0,0.0,0.0,1.0,-1.1647839546203613,0.0,1.0,-1.8115200996398926,0.0,0.0,-2.09171199798584,0.0,0.0,46.2809787218912,0.0,1.0,0.0
35,CC(C)(C)n1nnnc1C(c1cccs1)N1CCCc2ccccc21,-0.0,1.0,0.0,0.0,-1.305354118347168,0.0,0.0,-2.0274806022644043,0.0,0.0,-2.0918431282043457,0.0,0.0,39.430027073840975,0.0,1.0,0.0
36,CC(C)(C)n1nnnc1CN(Cc1ccc(F)cc1)Cc1ccco1,-0.0,1.0,0.0,0.0,-1.4295912981033325,0.0,0.0,-2.217447280883789,0.0,0.0,-2.252420663833618,0.0,0.0,45.82112978681254,0.0,1.0,0.0
37,CC(C)(C)n1nnnc1CN1CCN(C(c2ccccc2)c2ccccc2)CC1,-0.0,1.0,0.0,0.0,-1.2857149839401245,0.0,0.0,-1.9973649978637695,0.0,0.0,-2.0618550777435303,0.0,0.0,42.30544168965149,0.0,1.0,0.0
38,CC(C)CC(/C(O)=C(\C#N)c1nc2ccccc2[nH]1)N1C(=O)c2ccccc2C1=O,-0.0,1.0,0.0,0.0,-1.3332264423370361,0.0,0.0,-2.0701894760131836,0.0,0.0,-2.135012149810791,0.0,0.0,36.04798114482219,0.0,1.0,0.0
39,CC(C)CCN1CC(C(=O)NCc2ccccc2)CC1=O,1.0,0.0,1.0,0.0,-1.6868908405303955,1.0,0.0,-2.5944533348083496,1.0,0.0,-12.338493347167969,0.0,0.0,42.764731877542935,0.0,1.0,0.0
40,CC(C)Cn1c(SCC(=O)c2ccc(Cl)s2)nnc1-c1ccco1,-0.0,1.0,0.0,0.0,-1.4604753255844116,0.0,0.0,-2.264468193054199,0.0,0.0,-2.1718602180480957,0.0,0.0,41.02362484697946,0.0,1.0,0.0
41,CC(C)N(Cc1nc(-c2ccc(Cl)cc2)no1)C(=O)C(c1ccccc1)c1ccccc1,1.0,0.0,0.0,1.0,-1.062516212463379,0.0,1.0,-1.6539250612258911,0.0,0.0,-2.1572916507720947,0.0,0.0,47.53917579710365,0.0,1.0,0.0
42,CC(C)N(Cc1nc(-c2ccc(Cl)cc2)no1)C(=O)CCCN1C(=O)c2ccccc2C1=O,-0.0,1.0,0.0,0.0,-1.4325149059295654,0.0,0.0,-2.2219038009643555,0.0,0.0,-2.146712064743042,0.0,0.0,44.046904286606825,0.0,1.0,0.0
43,CC(C)NC(C(=O)Nc1cc(Cl)cc(Cl)c1)c1ccccc1,-0.0,1.0,0.0,0.0,-1.358759880065918,0.0,0.0,-2.1092727184295654,0.0,0.0,-2.0595505237579346,0.0,0.0,46.27127683891319,0.0,1.0,0.0
44,CC(C)Oc1ccc(C(CC(=O)NCc2ccco2)c2ccccc2)cc1,-0.0,1.0,0.0,0.0,-1.3375142812728882,0.0,0.0,-2.076756000518799,0.0,0.0,-2.0607142448425293,0.0,0.0,49.49433379556964,0.0,1.0,0.0
45,CC(C)Sc1oc(-c2ccco2)nc1S(=O)(=O)c1ccc(F)cc1,-0.0,1.0,0.0,0.0,-1.4409446716308594,0.0,0.0,-2.234745740890503,0.0,0.0,-2.169424057006836,0.0,0.0,42.50755578582712,0.0,1.0,0.0
46,CC(C)c1ccc(CN(C(=O)C2COc3ccccc3O2)C2CCS(=O)(=O)C2)cc1,-0.0,1.0,0.0,0.0,-1.5016064643859863,0.0,0.0,-2.326889991760254,0.0,0.0,-2.5012831687927246,0.0,0.0,47.095225759261226,0.0,1.0,0.0
47,CC(C)c1ccc(NC(=O)c2cnn(-c3ccccc3)c2NC(=O)c2ccco2)cc1,-0.0,1.0,0.0,0.0,-1.3496465682983398,0.0,0.0,-2.095327854156494,0.0,0.0,-2.0824716091156006,0.0,0.0,31.28237558985925,0.0,1.0,0.0
48,CC(C)n1c(C(=O)OCC(=O)NCc2ccc3c(c2)OCO3)cc2occc21,-0.0,1.0,0.0,0.0,-1.5620088577270508,0.0,0.0,-2.417929172515869,0.0,0.0,-3.3971214294433594,0.0,0.0,41.74166577775068,0.0,1.0,0.0
49,CC(CC(=O)Nc1cc(C(F)(F)F)ccc1Cl)c1ccccc1,-0.0,1.0,0.0,0.0,-1.3529331684112549,0.0,0.0,-2.100358247756958,0.0,1.0,-2.051501750946045,0.0,0.0,46.48989937471109,0.0,1.0,0.0
50,CC(CCc1ccccc1)NC(=O)CN1CCN(Cc2ccc(Cl)cc2)C1=O,-0.0,1.0,0.0,0.0,-1.4339348077774048,0.0,0.0,-2.224066734313965,0.0,0.0,-2.215023994445801,1.0,0.0,28.00120892573234,0.0,1.0,0.0
51,CC(NC(=O)CCC(=O)NC(C)C1COc2ccccc2O1)C1COc2ccccc2O1,-0.0,1.0,0.0,0.0,-1.5593693256378174,0.0,0.0,-2.4139719009399414,0.0,0.0,-3.1413395404815674,1.0,0.0,24.710137197832065,0.0,1.0,0.0
52,CC(NC(=O)CCSc1nc(-c2ccc3c(c2)OCO3)cc(C(F)(F)F)n1)c1ccccc1,-0.0,1.0,0.0,0.0,-1.2279084920883179,0.0,0.0,-1.9086071252822876,0.0,0.0,-2.072953939437866,0.0,0.0,42.85169325795326,0.0,1.0,0.0
53,CC(Oc1ccccc1)c1ccnn1S(=O)(=O)c1ccccc1,-0.0,1.0,0.0,0.0,-1.64519464969635,0.0,0.0,-2.540734052658081,0.0,0.0,-4.893764019012451,0.0,0.0,36.85547242074679,0.0,1.0,0.0
54,CC(Sc1nnc(-c2cccs2)n1Cc1ccccc1)C(=O)NCc1ccc2c(c1)OCO2,-0.0,1.0,0.0,0.0,-1.238312840461731,0.0,0.0,-1.9245952367782593,0.0,0.0,-2.064268112182617,0.0,0.0,47.11178499408236,0.0,1.0,0.0
55,CC(Sc1nnnn1-c1ccccc1)C(=O)Nc1ccc(Cl)cn1,-0.0,1.0,0.0,0.0,-1.5966825485229492,0.0,0.0,-2.469658374786377,0.0,0.0,-3.4518935680389404,0.0,0.0,43.37178529885355,0.0,1.0,0.0
56,CC/C(=C\C=C\[C@@H]1C=C[C@@H]2CCC[C@H]2[C@@H]1C(=O)c1ccc[nH]1)[C@@H]1O[C@@H]([C@@H](C)C(=O)O)CC[C@@H]1C,1.0,0.0,1.0,0.0,-1.6741588115692139,1.0,0.0,-2.5756113529205322,1.0,0.0,-16.03751564025879,1.0,0.0,26.17283574356552,0.0,1.0,0.0
57,CC/C(=N\n1nnnc1Nc1ccccc1)c1ccccc1,-0.0,1.0,0.0,0.0,-1.5812739133834839,0.0,0.0,-2.4467360973358154,0.0,0.0,-3.9681694507598877,0.0,0.0,40.37537651941138,0.0,1.0,0.0
58,CC/C(O)=C1\C(=O)CC(c2ccccc2)CC1=NCCc1c(C)[nH]c2ccc(C)cc12,-0.0,1.0,0.0,1.0,-1.2048739194869995,0.0,1.0,-1.873199701309204,0.0,0.0,-2.087902545928955,0.0,0.0,46.153584363206,1.0,-0.0,1.0
59,CC1CCCCN1C(=O)CSCC(=O)Nc1nc(-c2cccs2)cs1,-0.0,1.0,0.0,0.0,-1.5943104028701782,0.0,0.0,-2.466136932373047,0.0,0.0,-3.502413272857666,0.0,0.0,44.42426181877289,0.0,1.0,0.0
60,CC1CCCN(C(=O)CSCC(=O)Nc2nc(-c3cccs3)cs2)C1,-0.0,1.0,0.0,0.0,-1.5928401947021484,0.0,0.0,-2.4639532566070557,0.0,0.0,-3.4805197715759277,0.0,0.0,42.93702919200077,0.0,1.0,0.0
61,CC1CCCN(C(c2cccs2)c2nnnn2Cc2ccccc2)C1,-0.0,1.0,0.0,0.0,-1.4922983646392822,0.0,0.0,-2.3127880096435547,0.0,0.0,-2.5140390396118164,0.0,0.0,47.26991044806445,0.0,1.0,0.0
62,CC1CCCN(S(=O)(=O)c2ccc(C(=O)Nc3nnc(-c4ccccc4Cl)o3)cc2)C1,1.0,0.0,0.0,0.0,-1.4208698272705078,0.0,0.0,-2.2041513919830322,0.0,0.0,-2.177415370941162,0.0,0.0,32.28979676840945,0.0,1.0,0.0
63,CC1CCN(C(=O)C2CCN(CCCc3ccccc3)CC2)CC1,-0.0,1.0,0.0,0.0,-1.649786114692688,0.0,0.0,-2.5473155975341797,0.0,0.0,-4.780852317810059,0.0,0.0,46.87766992263892,0.0,1.0,0.0
64,CC1CCN(C(=O)CSCC(=O)Nc2nc(-c3cccs3)cs2)CC1,-0.0,1.0,0.0,0.0,-1.5981769561767578,0.0,0.0,-2.471874952316284,0.0,0.0,-3.500162124633789,0.0,0.0,40.58267172586847,0.0,1.0,0.0
65,CC1CCN(S(=O)(=O)c2ccc(NC(=O)Cc3ccccc3)cc2)CC1,-0.0,1.0,0.0,0.0,-1.5813180208206177,0.0,0.0,-2.4468002319335938,0.0,0.0,-3.246689796447754,0.0,0.0,39.40945501831167,0.0,1.0,0.0
66,CC1CCN(S(=O)(=O)c2ccc(NN=C(C#N)C#N)cc2)CC1,-0.0,1.0,1.0,0.0,-1.6691639423370361,1.0,0.0,-2.574460744857788,1.0,0.0,-6.372556209564209,1.0,0.0,26.76937455871672,1.0,-0.0,1.0
67,CC1CCN(S(=O)(=O)c2cccc(C(=O)NCc3cccs3)c2)CC1,-0.0,1.0,0.0,0.0,-1.615633487701416,0.0,0.0,-2.4976682662963867,0.0,0.0,-3.7208142280578613,0.0,0.0,32.490844165409484,0.0,1.0,0.0
68,CC1CN(C(=O)N2c3ccccc3Sc3ccccc32)C(C)CC1=O,-0.0,1.0,0.0,0.0,-1.5873392820358276,0.0,0.0,-2.455772638320923,0.0,0.0,-3.6937291622161865,0.0,0.0,46.20087469332398,0.0,1.0,0.0
69,CC1CN(S(=O)(=O)c2ccc(C(=O)Nc3nnc(-c4ccc5c(c4)CCCC5)o3)cc2)CC(C)O1,1.0,0.0,0.0,0.0,-1.4286746978759766,0.0,0.0,-2.2160484790802,0.0,0.0,-2.21364688873291,1.0,0.0,26.84130056027104,0.0,1.0,0.0
70,CC1Cc2ccccc2N1C(=O)CN1CCC(n2nnc3cc(C(F)(F)F)ccc32)CC1,1.0,0.0,0.0,0.0,-1.3554922342300415,0.0,0.0,-2.1042723655700684,0.0,1.0,-2.0511631965637207,1.0,0.0,21.04551757767856,0.0,1.0,0.0
71,CC1Cc2ccccc2N1C(=O)CSc1nc2ccccc2o1,-0.0,1.0,0.0,0.0,-1.5045897960662842,0.0,0.0,-2.3314058780670166,0.0,0.0,-2.41395902633667,0.0,0.0,48.40254179174985,0.0,1.0,0.0
72,CC1Cc2ccccc2N1C(=O)c1cc2sccc2n1Cc1ccc(F)cc1,-0.0,1.0,0.0,1.0,-1.1705431938171387,0.0,1.0,-1.820382833480835,0.0,0.0,-2.0942978858947754,0.0,0.0,41.191452183939575,0.0,1.0,0.0
73,CCC(=NCc1ccc2c(c1)OCO2)c1c(O)n(C2CCCCC2)c(=O)[nH]c1=O,-0.0,1.0,0.0,0.0,-1.609703779220581,0.0,0.0,-2.4889321327209473,0.0,0.0,-5.01181697845459,0.0,0.0,40.175497411984615,0.0,1.0,0.0
74,CCC(=O)N1CCN(c2ccc(Cl)cc2NC(=O)Cc2ccccc2)CC1,-0.0,1.0,0.0,0.0,-1.460310697555542,0.0,0.0,-2.2642178535461426,0.0,0.0,-2.263688325881958,0.0,0.0,38.82332921892223,0.0,1.0,0.0
75,CCC(=O)N1CCN(c2ccccc2NC(=O)COc2cc(C)ccc2C(C)C)CC1,-0.0,1.0,0.0,0.0,-1.4270607233047485,0.0,0.0,-2.2135908603668213,0.0,0.0,-2.250804901123047,0.0,0.0,33.667006994498884,0.0,1.0,0.0
76,CCC(=O)N1CCN(c2ccccc2NC(=O)Cc2ccccc2)CC1,-0.0,1.0,0.0,0.0,-1.5901226997375488,0.0,0.0,-2.4599132537841797,0.0,0.0,-3.5689964294433594,0.0,0.0,44.2123950444204,0.0,1.0,0.0
77,CCC(=O)Nc1ccc(S(=O)(=O)N2CCc3ccccc3C2)cc1,-0.0,1.0,0.0,0.0,-1.592174768447876,0.0,0.0,-2.4629650115966797,0.0,0.0,-3.8005363941192627,0.0,0.0,46.87325074034002,0.0,1.0,0.0
78,CCC(=O)n1nc(NCc2ccccc2OC)nc1NCc1ccccc1OC,-0.0,1.0,0.0,0.0,-1.5805294513702393,0.0,0.0,-2.4456241130828857,0.0,0.0,-3.8827977180480957,1.0,0.0,29.15786639846802,0.0,1.0,0.0
79,CCC(C(=O)NC1CCCC1)N(C(=O)Cn1nnc(-c2ccc(C)cc2)n1)C1CCCC1,1.0,0.0,0.0,0.0,-1.5185285806655884,0.0,0.0,-2.352482318878174,0.0,0.0,-2.628200054168701,0.0,0.0,36.24547287790358,0.0,1.0,0.0
80,CCC(C(=O)Nc1cccc(C(F)(F)F)c1)c1ccccc1,-0.0,1.0,0.0,0.0,-1.4772539138793945,0.0,0.0,-2.289963722229004,0.0,0.0,-2.343362331390381,0.0,0.0,34.84220471481036,0.0,1.0,0.0
81,CCC(C)(C)n1nnnc1C(c1ccc(C)cc1)N(Cc1ccco1)Cc1cccs1,-0.0,1.0,0.0,1.0,-1.0515222549438477,0.0,1.0,-1.636959195137024,0.0,0.0,-2.146657943725586,0.0,0.0,40.176716496756725,0.0,1.0,0.0
82,CCC(C)(C)n1nnnc1C(c1ccc(C)cc1)N1CCN(Cc2ccc3c(c2)OCO3)CC1,-0.0,1.0,0.0,0.0,-1.240060567855835,0.0,0.0,-1.927280068397522,0.0,0.0,-2.0679244995117188,0.0,0.0,46.941519487578034,0.0,1.0,0.0
83,CCC(C)(C)n1nnnc1C(c1cccnc1)N1CCN(c2cccc(C(F)(F)F)c2)CC1,1.0,0.0,0.0,1.0,-1.1788592338562012,0.0,1.0,-1.8331832885742188,0.0,0.0,-2.087128162384033,0.0,0.0,43.575524841392,0.0,1.0,0.0
84,CCC(CC)C(=O)Nc1cccc(/C(C)=N\NC(=O)c2ccc(C)s2)c1,1.0,0.0,0.0,0.0,-1.499207615852356,0.0,0.0,-2.3232569694519043,0.0,0.0,-2.518958330154419,0.0,0.0,39.97851363089161,0.0,1.0,0.0
85,CCC(CC)c1nnc(NC(=O)C2COc3ccccc3O2)s1,-0.0,1.0,1.0,0.0,-1.6720919609069824,1.0,0.0,-2.578409194946289,1.0,0.0,-8.136122703552246,0.0,0.0,49.58459686390442,0.0,1.0,0.0
86,CCC(SC1=N/C(=C/c2ccccc2OC)C(=O)N1c1ccccc1)C(=O)Nc1cc(C)on1,-0.0,1.0,0.0,0.0,-1.238140344619751,0.0,0.0,-1.9243271350860596,0.0,0.0,-2.060981273651123,0.0,0.0,44.90630825574366,0.0,1.0,0.0
87,CCC(c1nnnn1Cc1ccco1)N1CCN(c2cc(Cl)ccc2C)CC1,-0.0,1.0,0.0,0.0,-1.2992643117904663,0.0,0.0,-2.018145799636841,0.0,0.0,-2.0582923889160156,0.0,0.0,40.233911890648095,0.0,1.0,0.0
88,CCC1CCCCN1S(=O)(=O)c1ccc(C(=O)Nc2nnc(-c3cccs3)o2)cc1,-0.0,1.0,0.0,0.0,-1.450856328010559,0.0,0.0,-2.249835968017578,0.0,0.0,-2.3607442378997803,1.0,0.0,26.244660154722173,0.0,1.0,0.0
89,CCC1Oc2ccc(C)cc2N(CC(=O)NCC2COc3ccccc3O2)C1=O,-0.0,1.0,0.0,0.0,-1.6514946222305298,1.0,0.0,-2.5497541427612305,1.0,0.0,-5.8663787841796875,0.0,0.0,43.21802823197151,0.0,1.0,0.0
90,CCC1Sc2ccccc2N(CC(=O)NCCC2=CCCCC2)C1=O,-0.0,1.0,1.0,0.0,-1.67282235622406,1.0,0.0,-2.5793886184692383,1.0,0.0,-6.878238677978516,0.0,0.0,40.053538139575046,0.0,1.0,0.0
91,CCCC(=O)N1CCN(c2ccc([N+](=O)[O-])c(NC(C)c3ccccc3)c2)CC1,-0.0,1.0,0.0,0.0,-1.4439772367477417,0.0,0.0,-2.239363193511963,0.0,0.0,-2.2123208045959473,0.0,0.0,37.58463750006349,0.0,1.0,0.0
