,SMILES,False positives,True positives,FP - TracIn_test,TP - TracIn_test,Score - TracIn_test,FP - TracIn_test_pos,TP - TracIn_test_pos,Score - TracIn_test_pos,FP - TracIn_self,TP - TracIn_self,Score - TracIn_self,FP - score,TP - score,Score - score,FP - filter,TP - filter,Score - filter
0,Brc1ccc(-[n+]2c(-c3ccccc3)cc(-c3ccccc3)cc2-c2ccccc2)cc1.[O-][Cl+3]([O-])([O-])[O-],-0.0,1.0,0.0,1.0,-0.40519028902053833,0.0,1.0,-0.5657916069030762,0.0,1.0,-0.9848701357841492,0.0,1.0,40.0,0.0,1.0,0.0
1,Brc1nnc2n1-c1ccccc1Sc1ccccc1-2,-0.0,1.0,0.0,0.0,-1.3061590194702148,0.0,0.0,-1.7282298803329468,0.0,0.0,-2.0298006534576416,0.0,0.0,30.0,0.0,1.0,0.0
2,C#CCNC(=O)C1=C[C@@H](C2CC2)C[C@@H](OCc2ccc(CO)cc2)O1,-0.0,1.0,0.0,0.0,-1.604828953742981,0.0,0.0,-2.0355515480041504,0.0,0.0,-4.459480285644531,0.0,0.0,30.0,0.0,1.0,0.0
3,C#CCNC(=O)C1=C[C@@H](c2ccc(C#C)cc2)C[C@@H](OCc2ccc(CO)cc2)O1,-0.0,1.0,0.0,0.0,-1.490648627281189,0.0,0.0,-1.9382539987564087,0.0,0.0,-2.217817783355713,0.0,0.0,30.0,0.0,1.0,0.0
4,C#Cc1cccc(C(=O)N2CCCC(Nc3cccc(F)c3)C2)c1,-0.0,1.0,0.0,0.0,-1.4833581447601318,0.0,0.0,-1.9306246042251587,0.0,0.0,-2.1270689964294434,0.0,0.0,35.0,0.0,1.0,0.0
5,C(=C/c1ccccc1)\CSc1nnc(-c2ccccn2)n1Cc1ccco1,-0.0,1.0,0.0,0.0,-1.53058922290802,0.0,0.0,-1.9781322479248047,0.0,0.0,-2.6225619316101074,0.0,0.0,35.0,0.0,1.0,0.0
6,C(=C/c1ccccc1)\CSc1nnc(-c2cccnc2)n1Cc1ccco1,-0.0,1.0,0.0,0.0,-1.5273406505584717,0.0,0.0,-1.9750388860702515,0.0,0.0,-2.5948126316070557,0.0,0.0,30.0,0.0,1.0,0.0
7,C/C=C(/C)C(=O)OC1Cc2c(ccc3ccc(=O)oc23)OC1(C)C,-0.0,1.0,1.0,0.0,-1.638442039489746,0.0,0.0,-2.0314443111419678,1.0,0.0,-8.387003898620605,0.0,0.0,30.0,0.0,1.0,0.0
8,C/C=C/c1ccc(OCC(O)CNCCc2ccc(OC)cc2)c(OC)c1,1.0,0.0,0.0,0.0,-1.3717241287231445,0.0,0.0,-1.8055572509765625,0.0,0.0,-2.0007846355438232,0.0,0.0,25.0,0.0,1.0,0.0
9,C/C=C/c1ccc(OCCCCN(C)Cc2ccccc2)c(OC)c1,-0.0,1.0,0.0,0.0,-0.9305606484413147,0.0,0.0,-1.260093331336975,0.0,0.0,-2.0970795154571533,0.0,1.0,45.0,0.0,1.0,0.0
10,C/C=C/c1ccc(OCCOCCNCc2ccccc2)c(OC)c1,-0.0,1.0,0.0,0.0,-1.1626245975494385,0.0,0.0,-1.5533740520477295,0.0,0.0,-2.043403148651123,0.0,0.0,30.0,0.0,1.0,0.0
11,C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1,-0.0,1.0,0.0,0.0,-1.116373062133789,0.0,0.0,-1.4958199262619019,0.0,0.0,-2.0501532554626465,0.0,0.0,35.0,0.0,1.0,0.0
12,C=CCN(c1nc(C)cc(OC)n1)S(=O)(=O)c1ccccc1,-0.0,1.0,1.0,0.0,-1.6338692903518677,0.0,0.0,-2.036761522293091,1.0,0.0,-8.623340606689453,0.0,0.0,35.0,0.0,1.0,0.0
13,C=CCNC(=S)/N=c1/ccccn1Cc1ccccc1,-0.0,1.0,0.0,0.0,-1.5892064571380615,0.0,0.0,-2.0267529487609863,0.0,0.0,-3.944481372833252,0.0,0.0,30.0,0.0,1.0,0.0
