,SMILES,False positives,True positives,FP - TracIn_test,TP - TracIn_test,Score - TracIn_test,FP - TracIn_test_pos,TP - TracIn_test_pos,Score - TracIn_test_pos,FP - TracIn_self,TP - TracIn_self,Score - TracIn_self,FP - score,TP - score,Score - score,FP - filter,TP - filter,Score - filter
0,Brc1ccc(CNc2ccc3ncccc3c2)cc1,1.0,0.0,0.0,0.0,-2.499786615371704,0.0,0.0,-2.596402645111084,0.0,0.0,-3.0097599029541016,0.0,0.0,39.0,0.0,1.0,0.0
1,Brc1ccc(Cn2c(-c3ccc(Br)o3)nc3ccccc32)o1,-0.0,1.0,0.0,0.0,-2.40755033493042,0.0,0.0,-2.5002949237823486,0.0,0.0,-2.267638921737671,1.0,0.0,30.0,0.0,1.0,0.0
2,C#CC(=O)N(c1cc(OC)ccc1OC)C(C(=O)NC1CCCC1)c1cccs1,-0.0,1.0,0.0,0.0,-2.425614356994629,0.0,0.0,-2.5191047191619873,0.0,0.0,-2.2518932819366455,1.0,0.0,31.0,0.0,1.0,0.0
3,C#CCOC(=O)c1ccccc1C(=O)n1nnc2ccccc21,-0.0,1.0,0.0,0.0,-2.1919772624969482,0.0,0.0,-2.2760422229766846,0.0,0.0,-2.0518815517425537,0.0,0.0,51.0,0.0,1.0,0.0
4,C#CCOc1ccc(/C=C2/C(=O)N(c3cccc(C(=O)O)c3)N=C2C)cc1OC,-0.0,1.0,0.0,0.0,-2.1320548057556152,0.0,0.0,-2.213740825653076,0.0,0.0,-2.089848518371582,0.0,0.0,71.0,1.0,-0.0,1.0
5,C(=N/Nc1nncc2ccccc12)\c1ccccn1,-0.0,1.0,0.0,0.0,-2.5165791511535645,0.0,0.0,-2.6139233112335205,0.0,0.0,-3.4735069274902344,0.0,0.0,38.0,0.0,1.0,0.0
6,C/C(=C/CCC(C)[C@H]1CC[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CCC(=O)C(C)(C)[C@@H]1CC3)C(=O)O,-0.0,1.0,0.0,0.0,-1.8969056606292725,0.0,0.0,-1.9693374633789062,0.0,0.0,-2.05718731880188,0.0,0.0,42.0,0.0,1.0,0.0
7,C/C(=C\c1ccco1)C1C(C#N)=C(N)Oc2n[nH]c(-c3ccccc3)c21,-0.0,1.0,0.0,1.0,-1.3299777507781982,0.0,1.0,-1.3804197311401367,0.0,1.0,-1.9964168071746826,0.0,0.0,77.0,0.0,1.0,0.0
8,C/C(=N/NC(=O)Cc1cc(=O)[nH][nH]1)c1ccc([N+](=O)[O-])cc1,-0.0,1.0,0.0,0.0,-2.298280954360962,0.0,0.0,-2.386594533920288,0.0,0.0,-2.0730135440826416,0.0,1.0,84.0,0.0,1.0,0.0
9,C/C(=N\NC(=O)CC#N)c1cc2ccccc2oc1=O,-0.0,1.0,0.0,0.0,-2.1206796169281006,0.0,0.0,-2.2019155025482178,0.0,0.0,-2.060861349105835,0.0,1.0,86.0,0.0,1.0,0.0
10,C/C(=N\NC(=O)Cc1cc(=O)[nH][nH]1)c1cccc([N+](=O)[O-])c1,-0.0,1.0,0.0,0.0,-2.315441846847534,0.0,0.0,-2.4044458866119385,0.0,0.0,-2.0677783489227295,0.0,1.0,88.0,0.0,1.0,0.0
11,C/C(CC(=O)N1CCN(C=O)CC1)=N\NC(=O)c1cccc([N+](=O)[O-])c1,-0.0,1.0,0.0,0.0,-2.4872262477874756,0.0,0.0,-2.583303689956665,0.0,0.0,-3.1740243434906006,0.0,0.0,71.0,0.0,1.0,0.0
12,C/C(CC(=O)NCc1ccco1)=N\NC(=O)c1ccc([N+](=O)[O-])cc1Cl,-0.0,1.0,0.0,0.0,-2.3935940265655518,0.0,0.0,-2.4857661724090576,0.0,0.0,-2.253929615020752,0.0,0.0,69.0,0.0,1.0,0.0
13,C/C(CC(=O)Nc1cc(C)ccn1)=N\NC(=O)C(=O)NC(C)C,-0.0,1.0,1.0,0.0,-2.598055124282837,1.0,0.0,-2.6994190216064453,1.0,0.0,-7.000922203063965,0.0,0.0,64.0,0.0,1.0,0.0
14,C/C(CC(=O)Nc1cc(C)ccn1)=N\NC(=O)c1ccc(C)cc1,-0.0,1.0,1.0,0.0,-2.5754103660583496,1.0,0.0,-2.675457715988159,1.0,0.0,-5.21695613861084,0.0,0.0,62.0,0.0,1.0,0.0
15,C/C(CC(=O)Nc1cc(C)ccn1)=N\NC(=O)c1cccc(C)c1,-0.0,1.0,1.0,0.0,-2.576098680496216,1.0,0.0,-2.676180839538574,1.0,0.0,-5.22157096862793,0.0,0.0,70.0,0.0,1.0,0.0
16,C/C(CC(=O)Nc1cc(C)ccn1)=N\NC(=O)c1cccc(F)c1,-0.0,1.0,1.0,0.0,-2.581139087677002,1.0,0.0,-2.681478261947632,1.0,0.0,-5.175121307373047,0.0,0.0,43.0,0.0,1.0,0.0
17,C/C(CC(=O)Nc1cc(C)ccn1)=N\NC(=O)c1ccccc1C,-0.0,1.0,1.0,0.0,-2.5750527381896973,1.0,0.0,-2.675081968307495,1.0,0.0,-5.168466567993164,0.0,0.0,50.0,0.0,1.0,0.0
18,C/C(CC(=O)Nc1cc(C)ccn1)=N\NC(=O)c1ccncc1,-0.0,1.0,1.0,0.0,-2.58174467086792,1.0,0.0,-2.6821157932281494,1.0,0.0,-5.352458953857422,0.0,0.0,75.0,0.0,1.0,0.0
19,C/C(CC(=O)Nc1ccc(Cl)cn1)=N\NC(=O)Cc1cccs1,-0.0,1.0,0.0,0.0,-2.5562102794647217,0.0,0.0,-2.65533447265625,0.0,0.0,-3.4977991580963135,0.0,0.0,62.0,0.0,1.0,0.0
20,C/C(CC(=O)Nc1ccc(F)cc1)=N\NC(=O)COc1ccccc1,-0.0,1.0,1.0,0.0,-2.575355052947998,1.0,0.0,-2.6753995418548584,1.0,0.0,-4.999660968780518,0.0,0.0,66.0,0.0,1.0,0.0
21,C/C(CC(=O)Nc1ccc(F)cc1F)=N\NC(=O)C(=O)N1CCCCC1,-0.0,1.0,1.0,0.0,-2.600024700164795,1.0,0.0,-2.7016243934631348,1.0,0.0,-7.255258560180664,0.0,0.0,78.0,0.0,1.0,0.0
22,C/C(CC(=O)Nc1ccccc1[N+](=O)[O-])=N\NC(=O)COc1ccccc1C,-0.0,1.0,0.0,0.0,-2.4843831062316895,0.0,0.0,-2.580339193344116,0.0,0.0,-2.8591954708099365,0.0,0.0,69.0,0.0,1.0,0.0
23,C/C(CC(=O)Nc1ccccn1)=N\NC(=O)Cc1cccc2ccccc12,-0.0,1.0,0.0,0.0,-2.552062511444092,0.0,0.0,-2.650994300842285,0.0,0.0,-3.9616315364837646,0.0,1.0,87.0,0.0,1.0,0.0
24,C/C(CC(=O)Nc1ccccn1)=N\NC(=O)c1ccc(C)cc1,-0.0,1.0,1.0,0.0,-2.5829501152038574,1.0,0.0,-2.683384656906128,1.0,0.0,-5.314214706420898,0.0,0.0,47.0,0.0,1.0,0.0
