,SMILES,False positives,True positives,FP - TracIn_test,TP - TracIn_test,Score - TracIn_test,FP - TracIn_test_pos,TP - TracIn_test_pos,Score - TracIn_test_pos,FP - TracIn_self,TP - TracIn_self,Score - TracIn_self,FP - score,TP - score,Score - score,FP - filter,TP - filter,Score - filter
0,Brc1ccc(C2=CC(c3ccco3)n3ncnc3N2)cc1,1.0,0.0,0.0,0.0,-0.9416909217834473,0.0,0.0,-2.9280476570129395,0.0,0.0,-3.08597993850708,0.0,0.0,57.0,0.0,1.0,0.0
1,C(#Cc1ccccc1)CN1CCN(c2ccccn2)CC1,1.0,0.0,1.0,0.0,-0.9754597544670105,1.0,0.0,-3.0345652103424072,1.0,0.0,-3.674300193786621,0.0,0.0,72.0,0.0,1.0,0.0
2,C(=N/NC1=Nc2cccc3cccc1c23)\c1ccccn1,-0.0,1.0,0.0,0.0,-0.9223278164863586,0.0,0.0,-2.8670313358306885,0.0,0.0,-3.0064711570739746,0.0,0.0,71.0,0.0,1.0,0.0
3,C(=N/Nc1ccc2ccccc2n1)\c1ccc2c(c1)OCCO2,-0.0,1.0,0.0,0.0,-0.9185981750488281,0.0,0.0,-2.855283737182617,0.0,0.0,-2.9702203273773193,0.0,0.0,80.0,0.0,1.0,0.0
4,C/C(=C/C(=O)N1CCN(C)CC1)C(=O)O,-0.0,1.0,0.0,0.0,-0.9207147359848022,0.0,0.0,-2.861950397491455,0.0,0.0,-2.9456946849823,0.0,1.0,84.0,0.0,1.0,0.0
5,C/C(=N/NC(=O)CNC(=O)c1ccccn1)c1ccc([N+](=O)[O-])cc1,1.0,0.0,0.0,0.0,-0.9310156106948853,0.0,0.0,-2.8944029808044434,0.0,0.0,-3.038527011871338,0.0,0.0,81.0,0.0,1.0,0.0
6,C/C(=N\NC(=O)c1c(C)nc2ccccn12)c1ccc(C(C)(C)C)cc1,1.0,0.0,0.0,0.0,-0.952957034111023,0.0,0.0,-2.9635698795318604,0.0,0.0,-3.3450798988342285,0.0,0.0,55.0,0.0,1.0,0.0
7,C/C(=N\NC(=O)c1nnn(-c2nonc2N)c1C(C)C)c1ccncc1,1.0,0.0,1.0,0.0,-0.9807577133178711,1.0,0.0,-3.0512890815734863,1.0,0.0,-3.71915602684021,1.0,0.0,51.0,0.0,1.0,0.0
8,C/C(=N\NC1=NCCN1)c1ccc(N)c([N+](=O)[O-])c1,1.0,0.0,0.0,0.0,-0.9588360786437988,0.0,0.0,-2.9821109771728516,0.0,0.0,-3.412010669708252,0.0,0.0,72.0,0.0,1.0,0.0
9,C/C(=N\NS(=O)(=O)c1ccccc1)c1ccc2c(c1)OCCO2,1.0,0.0,0.0,0.0,-0.9190263748168945,0.0,0.0,-2.856632709503174,0.0,0.0,-2.9231390953063965,0.0,0.0,56.0,0.0,1.0,0.0
10,C/C(=N\Nc1nc(-c2ccccc2)cs1)c1cccs1,1.0,0.0,0.0,1.0,-0.8972666263580322,0.0,1.0,-2.788125514984131,0.0,0.0,-2.8602681159973145,0.0,0.0,70.0,0.0,1.0,0.0
11,C/C(=N\Nc1nncc2ccccc12)c1ccc(Cl)c([N+](=O)[O-])c1,1.0,0.0,0.0,0.0,-0.940412163734436,0.0,0.0,-2.9240169525146484,0.0,0.0,-3.1694092750549316,0.0,0.0,55.0,0.0,1.0,0.0
12,C/C(=N\O)C1CCCCC1,1.0,0.0,0.0,0.0,-0.9454187154769897,0.0,0.0,-2.9397995471954346,0.0,0.0,-3.223140001296997,0.0,0.0,57.0,0.0,1.0,0.0
13,C/C(=N\OCC(=O)Nn1c(=O)[nH]c2ccccc2c1=O)c1cccs1,1.0,0.0,0.0,0.0,-0.9185488820075989,0.0,0.0,-2.8551278114318848,0.0,0.0,-2.922456741333008,0.0,0.0,58.0,0.0,1.0,0.0
14,C/C(CC(=O)Nc1ccccc1C(F)(F)F)=N\NC(=O)c1cnccn1,1.0,0.0,0.0,0.0,-0.9617570638656616,0.0,0.0,-2.9913253784179688,0.0,0.0,-3.4060521125793457,0.0,1.0,84.0,0.0,1.0,0.0
15,C/C(Cc1ccccc1)=N\NC(=O)CNC(=O)Cc1ccc(Cl)cc1,1.0,0.0,0.0,0.0,-0.9615684151649475,0.0,0.0,-2.9907307624816895,0.0,0.0,-3.4312920570373535,1.0,0.0,53.0,0.0,1.0,0.0
16,C/C=C/c1ccc(OCC(=O)Nc2ccc(OC)c(OC)c2)c(OC)c1,1.0,0.0,0.0,1.0,-0.9005833864212036,0.0,1.0,-2.7985639572143555,0.0,1.0,-2.7358109951019287,0.0,0.0,69.0,0.0,1.0,0.0
17,C/[N+]([O-])=C\C1C(=O)CC(C)(C)CC1=O,1.0,0.0,0.0,0.0,-0.9373211860656738,0.0,0.0,-2.914274215698242,0.0,0.0,-3.115098476409912,0.0,0.0,55.0,0.0,1.0,0.0
18,C1=C(c2ccccc2)CCN(c2ncnc3nc[nH]c23)C1,1.0,0.0,0.0,0.0,-0.9552665948867798,0.0,0.0,-2.9708526134490967,0.0,0.0,-3.3086538314819336,0.0,0.0,75.0,0.0,1.0,0.0
19,C1CCC(Nc2nnnn2C2CCCCC2)CC1,1.0,0.0,1.0,0.0,-0.9847567081451416,1.0,0.0,-3.063915252685547,1.0,0.0,-3.805664539337158,0.0,0.0,59.0,0.0,1.0,0.0
20,C=C(C)C(=O)O[C@H]1C/C(C)=C\C(=O)/C=C(\C)[C@H](O)[C@@H]2OC(=O)C(=C)[C@@H]21,-0.0,1.0,0.0,1.0,-0.8081746101379395,0.0,1.0,-2.508314371109009,0.0,1.0,-2.3981223106384277,0.0,0.0,74.0,0.0,1.0,0.0
21,C=C(C)Cn1c(NCCC)nc2c1c(=O)n(C)c(=O)n2C,1.0,0.0,0.0,0.0,-0.9658724069595337,0.0,0.0,-3.00430965423584,0.0,0.0,-3.416977643966675,1.0,0.0,53.0,0.0,1.0,0.0
22,C=CCC(Nc1ccccc1)c1ccc(OC)c(OC)c1,1.0,0.0,0.0,0.0,-0.9460266828536987,0.0,0.0,-2.941716194152832,0.0,0.0,-3.2190871238708496,0.0,0.0,63.0,0.0,1.0,0.0
23,C=CCC1(C(=O)NCCO)CCN(C(=O)OC(C)(C)C)CC1,1.0,0.0,0.0,0.0,-0.9680067300796509,0.0,0.0,-3.0110440254211426,0.0,0.0,-3.5168802738189697,0.0,1.0,84.0,0.0,1.0,0.0
24,C=CCN(CC(O)c1cccc([N+](=O)[O-])c1)C(C)CCc1ccccc1,1.0,0.0,0.0,0.0,-0.9637537002563477,0.0,0.0,-2.9976248741149902,0.0,0.0,-3.481508493423462,0.0,0.0,78.0,0.0,1.0,0.0
25,C=CCN(CC=C)C(=O)CCC(=O)N(CC=C)CC=C,1.0,0.0,1.0,0.0,-0.9771537780761719,1.0,0.0,-3.039912223815918,1.0,0.0,-3.687650203704834,0.0,1.0,82.0,0.0,1.0,0.0
26,C=CCN1C(=O)C(Cc2ccc(OC)cc2)S/C1=N/N=C/c1ccco1,1.0,0.0,0.0,0.0,-0.949634313583374,0.0,0.0,-2.9530911445617676,0.0,0.0,-3.2807695865631104,0.0,0.0,57.0,0.0,1.0,0.0
27,C=CCN=C1NN=C(c2ccc3c(c2)OCCO3)CS1,-0.0,1.0,0.0,0.0,-0.9494454264640808,0.0,0.0,-2.952495813369751,0.0,0.0,-3.2348766326904297,0.0,0.0,56.0,0.0,1.0,0.0
28,C=CCNC(=O)c1c(C(F)(F)F)nn(C)c1Cl,1.0,0.0,0.0,0.0,-0.9632433652877808,0.0,0.0,-2.9960145950317383,0.0,0.0,-3.4170074462890625,1.0,0.0,54.0,0.0,1.0,0.0
29,C=CCNC(=S)Nc1sc2c(c1C#N)CCCC2,1.0,0.0,1.0,0.0,-0.9777917861938477,1.0,0.0,-3.041926145553589,1.0,0.0,-3.720489978790283,1.0,0.0,54.0,0.0,1.0,0.0
30,C=CCNc1cc(C)oc(=O)c1C(=O)CCC,1.0,0.0,0.0,0.0,-0.968989372253418,0.0,0.0,-3.0141446590423584,0.0,0.0,-3.5050878524780273,0.0,0.0,68.0,0.0,1.0,0.0
31,C=CCNc1nnnc2c1sc1nc(N3CCOCC3)c3c(c12)CCCC3,1.0,0.0,0.0,0.0,-0.9497268199920654,0.0,0.0,-2.9533839225769043,0.0,0.0,-3.1905407905578613,0.0,0.0,68.0,0.0,1.0,0.0
32,C=CCOc1ccc(/C=C/C(=O)OCC(=O)NCC2CCCCC2)cc1,1.0,0.0,0.0,0.0,-0.9469059705734253,0.0,0.0,-2.944489002227783,0.0,0.0,-3.194728136062622,0.0,0.0,68.0,0.0,1.0,0.0
33,C=CCOc1ccc(/C=C2\SC(=S)N(CCC(=O)O)C2=O)cc1,-0.0,1.0,0.0,0.0,-0.945192277431488,0.0,0.0,-2.9390861988067627,0.0,0.0,-3.145573377609253,0.0,0.0,55.0,1.0,-0.0,1.0
34,C=CCOc1ccc(C(c2c(C)n(C)n(-c3ccccc3)c2=O)c2c(C)n(C)n(-c3ccccc3)c2=O)cc1,1.0,0.0,0.0,1.0,-0.8928980231285095,0.0,1.0,-2.7743968963623047,0.0,1.0,-2.4319820404052734,0.0,1.0,85.0,0.0,1.0,0.0
35,C=CCOc1ccn(C)c(=O)n1,1.0,0.0,0.0,0.0,-0.9449260830879211,0.0,0.0,-2.938246250152588,0.0,0.0,-3.1569080352783203,0.0,0.0,55.0,0.0,1.0,0.0
36,C=CCSC1=Nc2sccc2C2=NC(=O)CN12,-0.0,1.0,0.0,0.0,-0.9615564346313477,0.0,0.0,-2.9906930923461914,0.0,0.0,-3.4395394325256348,0.0,0.0,75.0,0.0,1.0,0.0
37,C=CCSc1nc2ccccc2n1C(=O)/C=C/c1cc(OC)c(OC)c(OC)c1,1.0,0.0,0.0,0.0,-0.9136345386505127,0.0,0.0,-2.8396530151367188,0.0,0.0,-2.806295394897461,0.0,0.0,64.0,0.0,1.0,0.0
38,C=CCn1c(-c2cccc3ccccc23)n[nH]c1=S,1.0,0.0,0.0,0.0,-0.948620080947876,0.0,0.0,-2.9498932361602783,0.0,0.0,-3.210468053817749,0.0,0.0,73.0,0.0,1.0,0.0
39,C=CCn1c(=NC(=O)C2CC2)sc2cc(NC(C)=O)ccc21,1.0,0.0,0.0,0.0,-0.9503390789031982,0.0,0.0,-2.955313205718994,0.0,0.0,-3.2609026432037354,0.0,0.0,55.0,0.0,1.0,0.0
40,C=CCn1c(C)cc(C(=O)COC(=O)CNC(=O)c2ccccc2)c1C,-0.0,1.0,0.0,0.0,-0.9504171013832092,0.0,0.0,-2.9555602073669434,0.0,0.0,-3.222982406616211,0.0,1.0,82.0,0.0,1.0,0.0
41,C=CCn1c(C)cc(C(=O)CSc2nnc(NC(C)C)s2)c1C,1.0,0.0,0.0,0.0,-0.9663411378860474,0.0,0.0,-3.0057883262634277,0.0,0.0,-3.4989168643951416,0.0,0.0,59.0,0.0,1.0,0.0
42,C=CCn1c(C)cc(C2=NNC(=NCC)SC2)c1C,-0.0,1.0,1.0,0.0,-0.9819520711898804,1.0,0.0,-3.0550599098205566,1.0,0.0,-3.794618606567383,0.0,0.0,78.0,0.0,1.0,0.0
43,C=CCn1c(C)nnc1SCC(=O)Nc1nc(C)c(C(=O)N(C)C)s1,1.0,0.0,1.0,0.0,-0.970524787902832,1.0,0.0,-3.0189902782440186,0.0,0.0,-3.5342366695404053,0.0,0.0,76.0,0.0,1.0,0.0
44,C=CCn1c2ccccc2c2nnc(SCC(=O)O)nc21,1.0,0.0,0.0,0.0,-0.9539539813995361,0.0,0.0,-2.966712713241577,0.0,0.0,-3.2653119564056396,0.0,0.0,60.0,1.0,-0.0,1.0
45,CC(/C=C/c1ccc2c(c1)OCO2)=N/NC(=O)c1ccncc1,-0.0,1.0,0.0,1.0,-0.9003584384918213,0.0,1.0,-2.7978553771972656,0.0,0.0,-2.803952217102051,0.0,0.0,71.0,0.0,1.0,0.0
46,CC(/C=N/NC(=O)Cn1cnc2ccccc21)=C\c1ccccc1,1.0,0.0,0.0,0.0,-0.9384356141090393,0.0,0.0,-2.9177868366241455,0.0,0.0,-3.1613857746124268,0.0,0.0,66.0,0.0,1.0,0.0
47,CC(/C=N\NC(=O)c1cc(C)oc1C)=C\c1ccccc1,1.0,0.0,0.0,0.0,-0.9651137590408325,0.0,0.0,-3.00191593170166,0.0,0.0,-3.4921600818634033,1.0,0.0,52.0,0.0,1.0,0.0
48,CC(=N/O)/C(C)=N\NC(=O)c1ccccn1,1.0,0.0,0.0,0.0,-0.9259933233261108,0.0,0.0,-2.8785786628723145,0.0,0.0,-3.013369560241699,0.0,0.0,66.0,1.0,-0.0,1.0
