,SMILES,False positives,True positives,FP - TracIn_test,TP - TracIn_test,Score - TracIn_test,FP - TracIn_test_pos,TP - TracIn_test_pos,Score - TracIn_test_pos,FP - TracIn_self,TP - TracIn_self,Score - TracIn_self,FP - score,TP - score,Score - score,FP - filter,TP - filter,Score - filter
0,Brc1ccc(-c2csc(N3CCCCCC3)n2)cc1,1.0,0.0,0.0,0.0,-0.6447070240974426,0.0,0.0,-2.9114909172058105,0.0,0.0,-3.2038397789001465,0.0,0.0,46.0,0.0,1.0,0.0
1,Brc1ccc2ncnc(NCc3ccccc3)c2c1,-0.0,1.0,0.0,0.0,-0.5521619319915771,0.0,0.0,-2.5183212757110596,0.0,0.0,-2.9714784622192383,0.0,0.0,60.0,0.0,1.0,0.0
2,Brc1cccc(-c2cnco2)c1,1.0,0.0,0.0,0.0,-0.638761043548584,0.0,0.0,-2.885643482208252,0.0,0.0,-3.0229406356811523,0.0,0.0,56.0,0.0,1.0,0.0
3,Brc1cccc(CSc2nnc(-c3ccncc3)o2)c1,-0.0,1.0,0.0,0.0,-0.6483681201934814,0.0,0.0,-2.9266815185546875,0.0,0.0,-3.1443915367126465,0.0,0.0,71.0,0.0,1.0,0.0
4,C#CCN(C[C@@H]1[C@@H](OC(=O)NCc2ccccc2F)[C@@H](OC(=O)NCc2ccccc2F)Cn2c(=O)ccc(=O)n21)S(=O)(=O)c1ccc(C)cc1,-0.0,1.0,0.0,0.0,-0.6911101937294006,0.0,0.0,-3.088606595993042,0.0,0.0,-4.188680171966553,0.0,0.0,61.0,0.0,1.0,0.0
5,C#CCn1c(S(=O)(=O)Cc2ccc(F)cc2)nc(-c2ccccc2)c1-c1ccccc1,-0.0,1.0,0.0,0.0,-0.7027549743652344,0.0,0.0,-3.1517467498779297,0.0,0.0,-4.152322292327881,1.0,0.0,43.0,0.0,1.0,0.0
6,C#Cc1cc(N2CCN(C(=O)c3ccoc3)CC2)n2nc(-c3cccc(Cl)c3)cc2n1,-0.0,1.0,0.0,0.0,-0.6727790832519531,0.0,0.0,-3.031324625015259,0.0,0.0,-3.7524075508117676,0.0,0.0,54.0,0.0,1.0,0.0
7,C(=Cc1nc2ccccc2o1)c1ccc2c(c1)OCO2,-0.0,1.0,0.0,0.0,-0.619422197341919,0.0,0.0,-2.8038339614868164,0.0,0.0,-2.9369001388549805,1.0,0.0,45.0,0.0,1.0,0.0
8,C(=N/Nc1ccc2ccccc2n1)\c1ccc2c(c1)OCO2,-0.0,1.0,0.0,1.0,-0.5070603489875793,0.0,1.0,-2.3220677375793457,0.0,0.0,-2.8786978721618652,1.0,0.0,44.0,0.0,1.0,0.0
9,C(=N/Nc1nc2ccccc2[nH]1)\c1cccc2cccnc12,-0.0,1.0,0.0,0.0,-0.5473183393478394,0.0,0.0,-2.4980764389038086,0.0,0.0,-3.143369197845459,0.0,0.0,71.0,0.0,1.0,0.0
10,C(=N/Nc1nc2ccccc2[nH]1)\c1cccc2nccnc12,-0.0,1.0,0.0,0.0,-0.5457826852798462,0.0,0.0,-2.491363525390625,0.0,0.0,-3.1291418075561523,0.0,0.0,47.0,0.0,1.0,0.0
11,C/C(=N/NC(=O)c1cc(C2CC2)[nH]n1)c1cccs1,-0.0,1.0,0.0,0.0,-0.6472690105438232,0.0,0.0,-2.9218974113464355,0.0,0.0,-3.298095703125,0.0,0.0,60.0,0.0,1.0,0.0
12,C/C(=N/NC(=O)c1ccc(C(C)(C)C)cc1)c1ccccn1,-0.0,1.0,0.0,0.0,-0.6403511762619019,0.0,0.0,-2.8918261528015137,0.0,0.0,-3.211184501647949,0.0,0.0,47.0,0.0,1.0,0.0
13,C/C(=N\NC(=O)c1cccc(Br)c1)c1ccccn1,1.0,0.0,0.0,0.0,-0.6374211311340332,0.0,0.0,-2.8808271884918213,0.0,0.0,-3.150951862335205,0.0,0.0,71.0,0.0,1.0,0.0
14,C/C(=N\NS(=O)(=O)c1ccc([N+](=O)[O-])cc1)c1cccs1,1.0,0.0,0.0,0.0,-0.6576086282730103,0.0,0.0,-2.9654102325439453,0.0,0.0,-3.3527116775512695,0.0,0.0,58.0,0.0,1.0,0.0
15,C/C(=N\Nc1ccc(C(F)(F)F)cc1[N+](=O)[O-])C(C)C,1.0,0.0,0.0,0.0,-0.6567177176475525,0.0,0.0,-2.950800895690918,0.0,0.0,-3.484823703765869,0.0,0.0,66.0,0.0,1.0,0.0
16,C=C(C(=O)c1ccccc1)C(CC(=O)c1ccccc1)c1ccccc1,1.0,0.0,0.0,0.0,-0.6729446053504944,0.0,0.0,-3.028702735900879,0.0,0.0,-3.633175849914551,0.0,0.0,69.0,0.0,1.0,0.0
17,C=CCN1CCN(C(CC(C)C)c2nnnn2CCOC)CC1,1.0,0.0,1.0,0.0,-0.7089511156082153,1.0,0.0,-3.167705774307251,1.0,0.0,-4.376335144042969,0.0,0.0,49.0,0.0,1.0,0.0
18,C=CCN1CCc2cc(O)c(O)cc2C(c2ccccc2)C1,1.0,0.0,0.0,0.0,-0.654026985168457,0.0,0.0,-2.950502872467041,0.0,0.0,-3.2996273040771484,0.0,0.0,77.0,1.0,-0.0,1.0
19,C=CCN=C1NN=C(c2cc(C)n(CCOC)c2C)CS1,-0.0,1.0,1.0,0.0,-0.7159671783447266,1.0,0.0,-3.2010271549224854,1.0,0.0,-4.397493362426758,1.0,0.0,45.0,0.0,1.0,0.0
20,C=CCNC(=S)N/N=C(\C)c1ccccn1,-0.0,1.0,0.0,0.0,-0.6624817848205566,0.0,0.0,-2.9870452880859375,0.0,0.0,-3.4654171466827393,0.0,0.0,80.0,0.0,1.0,0.0
21,C=CC[N+](C)(C)C/C(Cl)=C(\Cl)c1ccccc1,1.0,0.0,0.0,0.0,-0.6399142742156982,0.0,0.0,-2.8886353969573975,0.0,0.0,-3.201035499572754,0.0,0.0,49.0,0.0,1.0,0.0
22,C=CCn1c(=O)/c(=C/c2ccc(Cl)cc2)s/c1=C(\C#N)c1nnc2n1CCCCC2,-0.0,1.0,0.0,0.0,-0.5658782720565796,0.0,0.0,-2.5761334896087646,0.0,1.0,-2.802755832672119,0.0,0.0,71.0,0.0,1.0,0.0
23,C=CCn1c(C)c(C(C)=O)c(N2CCN(C(c3ccccc3)c3ccccc3)CC2)nc1=S,-0.0,1.0,1.0,0.0,-0.7140330076217651,1.0,0.0,-3.194638252258301,1.0,0.0,-4.415308475494385,0.0,0.0,55.0,0.0,1.0,0.0
24,C=CCn1c(O)c(N=NC(=S)Nc2ccccc2C)c2cc(S(=O)(=O)N3CCOCC3)ccc21,-0.0,1.0,1.0,0.0,-0.7302820086479187,1.0,0.0,-3.2578561305999756,1.0,0.0,-4.875743389129639,1.0,0.0,43.0,1.0,-0.0,1.0
25,C=CCn1c(O)c(N=NC(=S)Nc2ccccc2F)c2cc(S(=O)(=O)N3CCOCC3)ccc21,1.0,0.0,1.0,0.0,-0.7298718690872192,1.0,0.0,-3.2543842792510986,1.0,0.0,-4.90389347076416,0.0,0.0,52.0,1.0,-0.0,1.0
26,C=CCn1c(O)c(N=NC(=S)Nc2ccccc2F)c2ccccc21,-0.0,1.0,0.0,0.0,-0.6856191754341125,0.0,0.0,-3.08450984954834,0.0,0.0,-3.8385283946990967,0.0,0.0,60.0,1.0,-0.0,1.0
27,C=CCn1c(SCc2ccc3nonc3c2)nnc1-c1cccs1,1.0,0.0,0.0,0.0,-0.6452233791351318,0.0,0.0,-2.91518497467041,0.0,0.0,-3.31419038772583,0.0,0.0,71.0,0.0,1.0,0.0
28,C=CCn1c(SCc2csc(C)n2)nc2sc3c(c2c1=O)CCCC3,-0.0,1.0,0.0,0.0,-0.6531463861465454,0.0,0.0,-2.946476459503174,0.0,0.0,-3.3279802799224854,1.0,0.0,44.0,0.0,1.0,0.0
29,CC(=C/c1ccccc1)/C=N/n1c(-c2ccncc2)n[nH]c1=S,-0.0,1.0,0.0,0.0,-0.5794780254364014,0.0,0.0,-2.635406017303467,0.0,0.0,-2.9590723514556885,0.0,0.0,56.0,0.0,1.0,0.0
30,CC(=NNC(=S)N1CC2CCC(CC2)C1)c1nccs1,-0.0,1.0,0.0,0.0,-0.6986480355262756,0.0,0.0,-3.135476589202881,0.0,0.0,-4.054407119750977,0.0,0.0,73.0,0.0,1.0,0.0
31,CC(=NNC(=S)N1CCCC1)c1ccccn1,-0.0,1.0,0.0,0.0,-0.6882522106170654,0.0,0.0,-3.0922598838806152,0.0,0.0,-3.773815870285034,0.0,0.0,57.0,0.0,1.0,0.0
32,CC(=NNC(=S)N1CCCCC1)c1cccc(C)n1,-0.0,1.0,0.0,0.0,-0.7004450559616089,0.0,0.0,-3.140873432159424,0.0,0.0,-4.008998394012451,0.0,0.0,69.0,0.0,1.0,0.0
33,CC(=NNC(=S)N1CCCCC1)c1ccccn1,1.0,0.0,0.0,0.0,-0.6914957165718079,0.0,0.0,-3.1055655479431152,0.0,0.0,-3.838512420654297,0.0,0.0,57.0,0.0,1.0,0.0
34,CC(=NNC(=S)N1CCCCCC1)c1cccc2cccnc12,1.0,0.0,0.0,0.0,-0.6766178607940674,0.0,0.0,-3.0470528602600098,0.0,0.0,-3.766157627105713,0.0,0.0,52.0,0.0,1.0,0.0
35,CC(=NNC(=S)N1CCN(c2ccccn2)CC1)c1nccs1,-0.0,1.0,0.0,0.0,-0.6692721247673035,0.0,0.0,-3.0169572830200195,0.0,0.0,-3.710116147994995,0.0,0.0,74.0,0.0,1.0,0.0
