,SMILES,False positives,True positives,FP - TracIn_test,TP - TracIn_test,Score - TracIn_test,FP - TracIn_test_pos,TP - TracIn_test_pos,Score - TracIn_test_pos,FP - TracIn_self,TP - TracIn_self,Score - TracIn_self,FP - score,TP - score,Score - score,FP - filter,TP - filter,Score - filter
0,Brc1ccc(C2=CC(c3ccco3)n3ncnc3N2)cc1,-0.0,1.0,0.0,0.0,-0.997052788734436,0.0,0.0,-2.4723615646362305,0.0,1.0,-2.1267502307891846,0.0,0.0,46.0,0.0,1.0,0.0
1,C(=N/NC(=Nc1ccccc1)c1ccccn1)\c1ccccn1,1.0,0.0,0.0,0.0,-1.1474502086639404,0.0,0.0,-2.793815851211548,0.0,0.0,-3.066255807876587,0.0,0.0,38.0,0.0,1.0,0.0
2,C(=N/Nc1nc2ccccc2[nH]1)\c1ccccn1,-0.0,1.0,0.0,0.0,-1.027069091796875,0.0,0.0,-2.5383870601654053,0.0,0.0,-2.168210744857788,0.0,0.0,54.0,0.0,1.0,0.0
3,C/C(=N\Nc1ccc(Cl)c(C(=O)O)c1)c1ccc[nH]1,1.0,0.0,0.0,0.0,-1.1144872903823853,0.0,0.0,-2.725253105163574,0.0,0.0,-2.6266684532165527,0.0,0.0,42.0,0.0,1.0,0.0
4,C/C(N)=C(/C#N)C(=O)CSc1ncnc2ccccc12,-0.0,1.0,0.0,0.0,-0.7252992987632751,0.0,0.0,-1.8492991924285889,0.0,0.0,-2.3138747215270996,0.0,0.0,38.0,0.0,1.0,0.0
5,C/C(O)=c1/ccc2cccc3nc(C)nc1c23,-0.0,1.0,0.0,0.0,-0.8516721129417419,0.0,0.0,-2.1437454223632812,0.0,0.0,-2.198174476623535,0.0,0.0,39.0,0.0,1.0,0.0
6,C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\O)c3csc(N)n3)[C@H]2SC1,-0.0,1.0,0.0,1.0,-0.47586607933044434,0.0,1.0,-1.2477524280548096,0.0,0.0,-2.4118566513061523,0.0,0.0,41.0,1.0,-0.0,1.0
7,C=CCN1C(=O)/C(=C2/Sc3ccc(OC)cc3N2CC)SC1=S,1.0,0.0,0.0,0.0,-0.8676573038101196,0.0,0.0,-2.180443048477173,0.0,0.0,-2.1428704261779785,1.0,0.0,26.0,0.0,1.0,0.0
8,C=CCN1C(=O)/C(=C2/Sc3ccccc3N2CC)SC1=S,-0.0,1.0,0.0,0.0,-0.8702335953712463,0.0,0.0,-2.186342716217041,0.0,0.0,-2.169058084487915,0.0,0.0,40.0,1.0,-0.0,1.0
9,C=CCN1C(=O)S/C(=C\c2ccc(N3CCOCC3)cc2C)C1=O,1.0,0.0,0.0,0.0,-1.0921540260314941,0.0,0.0,-2.6781914234161377,0.0,0.0,-2.335301160812378,0.0,0.0,30.0,1.0,-0.0,1.0
10,C=CCN1C=C2C(=O)C(C)(OC(=O)CCC(=O)OC)C(=O)C(Br)=C2C=C1c1ccc(OC)cc1,-0.0,1.0,0.0,0.0,-0.8521991968154907,0.0,0.0,-2.1449456214904785,0.0,0.0,-2.197564125061035,0.0,0.0,29.0,1.0,-0.0,1.0
11,C=CCN=c1scc(-c2ccco2)n1/N=C/c1ccc(O)c(O)c1O,-0.0,1.0,0.0,0.0,-0.7851710319519043,0.0,0.0,-1.9897184371948242,0.0,0.0,-2.3036322593688965,0.0,0.0,28.0,1.0,-0.0,1.0
12,C=CCNC(=S)Nc1cc(Cl)ccc1OC,1.0,0.0,1.0,0.0,-1.2917262315750122,1.0,0.0,-3.080092191696167,1.0,0.0,-7.1760759353637695,0.0,0.0,28.0,1.0,-0.0,1.0
13,C=CCOc1ccc(C2C(C(=O)c3cccs3)=C(O)C(=O)N2c2nnc(C)s2)cc1,-0.0,1.0,0.0,0.0,-1.043791651725769,0.0,0.0,-2.57470703125,0.0,0.0,-2.1706326007843018,0.0,0.0,40.0,0.0,1.0,0.0
14,C=CCOc1ccc(C2OC34CCCCC3C(C#N)(C#N)C2(C#N)C(=N)O4)cc1,-0.0,1.0,0.0,1.0,-0.4939415752887726,0.0,1.0,-1.2922030687332153,0.0,0.0,-2.3432273864746094,0.0,0.0,30.0,0.0,1.0,0.0
15,C=CCOc1cccc(C2C(C(=O)c3ccc(C)o3)=C(O)C(=O)N2c2nccs2)c1,-0.0,1.0,0.0,0.0,-1.1087101697921753,0.0,0.0,-2.7131218910217285,0.0,0.0,-2.3852365016937256,0.0,0.0,45.0,1.0,-0.0,1.0
16,C=CCOn1c(=O)c(-c2cc3ccccc3o2)[n+]([O-])c2ccccc21,1.0,0.0,0.0,1.0,-0.6746430397033691,0.0,1.0,-1.7292754650115967,0.0,0.0,-2.3421742916107178,0.0,0.0,49.0,0.0,1.0,0.0
17,C=CCSc1nnc(N2C(=O)C(O)=C(C(=O)c3ccco3)C2c2ccccc2F)s1,-0.0,1.0,0.0,0.0,-1.192840576171875,0.0,0.0,-2.886387348175049,0.0,0.0,-3.29231858253479,1.0,0.0,27.0,1.0,-0.0,1.0
18,C=CCn1c(=O)/c(=C/c2ccc(C)o2)s/c1=C(/C#N)C(=O)c1ccccc1,1.0,0.0,0.0,1.0,-0.446655809879303,0.0,1.0,-1.1756137609481812,0.0,0.0,-2.3655292987823486,0.0,0.0,35.0,0.0,1.0,0.0
