activity_743266
,counts,basic,high,low
0.05,16705,0.0010171746652384377,0.0009856253019541966,0.0009468031435042916
0.1,33411,0.0010171746652384377,0.0009603267159414211,0.0010119351821830614
0.15,50117,0.0010171746652384377,0.0010556248459047072,0.0009439655201124939
0.2,66823,0.0010171746652384377,0.001040633047407951,0.001118633847650513
0.25,83529,0.0010171746652384377,0.0010026661109503226,0.0010196317952555164
0.3,100235,0.0010171746652384377,0.0009296567806987829,0.0009819116765136396
0.35,116941,0.0010171746652384377,0.0011328858372453537,0.001045805741401176
0.4,133647,0.0010171746652384377,0.0011751949939723372,0.0010064092338603475
0.45,150353,0.0010171746652384377,0.0010245758781006636,0.0009676166177707127
0.5,167059,0.0010171746652384377,0.0010459060513397628,0.0008934070766961533
0.55,183765,0.0010171746652384377,0.0009029495521978339,0.000950653111613848
0.6,200471,0.0010171746652384377,0.0009749423334821678,0.000925487490184317
0.65,217177,0.0010171746652384377,0.0013101333559063495,0.0009388320490584398
0.7,233883,0.0010171746652384377,0.0011821489288013696,0.000903772132427494
0.75,250589,0.0010171746652384377,0.0012921984609584826,0.0009106833454241591
0.8,267295,0.0010171746652384377,0.0009930814281409216,0.000931293904533349
0.85,284001,0.0010171746652384377,0.0011593778580896597,0.0009175565966129924
0.9,300707,0.0010171746652384377,0.0010291833700473685,0.0009147282219349108
0.95,317413,0.0010171746652384377,0.0013127176501997373,0.000955436634126659

activity_504847
,counts,basic,high,low
0.05,16028,0.17356478678234522,0.16726434794018588,0.11801447038720173
0.1,32056,0.17356478678234522,0.16392156385480286,0.09154425891811353
0.15,48085,0.17356478678234522,0.15988389515129908,0.08968166270546962
0.2,64113,0.17356478678234522,0.1819961484215704,0.08085010903928136
0.25,80142,0.17356478678234522,0.16652265879499611,0.07478519920806939
0.3,96170,0.17356478678234522,0.17594260444819454,0.07398860606000879
0.35,112199,0.17356478678234522,0.17563345648744189,0.07382598335431799
0.4,128227,0.17356478678234522,0.16479931864297181,0.06801731673841799
0.45,144256,0.17356478678234522,0.164464489176337,0.05926773961568528
0.5,160284,0.17356478678234522,0.17101924656228057,0.056011867737512135
0.55,176312,0.17356478678234522,0.13661904381731307,0.0526396726319026
0.6,192341,0.17356478678234522,0.10329635739117415,0.04976192909815171
0.65,208369,0.17356478678234522,0.0784009493353281,0.046695711023536
0.7,224398,0.17356478678234522,0.05380119091284334,0.04855035874683268
0.75,240426,0.17356478678234522,0.030041511139577502,0.04979516943934477
0.8,256455,0.17356478678234522,0.015317548333440904,0.04559358491114217
0.85,272483,0.17356478678234522,0.010313748188485388,0.04069756196170855
0.9,288512,0.17356478678234522,0.008384594673666623,0.030844056368105808
0.95,304540,0.17356478678234522,0.007396193027158299,0.029301796103371414

activity_1487
,counts,basic,high,low
0.05,6089,0.0005963065918941417,0.000665187246069599,0.00020788531559130124
0.1,12178,0.0005963065918941417,0.00026160366547737385,0.00038862986465282333
0.15,18267,0.0005963065918941417,0.00029625853167393283,0.0002800580961502502
0.2,24356,0.0005963065918941417,0.0003968894756258633,0.0002485035439825856
0.25,30445,0.0005963065918941417,0.0004178797432591891,0.00017169728772269057
0.3,36534,0.0005963065918941417,0.00021411247245104297,0.00020844289806788672
0.35,42624,0.0005963065918941417,0.00017676845887249897,0.0002207997608209401
0.4,48713,0.0005963065918941417,0.00017608812351505327,0.00033687969949546686
0.45,54802,0.0005963065918941417,0.00018848437525655675,0.00030760223319261845
0.5,60891,0.0005963065918941417,0.00017077846149223243,0.00044453716898383816
0.55,66980,0.0005963065918941417,0.0003880143290330958,0.0005385998971173597
0.6,73069,0.0005963065918941417,0.000266833786361693,0.000556332300973686
0.65,79158,0.0005963065918941417,0.00043954095814533367,0.0006285150355885447
0.7,85248,0.0005963065918941417,0.0002219450473771556,0.0006224079018918765
0.75,91337,0.0005963065918941417,0.0004573750933726723,0.0003458745375619413
0.8,97426,0.0005963065918941417,0.0004612015953839611,0.000283351375465584
0.85,103515,0.0005963065918941417,0.0008452107528354973,0.000956763673502929
0.9,109604,0.0005963065918941417,0.000489806629302209,0.00027444683110940446
0.95,115693,0.0005963065918941417,0.0007220668654812053,0.00020939796999337498

activity_504891
,counts,basic,high,low
0.05,15259,0.012114142139267767,0.012918102358914304,0.00032292085762286506
0.1,30519,0.012114142139267767,0.01583152622883106,0.00014462483087817533
0.15,45778,0.012114142139267767,0.018653343919624085,0.00017640194968801456
0.2,61038,0.012114142139267767,0.03140470297029703,0.0008156075884529163
0.25,76297,0.012114142139267767,0.009467853335187503,0.00015608800560757205
0.3,91557,0.012114142139267767,0.012945794704752359,0.00019267419886614934
0.35,106816,0.012114142139267767,0.011538890482108148,0.0002551991506321722
0.4,122076,0.012114142139267767,0.018574540927482102,0.00027255564947023785
0.45,137335,0.012114142139267767,0.020048744820862784,0.00040158785428817635
0.5,152595,0.012114142139267767,0.04560328857517613,9.914328634370735e-05
0.55,167855,0.012114142139267767,0.03580823535727707,0.00031757408736400974
0.6,183114,0.012114142139267767,0.02957882117096755,0.00039734193554403515
0.65,198374,0.012114142139267767,0.029465058246705204,0.0003561328225429577
0.7,213633,0.012114142139267767,0.10007500187504688,0.001988775071183065
0.75,228893,0.012114142139267767,0.10005492694716028,0.0004457306248792025
0.8,244152,0.012114142139267767,0.08340339568882972,0.0030753907258709097
0.85,259412,0.012114142139267767,0.029463046757164404,0.005308676580157207
0.9,274671,0.012114142139267767,0.023856283371854303,0.0006315907724343089
0.95,289931,0.012114142139267767,0.03129545661166417,0.0014061962979329307

activity_1012
,counts,basic,high,low
0.05,7700,0.28459114312056494,0.2863503987141995,0.15279477367419125
0.1,15400,0.28459114312056494,0.27823072743355776,0.13643599021532452
0.15,23100,0.28459114312056494,0.29649434761338606,0.10502135625889233
0.2,30800,0.28459114312056494,0.2852002459118273,0.1133362195655039
0.25,38500,0.28459114312056494,0.27695165816285805,0.09151153975636837
0.3,46200,0.28459114312056494,0.24864323012952932,0.08703639059149908
0.35,53901,0.28459114312056494,0.2788131451974565,0.0527124405781287
0.4,61601,0.28459114312056494,0.3027130498461106,0.05005992679551028
0.45,69301,0.28459114312056494,0.2581411180084805,0.04631064651170531
0.5,77001,0.28459114312056494,0.263819200411964,0.03392544088075193
0.55,84701,0.28459114312056494,0.2738667916132083,0.028147430644663025
0.6,92401,0.28459114312056494,0.2798691342654077,0.026298523318830293
0.65,100101,0.28459114312056494,0.2726282377807591,0.023947403168576024
0.7,107802,0.28459114312056494,0.3069872117487923,0.026483481549361247
0.75,115502,0.28459114312056494,0.321789215896517,0.02003709074045836
0.8,123202,0.28459114312056494,0.27548361781521347,0.019552244936550667
0.85,130902,0.28459114312056494,0.2870224307578331,0.023789545906841115
0.9,138602,0.28459114312056494,0.29514638110606917,0.0242768680326807
0.95,146302,0.28459114312056494,0.19781639747144347,0.01688318228072411

activity_651687
,counts,basic,high,low
0.05,14487,0.034459822784362215,0.05608037401838318,0.031810320741353204
0.1,28975,0.034459822784362215,0.031150199671210296,0.03188721438507432
0.15,43462,0.034459822784362215,0.03360732759000989,0.03545714720374173
0.2,57950,0.034459822784362215,0.04979345045757716,0.019052074665260495
0.25,72438,0.034459822784362215,0.04401884668962082,0.010090152025236738
0.3,86925,0.034459822784362215,0.05835038314341294,0.010799038873400144
0.35,101413,0.034459822784362215,0.06273587100384839,0.008549475978637595
0.4,115901,0.034459822784362215,0.04240451699614538,0.010433491725227003
0.45,130388,0.034459822784362215,0.01331813647770331,0.008278108883093334
0.5,144876,0.034459822784362215,0.038667315488234065,0.007319467705253535
0.55,159364,0.034459822784362215,0.043673284223276106,0.006952429065236738
0.6,173851,0.034459822784362215,0.027467160260214635,0.007689148028566756
0.65,188339,0.034459822784362215,0.00884312898587836,0.00631724797404223
0.7,202827,0.034459822784362215,0.006853590428927135,0.006157262325233221
0.75,217314,0.034459822784362215,0.007601865395215801,0.005756088397754078
0.8,231802,0.034459822784362215,0.011631720335139912,0.005644181303473798
0.85,246290,0.034459822784362215,0.010998999595155564,0.005145483714624457
0.9,260777,0.034459822784362215,0.004415845821850833,0.004360718194611353
0.95,275265,0.034459822784362215,0.003297552806074716,0.003476257548484031

activity_651723
,counts,basic,high,low
0.05,14516,0.027668694755726125,0.021237629421451007,0.021381836411633957
0.1,29032,0.027668694755726125,0.036254860146230715,0.014048971782628098
0.15,43548,0.027668694755726125,0.03701134648934189,0.011899573271938964
0.2,58064,0.027668694755726125,0.03938116146845436,0.011355166950690249
0.25,72580,0.027668694755726125,0.03578059758608886,0.010847377232213634
0.3,87096,0.027668694755726125,0.03488039074280418,0.007684716357285173
0.35,101613,0.027668694755726125,0.051195542899957855,0.007439774016318018
0.4,116129,0.027668694755726125,0.0641119348513056,0.0068274997934187325
0.45,130645,0.027668694755726125,0.06589565614068246,0.006742210868591742
0.5,145161,0.027668694755726125,0.0553457234717701,0.005824904428454988
0.55,159677,0.027668694755726125,0.06030979321291976,0.005927394044538256
0.6,174193,0.027668694755726125,0.05599155947516768,0.005664470692566343
0.65,188709,0.027668694755726125,0.043925409309914815,0.00604767869907665
0.7,203226,0.027668694755726125,0.05006199425895148,0.0046706626904930056
0.75,217742,0.027668694755726125,0.055421718652075756,0.004461040077595905
0.8,232258,0.027668694755726125,0.05429398348334671,0.004891236728436454
0.85,246774,0.027668694755726125,0.04230017185664397,0.004026691019200191
0.9,261290,0.027668694755726125,0.02250976758903634,0.0035493694355576938
0.95,275806,0.027668694755726125,0.020217343030011856,0.0023778042118391984

activity_1135
,counts,basic,high,low
0.05,7699,0.1671379156341897,0.16729410209905027,0.16955730180947173
0.1,15399,0.1671379156341897,0.1672233333687754,0.032139840921779676
0.15,23099,0.1671379156341897,0.1670556970349081,0.05246021052472665
0.2,30799,0.1671379156341897,0.16712120590862178,0.005312073134470885
0.25,38499,0.1671379156341897,0.1672918832164735,0.005129448243798259
0.3,46198,0.1671379156341897,0.33405847699142965,0.11266156503845524
0.35,53898,0.1671379156341897,0.16708015137698692,0.02272771062337494
0.4,61598,0.1671379156341897,0.33370365604348906,0.020314592843022308
0.45,69298,0.1671379156341897,0.33407649728725236,0.01376111079869281
0.5,76998,0.1671379156341897,0.16767122633100479,0.06715506092620004
0.55,84697,0.1671379156341897,0.3341788886986627,0.01593824744509676
0.6,92397,0.1671379156341897,0.3345884281123978,0.042284637742497966
0.65,100097,0.1671379156341897,0.33411760827182097,0.0007279298236133827
0.7,107797,0.1671379156341897,0.3346315675712984,0.0006884484320965631
0.75,115497,0.1671379156341897,0.3347295773629314,0.001349251293516331
0.8,123196,0.1671379156341897,0.3345774134790528,0.0005109011990257688
0.85,130896,0.1671379156341897,0.3359494605324411,0.0003299408878641352
0.9,138596,0.1671379156341897,0.3350651130968355,0.00029292109480252794
0.95,146296,0.1671379156341897,0.169934146222806,0.0003145310270737077

activity_602123
,counts,basic,high,low
0.05,14859,0.07351498969890219,0.06463302413671053,0.06457296187987434
0.1,29718,0.07351498969890219,0.07689846741447783,0.045035187773669695
0.15,44577,0.07351498969890219,0.07777322831655122,0.04739709849617006
0.2,59436,0.07351498969890219,0.08362108621298804,0.04504564136949044
0.25,74295,0.07351498969890219,0.08360901765815226,0.0561210347953203
0.3,89154,0.07351498969890219,0.06701690328779539,0.03556830630176337
0.35,104013,0.07351498969890219,0.06929203875211795,0.03430738581830156
0.4,118872,0.07351498969890219,0.08500997484624358,0.02929164726728668
0.45,133731,0.07351498969890219,0.07817664488339374,0.020565644816160588
0.5,148591,0.07351498969890219,0.06477946847835823,0.019183014222007515
0.55,163450,0.07351498969890219,0.08144958510287316,0.02028923374994849
0.6,178309,0.07351498969890219,0.07857226135531638,0.020843321708567633
0.65,193168,0.07351498969890219,0.07605105773253831,0.026787606901500952
0.7,208027,0.07351498969890219,0.07772553711553754,0.016740081154260785
0.75,222886,0.07351498969890219,0.07099302491930383,0.01796246366463693
0.8,237745,0.07351498969890219,0.05505063033551741,0.017291667062690128
0.85,252604,0.07351498969890219,0.037908317504324975,0.012322516244217145
0.9,267463,0.07351498969890219,0.020824971755860042,0.010372684094221587
0.95,282322,0.07351498969890219,0.004043820137731485,0.00798073807987916

activity_504803
,counts,basic,high,low
0.05,14179,0.1936270926840717,0.2275017411108759,0.15067418221189102
0.1,28359,0.1936270926840717,0.20992129648555422,0.11227257885595575
0.15,42539,0.1936270926840717,0.21864241748846314,0.09099841393402852
0.2,56719,0.1936270926840717,0.20353012559214795,0.07571884265251784
0.25,70899,0.1936270926840717,0.2048911692740531,0.06738678473594527
0.3,85078,0.1936270926840717,0.2080483332001441,0.0626472222746332
