iter	Passed	Remaining
0	60	5956
1	69	3424
2	79	2560
3	89	2136
4	99	1899
5	109	1718
6	118	1573
7	127	1468
8	137	1388
9	147	1323
10	156	1268
11	166	1219
12	175	1176
13	185	1138
14	194	1101
15	203	1068
16	213	1041
17	222	1011
18	230	983
19	240	960
20	249	939
21	259	918
22	267	896
23	276	876
24	286	859
25	295	839
26	304	822
27	313	806
28	322	790
29	332	774
30	341	759
31	349	743
32	358	728
33	368	714
34	377	701
35	386	686
36	395	673
37	404	659
38	413	646
39	422	633
40	431	620
41	441	609
42	450	597
43	460	585
44	469	573
45	478	561
46	488	550
47	497	538
48	506	527
49	515	515
50	525	504
51	535	494
52	544	483
53	554	472
54	563	460
55	573	450
56	583	439
57	592	428
58	600	417
59	609	406
60	619	395
61	628	385
62	637	374
63	647	364
64	656	353
65	666	343
66	675	332
67	684	322
68	693	311
69	702	300
70	711	290
71	721	280
72	730	270
73	739	259
74	748	249
75	757	239
76	766	229
77	776	218
78	785	208
79	794	198
80	804	188
81	812	178
82	821	168
83	830	158
84	839	148
85	848	138
86	857	128
87	867	118
88	876	108
89	885	98
90	894	88
91	904	78
92	913	68
93	923	58
94	932	49
95	941	39
96	950	29
97	959	19
98	969	9
99	977	0
